value,transcription,alt_transcription,IPA,Comment
t,phonetic,NA,t,
h,phonetic,NA,h,
o,phonetic,NA,o,
:,phonetic,NA,ː,
j,phonetic,NA,j,
21,phonetic,NA,1,
24,phonetic,NA,2,
33,phonetic,NA,3,
35,phonetic,NA,4,
353,phonetic,NA,5,
4,phonetic,NA,6,
41,phonetic,NA,7,
434,phonetic,NA,8,
e,phonetic,NA,e,
a,phonetic,NA,a,
ŋ,phonetic,NA,ŋ,
k,phonetic,NA,k,
c,phonetic,NA,c,
m,phonetic,NA,m,
u,phonetic,NA,u,
ʔ,phonetic,NA,ʔ,
l,phonetic,NA,l,
ə,phonetic,NA,ə,
n,phonetic,NA,n,
p,phonetic,NA,p,
i,phonetic,NA,i,
ɛ,phonetic,NA,ɛ,
ɔ,phonetic,NA,ɔ,
b,phonetic,NA,b,
ń,phonetic,NA,ɲ,
d,phonetic,NA,d,
s,phonetic,NA,s,
ɨ,phonetic,NA,ɨ,
w,phonetic,NA,w,
r,phonetic,NA,r,
v,phonetic,NA,v,
z,phonetic,NA,z,
ɨ̆,phonetic,NA,ɨ̆,
ß,phonetic,NA,ß,
ṭ,phonetic,NA,t,
ă,phonetic,NA,ă,
ŭ,phonetic,NA,ŭ,
