value,transcription,alt_transcription,IPA,Comment
h,phonetic,NA,h,
ɔ,phonetic,NA,ɔ,
i,phonetic,NA,i,
13,phonetic,NA,1,
31,phonetic,NA,2,
33,phonetic,NA,3,
35,phonetic,NA,4,
44,phonetic,NA,5,
441,phonetic,NA,6,
51,phonetic,NA,7,
55,phonetic,NA,8,
t,phonetic,NA,t,
ə,phonetic,NA,ə,
m,phonetic,NA,m,
k,phonetic,NA,k,
a,phonetic,NA,a,
ŋ,phonetic,NA,ŋ,
u,phonetic,NA,u,
e,phonetic,NA,e,
ʔ,phonetic,NA,ʔ,
p,phonetic,NA,p,
n,phonetic,NA,n,
l,phonetic,NA,l,
ɨ,phonetic,NA,ɨ,
v,phonetic,NA,v,
ɛ,phonetic,NA,ɛ,
r,phonetic,NA,r,
o,phonetic,NA,o,
s,phonetic,NA,s,
j,phonetic,NA,j,
ž,phonetic,NA,dʒ,
f,phonetic,NA,f,
ć,phonetic,NA,tɕ,
ŋ́,phonetic,NA,ŋ,
g,phonetic,NA,g,
ϑ,phonetic,NA,θ,
ḅ,phonetic,NA,b,
χ,phonetic,NA,χ,
