value,transcription,alt_transcription,IPA,Comment
t,NA,NA,t,
e,NA,NA,e,
ŋ,NA,NA,ŋ,
1,NA,NA,1,
2,NA,NA,2,
3,NA,NA,3,
4,NA,NA,4,
5,NA,NA,5,
6,NA,NA,6,
7,NA,NA,7,
8,NA,NA,8,
0,NA,NA,9,
f,NA,NA,f,
ɛ,NA,NA,ɛ,
l,NA,NA,l,
i,NA,NA,i,
u,NA,NA,u,
o,NA,NA,o,
k,NA,NA,k,
a,NA,NA,a,
n,NA,NA,n,
h,NA,NA,h,
j,NA,NA,j,
p,NA,NA,p,
ć,NA,NA,c,https://abvd.shh.mpg.de/austronesian/language.php?id=761 compare "say"
s,NA,NA,s,
ö,NA,NA,ø,https://abvd.shh.mpg.de/austronesian/language.php?id=761
m,NA,NA,m,
w,NA,NA,w,
:,NA,NA,ː,
ɔ,NA,NA,ɔ,
c,NA,NA,ts,https://abvd.shh.mpg.de/austronesian/language.php?id=761 compare "eat"
ɣ,NA,NA,ɣ,
ń,NA,NA,ȵ,compare "mosquito" "spider" "cry" https://abvd.shh.mpg.de/austronesian/language.php?id=761 compare "eat"
ə,NA,NA,ə,
ś,NA,NA,ç,compare "person" https://abvd.shh.mpg.de/austronesian/language.php?id=761
ʔ,NA,NA,ʔ,
ü,NA,NA,u,
v,NA,NA,v,
ɨ,NA,NA,ɨ,
b,NA,NA,b,
g,NA,NA,g,
I,NA,NA,i,
r,NA,NA,r,only on english annotations
