value,transcription,alt_transcription,IPA,Comment
1,Phonemic,NA,1,
2,Phonemic,NA,2,
3,Phonemic,NA,3,
4,Phonemic,NA,4,
5,Phonemic,NA,5,
6,Phonemic,NA,6,
7,Phonemic,NA,7,
8,Phonemic,NA,8,
9,Phonemic,NA,9,
10,Phonemic,NA,10,
d,Phonemic,NA,d,
ɨ,Phonemic,NA,ɨ,
k,Phonemic,NA,k,
s,Phonemic,NA,s,
a,Phonemic,NA,a,
u,Phonemic,NA,u,
l,Phonemic,NA,l,
ɛ,Phonemic,NA,ɛ,
p,Phonemic,NA,p,
e,Phonemic,NA,e,
:,Phonemic,NA,ː,
j,Phonemic,NA,j,
t,Phonemic,NA,t,
ɔ,Phonemic,NA,ɔ,
i,Phonemic,NA,i,
m,Phonemic,NA,m,
ə,Phonemic,NA,ə,
h,Phonemic,NA,h,
o,Phonemic,NA,o,
n,Phonemic,NA,n,
v,Phonemic,NA,v,
ʔ,Phonemic,NA,ʔ,
x,Phonemic,NA,x,
ŋ,Phonemic,NA,ŋ,
c,Phonemic,NA,c,https://www.webonary.org/dailu/language/phonology/?lang=en
f,Phonemic,NA,f,
b,Phonemic,NA,b,
w,Phonemic,NA,w,
CHECK P.20,Phonemic,NA,,weird comment at the end of some entries
check p.20,Phonemic,NA,,weird comment at the end of some entries
