value,transcription,alt_transcription,IPA,Comment
t,Phonemic,NA,t,
a,Phonemic,NA,a,
ŋ,Phonemic,NA,ŋ,
1,Phonemic,NA,1,
2,Phonemic,NA,2,
3,Phonemic,NA,3,
4,Phonemic,NA,4,
5,Phonemic,NA,5,
6,Phonemic,NA,6,
l,Phonemic,NA,l,
i,Phonemic,NA,i,
ɛ,Phonemic,NA,ɛ,
u,Phonemic,NA,u,
p,Phonemic,NA,p,
j,Phonemic,NA,j,
:,Phonemic,NA,ː,
š,Phonemic,NA,ɕ,https://en.wikipedia.org/wiki/Standard_Zhuang#Phonology https://en.wiktionary.org/wiki/Appendix:Kra-Dai_Swadesh_lists
k,Phonemic,NA,k,
ɔ,Phonemic,NA,ɔ,
o,Phonemic,NA,o,
ń,Phonemic,NA,ɲ,based on other similar transcriptions
m,Phonemic,NA,m,
n,Phonemic,NA,n,
f,Phonemic,NA,f,
ɨ,Phonemic,NA,ɨ,
ʔ,Phonemic,NA,ʔ,
b,Phonemic,NA,b,
c,Phonemic,NA,c,
e,Phonemic,NA,e,
s,Phonemic,NA,s,
w,Phonemic,NA,w,
h,Phonemic,NA,h,
g,Phonemic,NA,g,
r,Phonemic,NA,r,
d,Phonemic,NA,d,
v,Phonemic,NA,v,
ə,Phonemic,NA,ə,
г,Phonemic,NA,g,
ю,Phonemic,NA,u,
ṗ,Phonemic,NA,p,
y,Phonemic,NA,j,
ł,Phonemic,NA,ł,
