saepe,s aɪ p ɛ 
strāgulum,s t  r a ɡ ʊ l ʊ m 
matta,m a t a 
storea,s t ɔ r ɛ a 
teges,t ɛ ɡ ɛ s 
corbis,k ɔ r b ɪ s 
calathus,k a l a tʰ ʊ s 
plectere,p l ɛ k t ɛ r ɛ 
vitrum,w ɪ t  r ʊ m 
argilla,a r ɡ ɪ l l a 
crēta,k  r ɛ t a 
fingere,f ɪ ŋ ɡ ɛ r ɛ 
figulus,f ɪ ɡ ʊ l ʊ s 
plumbum album,p l ʊ m b ʊ m  a l b ʊ m 
plumbum,p l ʊ m b ʊ m 
ferrum,f ɛ r ɾ ʊ m 
aes,aɪ s 
argentum,a r ɡ ɛ n t ʊ m 
aurum,aʊ r ʊ m 
fundere,f ʊ n d ɛ r ɛ 
incūs,ɪ ŋ k ʊ s 
fabricāre,f a b  r ɪ k a r ɛ 
cūdere,k ʊ d ɛ r ɛ 
faber,f a b ɛ r 
ferrārius,f ɛ r ɾ a r ɪ  ʊ s 
glūten,ɡ l ʊ t ɛ n 
glūtinum,ɡ l ʊ t ɪ n ʊ m 
clāvus,k l a w ʊ s 
malleus,m a l l ɛʊ s 
serra,s ɛ r ɾ a 
cavāre,k a w a r ɛ 
perforāre,p ɛ r f ɔ r a r ɛ 
terebrāre,t ɛ r ɛ b  r a r ɛ 
aedificāre,aɪ d ɪ f ɪ k a r ɛ 
faber,f a b ɛ r 
instrūmentum,ɪ n s t  r ʊ m ɛ n t ʊ m 
scōpae,s k ɔ p aɪ 
lavāre,l a w a r ɛ 
verrere,w ɛ r ɾ ɛ r ɛ 
fundere,f ʊ n d ɛ r ɛ 
premere,p  r ɛ m ɛ r ɛ 
stringere,s t  r ɪ ŋ ɡ ɛ r ɛ 
premere,p  r ɛ m ɛ r ɛ 
pendere,p ɛ n d ɛ r ɛ 
sternere,s t ɛ r n ɛ r ɛ 
spargere,s p a r ɡ ɛ r ɛ 
trahere,t  r a h ɛ r ɛ 
dūcere,d ʊ k ɛ r ɛ 
tendere,t ɛ n d ɛ r ɛ 
fricāre,f  r ɪ k a r ɛ 
terere,t ɛ r ɛ r ɛ 
dēglūbere,d ɛ ɡ l ʊ b ɛ r ɛ 
scindere,s k ɪ n d ɛ r ɛ 
findere,f ɪ n d ɛ r ɛ 
frāctum,f  r a k t ʊ m 
ruptum,r ʊ p t ʊ m 
frangere,f  r a ŋ ɡ ɛ r ɛ 
rumpere,r ʊ m p ɛ r ɛ 
secūris,s ɛ k ʊ r ɪ s 
bipennis,b ɪ p ɛ n n ɪ s 
ascia,a s k ɪ  a 
forficēs,f ɔ r f ɪ k ɛ s 
culter,k ʊ l t ɛ r 
confodere,k ɔ n f ɔ d ɛ r ɛ 
dolāre,d ɔ l a r ɛ 
caedere,k aɪ d ɛ r ɛ 
secāre,s ɛ k a r ɛ 
caedere,k aɪ d ɛ r ɛ 
pugnīs contundere,p ʊ ŋ n ɪ s  k ɔ n t ʊ n d ɛ r ɛ 
ferīre,f ɛ r ɪ r ɛ 
percutere,p ɛ r k ʊ t ɛ r ɛ 
nōdus,n ɔ d ʊ s 
fūnis,f ʊ n ɪ s 
restis,r ɛ s t ɪ s 
catēna,k a t ɛ n a 
solvere,s ɔ l w ɛ r ɛ 
vincīre,w ɪ ŋ k ɪ r ɛ 
ligāre,l ɪ ɡ a r ɛ 
nectere,n ɛ k t ɛ r ɛ 
plicāre,p l ɪ k a r ɛ 
flectere,f l ɛ k t ɛ r ɛ 
curvāre,k ʊ r w a r ɛ 
opus,ɔ p ʊ s 
opera,ɔ p ɛ r a 
labor,l a b ɔ r 
facere,f a k ɛ r ɛ 
agere,a ɡ ɛ r ɛ 
fungus,f ʊ ŋ ɡ ʊ s 
urtīca,ʊ r t ɪ k a 
saccharum,s a kʰ a r ʊ m 
harundō indica,h a r ʊ n d ɔ  ɪ n d ɪ k a 
colocynthis,k ɔ l ɔ k y n tʰ ɪ s 
cucurbita,k ʊ k ʊ r b ɪ t a 
citrea,k ɪ t  r ɛ a 
palma,p a l m a 
sūcus,s ʊ k ʊ s 
cortex,k ɔ r t ɛ k s 
furca,f ʊ r k a 
truncus,t  r ʊ ŋ k ʊ s 
caudex,k aʊ d ɛ k s 
stipes,s t ɪ p ɛ s 
truncus,t  r ʊ ŋ k ʊ s 
caudex,k aʊ d ɛ k s 
stipes,s t ɪ p ɛ s 
vītis,w ɪ t ɪ s 
glans,ɡ l a n s 
abies,a b ɪ  ɛ s 
pīnus,p ɪ n ʊ s 
betu(l)la,b ɛ t ʊ    ɛ l    l a 
fāgus,f a ɡ ʊ s 
quercus,k w ɛ r k ʊ s 
rōbur,r ɔ b ʊ r 
arbor,a r b ɔ r 
flōs,f l ɔ s 
folium,f ɔ l ɪ  ʊ m 
rāmus,r a m ʊ s 
rādīx,r a d ɪ k s 
plantāre,p l a n t a r ɛ 
serere,s ɛ r ɛ r ɛ 
fēnum,f ɛ n ʊ m 
herba,h ɛ r b a 
herba,h ɛ r b a 
grāmen,ɡ  r a m ɛ n 
orȳza,ɔ r y z a 
avēna,a w ɛ n a 
secale,s ɛ k a l ɛ 
centēnum,k ɛ n t ɛ n ʊ m 
trīticum,t  r ɪ t ɪ k ʊ m 
hordeum,h ɔ r d ɛʊ m 
frūmentum,f  r ʊ m ɛ n t ʊ m 
frūgēs,f  r ʊ ɡ ɛ s 
seges,s ɛ ɡ ɛ s 
messis,m ɛ s s ɪ s 
ārea,a r ɛ a 
terere,t ɛ r ɛ r ɛ 
falx,f a l k s 
metere,m ɛ t ɛ r ɛ 
sēmen,s ɛ m ɛ n 
serere,s ɛ r ɛ r ɛ 
sēmināre,s ɛ m ɪ n a r ɛ 
rāstrum,r a s t  r ʊ m 
rastellus,r a s t ɛ l l ʊ s 
furca,f ʊ r k a 
ligō,l ɪ ɡ ɔ 
sarculum,s a r k ʊ l ʊ m 
pāla,p a l a 
pāla,p a l a 
sulcus,s ʊ l k ʊ s 
fodere,f ɔ d ɛ r ɛ 
arāre,a r a r ɛ 
arātrum,a r a t  r ʊ m 
fossa,f ɔ s s a 
fovea,f ɔ w ɛ a 
scrobs,s k  r ɔ b s 
saeptum,s aɪ p t ʊ m 
saepīmentum,s aɪ p ɪ m ɛ n t ʊ m 
lōrīca,l ɔ r ɪ k a 
colere,k ɔ l ɛ r ɛ 
hortus,h ɔ r t ʊ s 
ager,a ɡ ɛ r 
arvum,a r w ʊ m 
agricola,a ɡ  r ɪ k ɔ l a 
calx arēnātus,k a l k s  a r ɛ n a t ʊ s 
mortārium,m ɔ r t a r ɪ  ʊ m 
later,l a t ɛ r 
arcus,a r k ʊ s 
fornix,f ɔ r n ɪ k s 
faber,f a b ɛ r 
tabula,t a b ʊ l a 
assis,a s s ɪ s 
postis,p ɔ s t ɪ s 
trabs,t  r a b s 
canthērius,k a n tʰ ɛ r ɪ  ʊ s 
culmus,k ʊ l m ʊ s 
stipula,s t ɪ p ʊ l a 
tēctum,t ɛ k t ʊ m 
canāliculus,k a n a l ɪ k ʊ l ʊ s 
alveus,a l w ɛʊ s 
pluteus,p l ʊ t ɛʊ s 
abacus,a b a k ʊ s 
candēla,k a n d ɛ l a 
lucerna,l ʊ k ɛ r n a 
lampas,l a m p a s 
mēnsa,m ɛ n s a 
sella,s ɛ l l a 
cathedra,k a tʰ ɛ d  r a 
strāgulum,s t  r a ɡ ʊ l ʊ m 
lōdix,l ɔ d ɪ k s 
cervīcal,k ɛ r w ɪ k a l 
culcita,k ʊ l k ɪ t a 
lectus,l ɛ k t ʊ s 
scalae,s k a l aɪ 
camīnus,k a m ɪ n ʊ s 
furnus,f ʊ r n ʊ s 
fornāx,f ɔ r n a k s 
camīnus,k a m ɪ n ʊ s 
focus,f ɔ k ʊ s 
camīnus,k a m ɪ n ʊ s 
mūrus,m ʊ r ʊ s 
moenia,m ɔɪ n ɪ  a 
pariēs,p a r ɪ  ɛ s 
pavīmentum,p a w ɪ m ɛ n t ʊ m 
solum,s ɔ l ʊ m 
fenestra,f ɛ n ɛ s t  r a 
clāvis,k l a w ɪ s 
obex,ɔ b ɛ k s 
claustrum,k l aʊ s t  r ʊ m 
pessulus,p ɛ s s ʊ l ʊ s 
sera,s ɛ r a 
antae,a n t aɪ 
conclāve,k ɔ ŋ k l a w ɛ 
cubiculum,k ʊ b ɪ k ʊ l ʊ m 
forēs,f ɔ r ɛ s 
ōstium,ɔ s t ɪ  ʊ m 
iānua,j a n ʊ a 
porta,p ɔ r t a 
conventiculum,k ɔ n w ɛ n t ɪ k ʊ l ʊ m 
popīna,p ɔ p ɪ n a 
andrōn,a n d  r ɔ n 
cohors,k ɔ h ɔ r s 
