value,transcription,alt_transcription,IPA,Comment
t,Phonemic,NA,t,
a,Phonemic,NA,a,
ʔ,Phonemic,NA,ʔ,
o,Phonemic,NA,o,
f,Phonemic,NA,f,
i,Phonemic,NA,i,
k,Phonemic,NA,k,
s,Phonemic,NA,s,
ŋ,Phonemic,NA,ŋ,
m,Phonemic,NA,m,
l,Phonemic,NA,l,
v,Phonemic,NA,v,
e,Phonemic,NA,e,
u,Phonemic,NA,u,
h,Phonemic,NA,h,
p,Phonemic,NA,p,
ā,Phonemic,NA,,aː,
ng,Phonemic,NA,ŋ,added because g appears only with n in IDS tongan words
n,Phonemic,NA,n,
g,Phonemic,NA,g,
ē,Phonemic,NA,eː,
ō,Phonemic,NA,oː,
ū,Phonemic,NA,uː,
ī,Phonemic,NA,iː,
í,Phonemic,NA,i,loan word from english
S,Phonemic,NA,s,
P,Phonemic,NA,p,
T,Phonemic,NA,t,
