value,transcription,alt_transcription,IPA,Comment
β,Phonemic,NA,β,
e,Phonemic,NA,ɛ,http://www.native-languages.org/baure_guide.htm puts this as the main pronunciation
h,Phonemic,NA,h,
a,Phonemic,NA,a,
k,Phonemic,NA,k,
o,Phonemic,NA,o,
p,Phonemic,NA,p,
w,Phonemic,NA,w,
m,Phonemic,NA,m,
t,Phonemic,NA,t,
i,Phonemic,NA,i,
y,Phonemic,NA,j,
š,Phonemic,NA,ʃ,
ṛ̌,Phonemic,NA,ɽ,two words in https://theswissbay.ch/pdf/Books/Linguistics/Mega%20linguistics%20pack/South%20American/Arawakan/Baure%20-%20An%20Arawak%20Language%20of%20Bolivia%20%28Danielsen%29.pdf βiṛ̌ and -'we-ṛ̌ have ṛ̌ as ɽ
r,Phonemic,NA,r,
n,Phonemic,NA,n,
b,Phonemic,NA,b,
č,Phonemic,NA,tʃ,
s,Phonemic,NA,s,
u,Phonemic,NA,u,not in sources
ʔ,Phonemic,NA,ʔ,
