value,transcription,alt_transcription,IPA,Comment
w,Phonemic,NA,w,
a,Phonemic,NA,a,
u,Phonemic,NA,u,
p,Phonemic,NA,p,
č,Phonemic,NA,tʃ,
ɨ,Phonemic,NA,ɨ,
h,Phonemic,NA,h,
t,Phonemic,NA,t,
ˀ,Phonemic,NA,ˀ,
ʔ,Phonemic,NA,ʔ,
n,Phonemic,NA,n,
l,Phonemic,NA,l,
e,Phonemic,NA,e,
k,Phonemic,NA,k,
s,Phonemic,NA,s,
y,Phonemic,NA,j,
m,Phonemic,NA,m,
i,Phonemic,NA,i,
d,Phonemic,NA,d,
o,Phonemic,NA,o,
r,Phonemic,NA,ɾ,
b,Phonemic,NA,b,
ʸ,Phonemic,NA,ʸ,
f,Phonemic,NA,f,
v,Phonemic,NA,v,loan from spanish jueves
ï,Phonemic,NA,i,
