value,transcription,alt_transcription,IPA,Comment
k,Phonemic,NA,k,
ʰ,Phonemic,NA,ʰ,
r,Phonemic,NA,ɾ,https://en.wikipedia.org/wiki/Krah%C3%B4_dialect#Phonology suspicion that this is Kraho dialect, not canela
ɛ,Phonemic,NA,ɛ,
p,Phonemic,NA,p,
ɨ,Phonemic,NA,ɨ,
c̷,Phonemic,NA,t͡s,
a,Phonemic,NA,a,
n,Phonemic,NA,n,
ɔ̃,Phonemic,NA,ɔ̃,
y,Phonemic,NA,j,
ə̃,Phonemic,NA,ə̃,nasalized
ɨ̃,Phonemic,NA,ɨ̃,
l,Phonemic,NA,l,
i,Phonemic,NA,i,
t,Phonemic,NA,t,
ŋ,Phonemic,NA,ŋ,
ə,Phonemic,NA,ə,
m,Phonemic,NA,m,
õ,Phonemic,NA,õ,
h,Phonemic,NA,ɦ,
u,Phonemic,NA,u,
o,Phonemic,NA,o,
e,Phonemic,NA,e,
w,Phonemic,NA,w,
ɔ,Phonemic,NA,ɔ,
ʔ,Phonemic,NA,ʔ,
ɛ̃,Phonemic,NA,ɛ̃,
ĩ,Phonemic,NA,ĩ,
z,Phonemic,NA,z,
ũ,Phonemic,NA,ũ,
ã,Phonemic,NA,ã,
