value,transcription,alt_transcription,IPA,Comment
c̷,Phonemic,NA,ts,
a,Phonemic,NA,a,
s,Phonemic,NA,s,
i,Phonemic,NA,i,
m,Phonemic,NA,m,
t,Phonemic,NA,t,
y,Phonemic,NA,j,
ã,Phonemic,NA,ã,
k,Phonemic,NA,k,
ɨ,Phonemic,NA,ɨ,
o,Phonemic,NA,o,
β,Phonemic,NA,β,
p,Phonemic,NA,p,
š,Phonemic,NA,ʃ,
õ,Phonemic,NA,õ,
r,Phonemic,NA,ɻ,https://en.wikipedia.org/wiki/Shipibo_language
ɨ̃,Phonemic,NA,ɨ̃,
ṣ̌,Phonemic,NA,ʃ,
n,Phonemic,NA,n,
č,Phonemic,NA,tʃ,
e,Phonemic,NA,e,
w,Phonemic,NA,w,
ĩ,Phonemic,NA,ĩ,
b,Phonemic,NA,b,
h,Phonemic,NA,h,
ṣ̌,Phonemic,NA,ʂ,https://omniglot.com/writing/shipibo.htm see second pronunciation of sh
c,Phonemic,NA,c,loan word escuela
