value,transcription,alt_transcription,IPA,Comment
h,Phonemic,NA,h,
o,Phonemic,NA,o,
ʔ,Phonemic,NA,ʔ,
p,Phonemic,NA,p,
a,Phonemic,NA,a,
u,Phonemic,NA,u,
k,Phonemic,NA,k,
i,Phonemic,NA,i,
ō,Phonemic,NA,oː,
m,Phonemic,NA,m,
l,Phonemic,NA,l,
ā,Phonemic,NA,aː,
w,Phonemic,NA,w,
ī,Phonemic,NA,iː,
n,Phonemic,NA,n,
ū,Phonemic,NA,uː,
e,Phonemic,NA,e,
ē,Phonemic,NA,eː,
s,Phonemic,NA,s,
g,Phonemic,NA,g,
r,Phonemic,NA,ɾ,https://en.wikipedia.org/wiki/Hawaiian_language#Phonology
b,Phonemic,NA,b,loan from english (beer)
t,Phonemic,NA,t,
