,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy,language_name
0,0.11917957554810839,0.5600759696121551,0.5675729708116753,0.3888888888888889,0.5121951219512195,0.6229508196721312,Upper Chehalis
1,0.1603101361318041,0.5707716913234706,0.5918632546981207,0.42105263157894735,0.5853658536585366,0.5983606557377049,Upper Chehalis
2,0.17500165590993333,0.5353858456617353,0.5907636945221911,0.44303797468354433,0.8536585365853658,0.32786885245901637,Upper Chehalis
3,0.12361535100083781,0.5137944822071172,0.5578768492602959,0.42352941176470593,0.8780487804878049,0.23770491803278687,Upper Chehalis
4,0.11847114195632229,0.5046981207516993,0.536985205917633,0.418848167539267,0.975609756097561,0.09836065573770492,Upper Chehalis
5,0.08095259555352945,0.5211915233906437,0.537485005997601,0.4093567251461988,0.8536585365853658,0.22131147540983606,Upper Chehalis
6,0.10205477102640616,0.5126949220311875,0.5401839264294283,0.25396825396825395,0.1951219512195122,0.8852459016393442,Upper Chehalis
7,0.08808623839212464,0.544782087165134,0.5459816073570571,0.4076433121019109,0.7804878048780488,0.3114754098360656,Upper Chehalis
8,0.20853703208582786,0.6364454218312675,0.6201519392243102,0.45528455284552855,0.6829268292682927,0.5573770491803278,Upper Chehalis
9,0.09539067293705931,0.4959016393442623,0.5548780487804879,0.3937007874015748,0.6097560975609756,0.5,Upper Chehalis
10,0.04621843169628011,0.47421031587365053,0.5265893642542983,0.3559322033898305,0.5121951219512195,0.5409836065573771,Upper Chehalis
11,0.10304216810853488,0.5338864454218313,0.5587764894042383,0.40298507462686567,0.6585365853658537,0.45901639344262296,Upper Chehalis
12,0.258021018456304,0.660435825669732,0.6486405437824869,0.4838709677419354,0.7317073170731707,0.5655737704918032,Upper Chehalis
13,0.1025361430401696,0.5281887245101959,0.5541783286685326,0.4129032258064516,0.7804878048780488,0.32786885245901637,Upper Chehalis
14,0.13552845257506763,0.44072371051579373,0.5121951219512195,0.047619047619047616,0.024390243902439025,1.0,Upper Chehalis
15,0.13886912973992016,0.5571771291483407,0.5682726909236305,0.35000000000000003,0.34146341463414637,0.7950819672131147,Upper Chehalis
16,0.1515540934139968,0.4799080367852859,0.5658736505397841,0.43181818181818177,0.926829268292683,0.20491803278688525,Upper Chehalis
17,0.11703506876042881,0.538984406237505,0.5669732107157137,0.4090909090909091,0.6585365853658537,0.47540983606557374,Upper Chehalis
18,0.06622734104408626,0.5188924430227908,0.5353858456617353,0.32608695652173914,0.36585365853658536,0.7049180327868853,Upper Chehalis
19,0.1211770384667748,0.5557776889244302,0.5494802079168333,0.4222222222222223,0.926829268292683,0.1721311475409836,Upper Chehalis
20,0.14140059476204658,0.49280287884846063,0.5484806077568972,0.2456140350877193,0.17073170731707318,0.9262295081967213,Upper Chehalis
21,0.08127801135427523,0.5103958416633347,0.5466813274690123,0.3875968992248063,0.6097560975609756,0.48360655737704916,Upper Chehalis
22,0.05485372464738929,0.5058976409436226,0.5298880447820872,0.38926174496644295,0.7073170731707317,0.3524590163934426,Upper Chehalis
23,0.19325228111784154,0.614454218312675,0.5988604558176729,0.45,0.8780487804878049,0.319672131147541,Upper Chehalis
