,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.3654146351566657,0.6909722222222222,0.6819444444444445,0.6571428571428571,0.6388888888888888,0.725
1,0.3940342057016818,0.7520833333333333,0.6972222222222222,0.684931506849315,0.6944444444444444,0.7
2,0.4452180646024972,0.7694444444444444,0.7222222222222222,0.7042253521126761,0.6944444444444444,0.75
3,0.4452180646024972,0.7201388888888889,0.7222222222222222,0.7042253521126761,0.6944444444444444,0.75
4,0.3940342057016818,0.7270833333333334,0.6972222222222222,0.684931506849315,0.6944444444444444,0.7
5,0.3235732647188796,0.7062499999999999,0.6611111111111111,0.6666666666666666,0.7222222222222222,0.6
6,0.36493797212992807,0.6361111111111112,0.6416666666666666,0.48,0.3333333333333333,0.95
7,0.3820465887291705,0.6611111111111111,0.6888888888888889,0.7000000000000001,0.7777777777777778,0.6
8,0.28091465515038705,0.6416666666666667,0.6375,0.6585365853658538,0.75,0.525
9,0.3419643480720085,0.7069444444444445,0.663888888888889,0.6031746031746033,0.5277777777777778,0.8
10,0.26606624323887046,0.5993055555555555,0.6208333333333333,0.5172413793103449,0.4166666666666667,0.825
11,0.31241556593546993,0.6604166666666667,0.6555555555555556,0.6285714285714287,0.6111111111111112,0.7
12,0.1231487485454326,0.5270833333333333,0.5513888888888889,0.3773584905660377,0.2777777777777778,0.825
13,0.2027165311736728,0.5680555555555555,0.5986111111111111,0.6265060240963856,0.7222222222222222,0.475
14,0.18458165888505,0.5520833333333334,0.5597222222222222,0.6601941747572816,0.9444444444444444,0.175
15,0.36666666666666664,0.7027777777777778,0.6833333333333333,0.6666666666666666,0.6666666666666666,0.7
16,0.4777777777777778,0.7805555555555554,0.7388888888888889,0.7368421052631577,0.7777777777777778,0.7
17,0.3128643881965045,0.6444444444444444,0.6305555555555555,0.490566037735849,0.3611111111111111,0.9
18,0.2027165311736728,0.6298611111111111,0.5986111111111111,0.6265060240963856,0.7222222222222222,0.475
19,0.36666666666666664,0.701388888888889,0.6833333333333333,0.6666666666666666,0.6666666666666666,0.7
20,0.13991283347480962,0.5451388888888888,0.5694444444444444,0.5822784810126581,0.6388888888888888,0.5
21,0.3042903097250923,0.6041666666666666,0.6319444444444444,0.509090909090909,0.3888888888888889,0.875
22,0.5319255353263981,0.7993055555555556,0.7569444444444444,0.7187499999999999,0.6388888888888888,0.875
23,0.4467570923800758,0.7444444444444445,0.7236111111111111,0.7123287671232876,0.7222222222222222,0.725
24,0.3820465887291705,0.7229166666666667,0.6888888888888889,0.7000000000000001,0.7777777777777778,0.6
25,0.3187803244739062,0.6791666666666667,0.6527777777777778,0.6823529411764706,0.8055555555555556,0.5
26,0.4452180646024972,0.7236111111111111,0.7222222222222222,0.7042253521126761,0.6944444444444444,0.75
