,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy
35,0.5733429153766614,0.8246048503861003,0.808807915057915,0.7049180327868853,0.8301158301158301,0.7875
36,0.5282496713724961,0.8429657335907336,0.7909356901544402,0.672566371681416,0.8803088803088803,0.7015625
37,0.5474762673530582,0.8534477557915059,0.7900066361003861,0.6872852233676976,0.7722007722007722,0.8078125
38,0.5661368331336392,0.8608289092664093,0.7959338803088803,0.6985815602836879,0.7606177606177607,0.83125
39,0.5196622754796552,0.8629464285714287,0.7868032094594595,0.6629526462395543,0.918918918918919,0.6546875
40,0.5267253148584313,0.8379916747104247,0.7894636824324325,0.6726726726726726,0.8648648648648649,0.7140625
41,0.5410660220019774,0.8370022924710424,0.7985672055984556,0.67816091954023,0.9111969111969112,0.6859375
42,0.5177384723918781,0.8413157577220078,0.7800826496138996,0.6688206785137318,0.7992277992277992,0.7609375
43,0.5315273847720906,0.8340190637065636,0.7903806708494208,0.6770186335403726,0.8416988416988417,0.7390625
44,0.45752360462635766,0.840145390926641,0.7524674227799228,0.6293103448275863,0.8455598455598455,0.659375
45,0.5310986423607555,0.8438917712355213,0.7803541264478765,0.6759098786828424,0.752895752895753,0.8078125
46,0.5460397624524338,0.8526363416988417,0.7963079150579151,0.6869009584664537,0.8301158301158301,0.7625
47,0.4417859471229611,0.8030978523166025,0.7437831805019305,0.6185852981969486,0.861003861003861,0.6265625
48,0.5104917970713496,0.8446428571428571,0.7812379343629343,0.6617647058823529,0.8687258687258688,0.69375
49,0.4704971550711789,0.812949444980695,0.7403173262548263,0.6282527881040892,0.6525096525096525,0.828125
50,0.27126587957631804,0.66316361003861,0.6497436052123553,0.5212464589235127,0.7104247104247104,0.5890625
51,0.4949140526514527,0.83660111003861,0.771675916988417,0.6535552193645991,0.833976833976834,0.709375
52,0.4814060988475134,0.8261402027027027,0.7577431225868725,0.64440734557596,0.7451737451737451,0.7703125
53,0.5120657485242063,0.8228704150579149,0.780269666988417,0.6646153846153846,0.833976833976834,0.7265625
54,0.3453275317113876,0.770583976833977,0.6897351592664093,0.5638297872340425,0.8185328185328186,0.5609375
55,0.5318837373494018,0.8516137789575289,0.7911166747104247,0.676923076923077,0.8494208494208494,0.7328125
56,0.5975912975672998,0.8584368967181466,0.8292682191119691,0.7136563876651982,0.9382239382239382,0.7203125
57,0.531385722885715,0.8422568774131274,0.7900126689189189,0.6770670826833074,0.8378378378378378,0.7421875
58,0.47370166222819776,0.8268098455598455,0.7589557191119691,0.6303501945525292,0.9382239382239382,0.5796875
59,0.5342691623127114,0.8306165540540542,0.7940606901544401,0.6765578635014836,0.8803088803088803,0.7078125
60,0.5238742123092153,0.8592875241312742,0.7891922055984556,0.6666666666666666,0.9111969111969112,0.6671875
61,0.460548058329104,0.8328939430501932,0.7537584459459459,0.6277173913043479,0.8918918918918919,0.615625
62,0.5399846662739579,0.8421663851351351,0.7980634652509653,0.6750700280112044,0.9305019305019305,0.665625
63,0.5877865573947418,0.8546301882239382,0.8231539575289575,0.7095808383233533,0.915057915057915,0.73125
64,0.45784193015899854,0.8303692084942086,0.752195945945946,0.6260162601626016,0.8918918918918919,0.6125
65,0.46736207024209836,0.808614864864865,0.7473998552123553,0.6333907056798622,0.7104247104247104,0.784375
66,0.5160030494207526,0.8302907818532819,0.7658270994208494,0.6617915904936015,0.6988416988416989,0.8328125
67,0.43813908755168735,0.8194377413127414,0.7413429054054055,0.6185567010309277,0.8108108108108109,0.671875
68,0.33632457687243633,0.7441541988416989,0.6738899613899614,0.5519630484988451,0.9227799227799228,0.425
69,0.481072948235714,0.819051640926641,0.762816722972973,0.6338939197930143,0.9459459459459459,0.5796875
70,0.5203796666664715,0.8327551882239381,0.7872617036679537,0.6647807637906648,0.9073359073359073,0.6671875
71,0.39035865641004,0.7399191602316602,0.7050042229729729,0.578512396694215,0.9459459459459459,0.4640625
72,0.4991878367077292,0.8243394063706564,0.7753559362934364,0.654124457308249,0.8725868725868726,0.678125
73,0.23356066395481134,0.6585243725868726,0.6205417471042471,0.4663023679417122,0.4942084942084942,0.746875
74,0.5913568591375292,0.8749185569498068,0.8196096766409267,0.7163695299837926,0.8532818532818532,0.7859375
