,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy,language_name
0,0.26966991298091103,0.6349805345243498,0.6416202918627147,0.5586592178770949,0.6711409395973155,0.6120996441281139,Waurá
1,0.27115893018313675,0.6465284578088801,0.6405574530081922,0.5714285714285715,0.7651006711409396,0.5160142348754448,Waurá
2,0.23768778814021493,0.6137476414531038,0.6231101769805822,0.524390243902439,0.5771812080536913,0.6690391459074733,Waurá
3,0.2887421588379065,0.6364374596957176,0.6466478779048939,0.5436893203883495,0.5637583892617449,0.7295373665480427,Waurá
4,0.1780212802877006,0.5590651794884043,0.5674245862093673,0.33488372093023255,0.24161073825503357,0.8932384341637011,Waurá
5,0.1850815963364264,0.6195872841481764,0.5971840741359956,0.5098039215686274,0.610738255033557,0.5836298932384342,Waurá
6,0.22935446144601154,0.5991067376818171,0.596813871838353,0.4152542372881356,0.3288590604026846,0.8647686832740213,Waurá
7,0.19244366855305955,0.5681172227662471,0.600945807160429,0.5113636363636365,0.6040268456375839,0.597864768683274,Waurá
8,0.20858333174982222,0.5753540805846807,0.6077646946428146,0.5409429280397022,0.7315436241610739,0.48398576512455516,Waurá
9,0.2365201918632452,0.5938403114476103,0.6084334471804915,0.5628997867803837,0.8859060402684564,0.3309608540925267,Waurá
10,0.22083412076147985,0.6099023143614607,0.6134490912130693,0.5078369905956114,0.5436241610738255,0.6832740213523132,Waurá
11,0.2518420802117289,0.563758389261745,0.6298812964245624,0.562962962962963,0.7651006711409396,0.49466192170818507,Waurá
12,0.2104350446694984,0.6027132245814326,0.607143710143543,0.4951768488745981,0.5167785234899329,0.697508896797153,Waurá
13,0.1422313758097364,0.5296639518498173,0.5551720843583559,0.319634703196347,0.2348993288590604,0.8754448398576512,Waurá
14,0.19331544360268746,0.6337624495450094,0.598055840836896,0.5380952380952382,0.7583892617449665,0.4377224199288256,Waurá
15,0.2608411668552985,0.5995963600754735,0.6360314313692708,0.5641025641025642,0.738255033557047,0.5338078291814946,Waurá
16,0.13195245355356525,0.5609281329862189,0.5693233657359861,0.4835164835164835,0.5906040268456376,0.5480427046263345,Waurá
17,0.16559506144191563,0.5859466431011011,0.5862571353507369,0.5153061224489797,0.6778523489932886,0.49466192170818507,Waurá
18,0.21299523970932294,0.5881917409061597,0.5928491246506962,0.4180327868852459,0.3422818791946309,0.8434163701067615,Waurá
19,0.24792268678731547,0.5982110869617139,0.6235639733454346,0.5067567567567568,0.5033557046979866,0.7437722419928826,Waurá
20,0.22197114572541676,0.5929566027371086,0.6144761040387876,0.548148148148148,0.7449664429530202,0.48398576512455516,Waurá
21,0.2548934215294145,0.5885022331557954,0.6230026988941699,0.4946236559139785,0.46308724832214765,0.7829181494661922,Waurá
22,0.17633620783793866,0.5894814779431082,0.585277890563424,0.4428571428571429,0.4161073825503356,0.7544483985765125,Waurá
23,0.2816172156621121,0.6269793880914283,0.6466001098664883,0.5552238805970149,0.6241610738255033,0.6690391459074733,Waurá
24,0.22156339375507114,0.6221667582220737,0.6158972031813513,0.5416666666666666,0.697986577181208,0.5338078291814946,Waurá
25,0.31079496785063004,0.6717858081157897,0.6596646683703934,0.5642633228840125,0.6040268456375839,0.7153024911032029,Waurá
26,0.22518126058713217,0.6012204733812605,0.6173660703623206,0.5222551928783383,0.5906040268456376,0.6441281138790036,Waurá
27,0.24662144475305053,0.6441878239270106,0.6153239867204853,0.47368421052631576,0.4228187919463087,0.8078291814946619,Waurá
28,0.17634903837820023,0.5804772027036709,0.5895650720103179,0.5298329355608592,0.7449664429530202,0.43416370106761565,Waurá
