Form,alt_form,language,english.name,ontological.category,old.phon,phon,has.homophone
varle,NA,Czech,testicle,Thing,varle,varle,FALSE
moudí,NA,Czech,testicle,Thing,moʊɟi,moʊɟ,FALSE
děloha,NA,Czech,womb,Thing,ɟeloha,ɟeloha,FALSE
lůno,NA,Czech,womb,Thing,luno,luno,FALSE
zadek,NA,Czech,buttocks,Thing,zadek,zadek,FALSE
zadnice,NA,Czech,buttocks,Thing,zadɲitse,zadɲitse,FALSE
kyčel,NA,Czech,hip,Thing,kitʃel,kitʃel,FALSE
střevo,NA,Czech,"intestines, guts",Thing,strevo,strevo,FALSE
střeva,NA,Czech,"intestines, guts",Thing,streva,streva,FALSE
žaludek,NA,Czech,stomach,Thing,ʒaludek,ʒaludek,FALSE
břich ~ břicho,NA,Czech,stomach,Thing,brix,brix,FALSE
slezina,NA,Czech,spleen,Thing,slezina,slezina,FALSE
ledvina,NA,Czech,kidney,Thing,ledvina,ledvina,FALSE
játra,NA,Czech,liver,Thing,jatra,jatra,FALSE
plíce,NA,Czech,lung,Thing,plitse,plitse,FALSE
srdce,NA,Czech,heart,Thing,srttse,srttse,FALSE
pupek,NA,Czech,navel,Thing,pupek,pupek,FALSE
vemeno,NA,Czech,udder,Thing,vemeno,vemeno,FALSE
výmě,NA,Czech,udder,Thing,vimɲe,vimɲe,FALSE
bradavka,NA,Czech,"nipple, teat",Thing,bradafka,bradafka,FALSE
prs,NA,Czech,breast (of woman),Thing,prs,prs,FALSE
ňadro,NA,Czech,breast (of woman),Thing,ɲadro,ɲadro,FALSE
prsa,NA,Czech,chest,Thing,prsa,prsa,FALSE
hrud’,NA,Czech,chest,Thing,hrut,hrut,FALSE
péro,NA,Czech,feather,Thing,pero,pero,FALSE
křídlo,NA,Czech,wing,Thing,kridlo,kridlo,FALSE
prst (na noze),NA,Czech,toe,Thing,prst,prst,FALSE
stopa,NA,Czech,footprint,Thing,stopa,stopa,FALSE
šlépěj,NA,Czech,footprint,Thing,ʃlepjej,ʃlepjej,FALSE
pata,NA,Czech,heel,Thing,pata,pata,FALSE
kloub,NA,Czech,ankle,Thing,kloʊp,kloʊp,FALSE
noha,NA,Czech,foot,Thing,noha,noha,FALSE
koleno,NA,Czech,knee,Thing,koleno,koleno,FALSE
lýtko,NA,Czech,calf of leg,Thing,litko,litko,FALSE
stehno,NA,Czech,thigh,Thing,stehno,stehno,FALSE
dráp,NA,Czech,claw,Thing,drap,drap,FALSE
nehet,NA,Czech,fingernail,Thing,nehet,nehet,FALSE
palec,NA,Czech,thumb,Thing,palets,palets,FALSE
dlaň,NA,Czech,palm of hand,Thing,dlaɲ,dlaɲ,FALSE
ruka,NA,Czech,hand,Thing,ruka,ruka,FALSE
zápěstí,NA,Czech,wrist,Thing,zapjesci,zapjesc,FALSE
loket,NA,Czech,elbow,Thing,loket,loket,FALSE
podpaží,NA,Czech,armpit,Thing,potpaʒi,potpaʒ,FALSE
rámě,NA,Czech,arm,Thing,ramɲe,ramɲe,FALSE
paže,NA,Czech,arm,Thing,paʒe,paʒe,FALSE
klíční kost,NA,Czech,collarbone,Thing,klitʃɲikost,klitʃɲikost,FALSE
rameno,NA,Czech,shoulder,Thing,rameno,rameno,FALSE
plece,NA,Czech,shoulder,Thing,pletse,pletse,FALSE
hrdlo,NA,Czech,throat,Thing,hrdlo,hrdlo,FALSE
týl,NA,Czech,nape of neck,Thing,til,til,FALSE
krk,NA,Czech,neck,Thing,krk,krk,FALSE
šíje,NA,Czech,neck,Thing,ʃije,ʃije,FALSE
stolička,NA,Czech,molartooth,Thing,stolitʃka,stolitʃka,FALSE
zub,NA,Czech,tooth,Thing,zup,zup,FALSE
dásně,NA,Czech,gums,Thing,dasɲe,dasɲe,FALSE
jazyk,NA,Czech,tongue,Thing,jazik,jazik,FALSE
ret,NA,Czech,lip,Thing,ret,ret,FALSE
pysk,NA,Czech,lip,Thing,pisk,pisk,FALSE
zobák,NA,Czech,beak,Thing,zobak,zobak,FALSE
ústa,NA,Czech,mouth,Thing,usta,usta,FALSE
hlen,NA,Czech,mucus (nasal),Thing,hlen,hlen,FALSE
sliz,NA,Czech,mucus (nasal),Thing,slis,slis,FALSE
nosní dírka,NA,Czech,nostril,Thing,nosɲiɟirka,nosɲiɟirka,FALSE
chřípí,NA,Czech,nostril,Thing,xripi,xrip,FALSE
nos,NA,Czech,nose,Thing,nos,nos,FALSE
ušní maz,NA,Czech,earwax,Thing,uʃɲimas,uʃɲimas,FALSE
ušní lalůček,NA,Czech,earlobe,Thing,uʃɲilalutʃek,uʃɲilalutʃek,FALSE
ucho,NA,Czech,ear,Thing,uxo,uxo,FALSE
oční řasa,NA,Czech,eyelash,Thing,otʃɲirasa,otʃɲirasa,FALSE
víčko,NA,Czech,eyelid,Thing,vitʃko,vitʃko,FALSE
obočí,NA,Czech,eyebrow,Thing,obotʃi,obotʃ,FALSE
obrv,NA,Czech,eyebrow,Thing,obrv,obrv,FALSE
oko,NA,Czech,eye,Thing,oko,oko,FALSE
tváře,NA,Czech,cheek,Thing,tvare,tvare,FALSE
líce,NA,Czech,cheek,Thing,litse,litse,FALSE
brada,NA,Czech,chin,Thing,brada,brada,FALSE
čelo,NA,Czech,forehead,Thing,tʃelo,tʃelo,FALSE
čelist,NA,Czech,jaw,Thing,tʃelist,tʃelist,FALSE
tvář,NA,Czech,face,Thing,tvar,tvar,FALSE
mozek,NA,Czech,brain,Thing,mozek,mozek,FALSE
spánek,NA,Czech,"side of head, temple",Thing,spanek,spanek,FALSE
leb,NA,Czech,skull,Thing,lep,lep,FALSE
lebka,NA,Czech,skull,Thing,lepka,lepka,FALSE
hlava,NA,Czech,head,Thing,hlava,hlava,FALSE
páteř,NA,Czech,spine,Thing,pater,pater,FALSE
hřbet,NA,Czech,back,Thing,hrbet,hrbet,FALSE
záda,NA,Czech,back,Thing,zada,zada,FALSE
ocas,NA,Czech,tail,Thing,otsas,otsas,FALSE
ohon,NA,Czech,tail,Thing,ohon,ohon,FALSE
chvost,NA,Czech,tail,Thing,xvost,xvost,FALSE
žebro,NA,Czech,rib,Thing,ʒebro,ʒebro,FALSE
kost,NA,Czech,bone,Thing,kost,kost,FALSE
žíla,NA,Czech,"vein, artery",Thing,ʒila,ʒila,FALSE
tepna,NA,Czech,"vein, artery",Thing,tepna,tepna,FALSE
krev,NA,Czech,blood,Thing,krev,krev,FALSE
lupa,NA,Czech,dandruff,Thing,lupa,lupa,FALSE
lupy,NA,Czech,dandruff,Thing,lupi,lup,FALSE
pubické ochlupení,NA,Czech,pubic hair,Thing,pubitskeoxlupeɲi,pubitskeoxlupeɲ,FALSE
chlup,NA,Czech,body hair,Thing,xlup,xlup,FALSE
vous,NA,Czech,beard,Thing,voʊs,voʊs,FALSE
vlas,NA,Czech,hair (head),Thing,vlas,vlas,FALSE
pokožka,NA,Czech,"skin, hide",Thing,pokoʃka,pokoʃka,FALSE
tělo,NA,Czech,body,Thing,celo,celo,FALSE
želva,NA,Czech,turtle,Thing,ʒelva,ʒelva,FALSE
krokodýl,NA,Czech,"crocodile, alligator",Thing,krokodil,krokodil,FALSE
kajman,NA,Czech,"crocodile, alligator",Thing,kajman,kajman,FALSE
aligátor,NA,Czech,"crocodile, alligator",Thing,aliɡator,aliɡator,FALSE
ještěrka,NA,Czech,lizard,Thing,jeʃcerka,jeʃcerka,FALSE
žába,NA,Czech,frog,Thing,ʒaba,ʒaba,FALSE
hlemýžd’,NA,Czech,snail,Thing,hlemiʃt,hlemiʃt,FALSE
šnek,NA,Czech,snail,Thing,ʃnek,ʃnek,FALSE
kobylka,NA,Czech,grasshopper,Thing,kobilka,kobilka,FALSE
motýl,NA,Czech,butterfly,Thing,motil,motil,FALSE
svatojánská muška,NA,Czech,firefly,Thing,svatojanskamuʃka,svatojanskamuʃka,FALSE
světluška,NA,Czech,firefly,Thing,svjetluʃka,svjetluʃka,FALSE
had,NA,Czech,snake,Thing,hat,hat,FALSE
červ,NA,Czech,worm,Thing,tʃerv,tʃerv,FALSE
komár,NA,Czech,mosquito,Thing,komar,komar,FALSE
moskyt,NA,Czech,mosquito,Thing,moskit,moskit,FALSE
písečná moucha,NA,Czech,"sandfly (midge), gnat",Thing,pisetʃnamoʊxa,pisetʃnamoʊxa,FALSE
moucha,NA,Czech,fly,Thing,moʊxa,moʊxa,FALSE
vosa,NA,Czech,wasp,Thing,vosa,vosa,FALSE
(včelí) vosk,NA,Czech,beeswax,Thing,vosk,vosk,FALSE
včela,NA,Czech,bee,Thing,ftʃela,ftʃela,FALSE
pavučina,NA,Czech,spider web,Thing,pavutʃina,pavutʃina,FALSE
pavouk,NA,Czech,spider,Thing,pavoʊk,pavoʊk,FALSE
mravenec,NA,Czech,ant,Thing,mravenets,mravenets,FALSE
šváb,NA,Czech,cockroach,Thing,ʃvap,ʃvap,FALSE
štír,NA,Czech,scorpion,Thing,ʃcir,ʃcir,FALSE
škorpion,NA,Czech,scorpion,Thing,ʃkorpion,ʃkorpion,FALSE
stonožka,NA,Czech,centipede,Thing,stonoʃka,stonoʃka,FALSE
blecha,NA,Czech,flea,Thing,blexa,blexa,FALSE
hnida,NA,Czech,nit (louse egg),Thing,hɲida,hɲida,FALSE
veš,NA,Czech,louse,Thing,veʃ,veʃ,FALSE
hmyz,NA,Czech,insect,Thing,hmis,hmis,FALSE
velbloud,NA,Czech,camel,Thing,velbloʊt,velbloʊt,FALSE
slon,NA,Czech,elephant,Thing,slon,slon,FALSE
opice,NA,Czech,monkey,Thing,opitse,opitse,FALSE
jelen,NA,Czech,deer,Thing,jelen,jelen,FALSE
liška,NA,Czech,fox,Thing,liʃka,liʃka,FALSE
medvěd,NA,Czech,bear,Thing,medvjet,medvjet,FALSE
lev,NA,Czech,lion,Thing,lev,lev,FALSE
vlk,NA,Czech,wolf,Thing,veelka,veelka,FALSE
úhoř,NA,Czech,freshwater eel,Thing,uhor,uhor,FALSE
rejnok,NA,Czech,stingray,Thing,reɪnok,reɪnok,FALSE
velryba,NA,Czech,whale,Thing,velriba,velriba,FALSE
delfín,NA,Czech,"porpoise, dolphin",Thing,delfin,delfin,FALSE
žralok,NA,Czech,shark,Thing,ʒralok,ʒralok,FALSE
mušle,NA,Czech,shell,Thing,muʃle,muʃle,FALSE
ulita,NA,Czech,shell,Thing,ulita,ulita,FALSE
lastura,NA,Czech,shell,Thing,lastura,lastura,FALSE
žábra,NA,Czech,gill,Thing,ʒabra,ʒabra,FALSE
žábry,NA,Czech,gill,Thing,ʒabri,ʒabr,FALSE
šupina,NA,Czech,fishscale,Thing,ʃupina,ʃupina,FALSE
ploutev,NA,Czech,fin (dorsal),Thing,ploʊtev,ploʊtev,FALSE
ryba,NA,Czech,fish,Thing,riba,riba,FALSE
kočka,NA,Czech,cat,Thing,kotʃka,kotʃka,FALSE
kocour,NA,Czech,cat,Thing,kotsoʊr,kotsoʊr,FALSE
kotě,NA,Czech,cat,Thing,koce,koce,FALSE
králík,NA,Czech,rabbit,Thing,kralik,kralik,FALSE
holub,NA,Czech,dove,Thing,holup,holup,FALSE
sova,NA,Czech,owl,Thing,sova,sova,FALSE
vrána,NA,Czech,crow,Thing,vrana,vrana,FALSE
papoušek,NA,Czech,parrot,Thing,papoʊʃek,papoʊʃek,FALSE
netopýr,NA,Czech,bat,Thing,netopir,netopir,FALSE
sup,NA,Czech,vulture,Thing,sup,sup,FALSE
jestřáb,NA,Czech,hawk,Thing,jestrap,jestrap,FALSE
luňák,NA,Czech,hawk,Thing,luɲak,luɲak,FALSE
sokol,NA,Czech,hawk,Thing,sokol,sokol,FALSE
orel,NA,Czech,eagle,Thing,orel,orel,FALSE
racek,NA,Czech,seagull,Thing,ratsek,ratsek,FALSE
volavka,NA,Czech,heron,Thing,volafka,volafka,FALSE
pták,NA,Czech,bird,Thing,ptak,ptak,FALSE
hnízdo,NA,Czech,nest,Thing,hɲizdo,hɲizdo,FALSE
kachna,NA,Czech,duck,Thing,kaxna,kaxna,FALSE
husa,NA,Czech,goose,Thing,husa,husa,FALSE
kuře,NA,Czech,chicken,Thing,kure,kure,FALSE
slepice,NA,Czech,hen,Thing,slepitse,slepitse,FALSE
kohout,NA,Czech,"cock, rooster",Thing,kohoʊt,kohoʊt,FALSE
mezek,NA,Czech,mule,Thing,mezek,mezek,FALSE
mul,NA,Czech,mule,Thing,mul,mul,FALSE
kur,NA,Czech,fowl,Thing,kur,kur,FALSE
osel,NA,Czech,"ass, donkey",Thing,osel,osel,FALSE
hříbě,NA,Czech,"foal, colt",Thing,hribje,hribje,FALSE
klisna,NA,Czech,mare,Thing,klisna,klisna,FALSE
kobyla,NA,Czech,mare,Thing,kobila,kobila,FALSE
hřebec,NA,Czech,stallion,Thing,hrebets,hrebets,FALSE
kůň,NA,Czech,horse (equine),Thing,kuɲ,kuɲ,FALSE
kůzle,NA,Czech,kid,Thing,kuzle,kuzle,FALSE
kozel,NA,Czech,he-goat,Thing,kozel,kozel,FALSE
koza,NA,Czech,goat,Thing,koza,koza,FALSE
prase,NA,Czech,pig,Thing,prase,prase,FALSE
sele,NA,Czech,pig,Thing,sele,sele,FALSE
svině,NA,Czech,sow (2),Thing,sviɲe,sviɲe,FALSE
kanec,NA,Czech,boar,Thing,kanets,kanets,FALSE
jehně,NA,Czech,lamb,Thing,jehɲe,jehɲe,FALSE
beránek,NA,Czech,lamb,Thing,beranek,beranek,FALSE
ovce,NA,Czech,ewe,Thing,oftse,oftse,FALSE
bahnice,NA,Czech,ewe,Thing,bahɲitse,bahɲitse,FALSE
beran,NA,Czech,ram,Thing,beran,beran,FALSE
tele,NA,Czech,calf,Thing,tele,tele,FALSE
kráva,NA,Czech,cow,Thing,krava,krava,FALSE
vůl,NA,Czech,ox,Thing,vul,vul,FALSE
býk,NA,Czech,bull,Thing,bik,bik,FALSE
skot,NA,Czech,cattle (bovine),Thing,skot,skot,FALSE
stáj,NA,Czech,"stable, stall",Thing,staj,staj,FALSE
chlév,NA,Czech,"stable, stall",Thing,xlev,xlev,FALSE
pastýř,NA,Czech,herdsman,Thing,pastir,pastir,FALSE
pastucha,NA,Czech,herdsman,Thing,pastuxa,pastuxa,FALSE
pásti,NA,Czech,pasture,Thing,pasci,pasc,FALSE
pásti se,NA,Czech,pasture,Thing,pascise,pascise,FALSE
dobytek,NA,Czech,livestock,Thing,dobitek,dobitek,FALSE
zvíře,NA,Czech,animal,Thing,zvire,zvire,FALSE
živočich,NA,Czech,animal,Thing,ʒivotʃix,ʒivotʃix,FALSE
rodina,NA,Czech,family,Thing,roɟina,roɟina,FALSE
příbuzní,NA,Czech,"relatives, kinsmen",Thing,pribuzɲi,pribuzɲ,FALSE
vdovec,NA,Czech,widower,Thing,vdovets,vdovets,FALSE
vdova,NA,Czech,widow,Thing,vdova,vdova,FALSE
sirotek,NA,Czech,orphan,Thing,sirotek,sirotek,FALSE
sirota,NA,Czech,orphan,Thing,sirota,sirota,FALSE
nevlastní dcera,NA,Czech,stepdaughter,Thing,nevlastɲittsera,nevlastɲittsera,FALSE
pastorkyně,NA,Czech,stepdaughter,Thing,pastorkiɲe,pastorkiɲe,FALSE
nevlastní syn,NA,Czech,stepson,Thing,nevlastɲisin,nevlastɲisin,FALSE
pastorek,NA,Czech,stepson,Thing,pastorek,pastorek,FALSE
nevlastní matka,NA,Czech,stepmother,Thing,nevlastɲimatka,nevlastɲimatka,FALSE
macecha,NA,Czech,stepmother,Thing,matsexa,matsexa,FALSE
nevlastní otec,NA,Czech,stepfather,Thing,nevlastɲiotets,nevlastɲiotets,FALSE
otčím,NA,Czech,stepfather,Thing,ottʃim,ottʃim,FALSE
potomci,NA,Czech,descendants,Thing,potomtsi,potomts,FALSE
předkové,NA,Czech,ancestors,Thing,pretkove,pretkove,FALSE
bratranec,NA,Czech,cousin,Thing,bratranets,bratranets,FALSE
sestřenice,NA,Czech,cousin,Thing,sestreɲitse,sestreɲitse,FALSE
neteř,NA,Czech,niece,Thing,neter,neter,FALSE
bratrovna,NA,Czech,niece,Thing,bratrovna,bratrovna,FALSE
synovec,NA,Czech,nephew,Thing,sinovets,sinovets,FALSE
bratrovec,NA,Czech,nephew,Thing,bratrovets,bratrovets,FALSE
sestřenec,NA,Czech,nephew,Thing,sestrenets,sestrenets,FALSE
teta,NA,Czech,father's sister,Thing,teta,teta,FALSE
strýc,NA,Czech,father's brother,Thing,strits,strits,FALSE
ujec,NA,Czech,mother's brother,Thing,ujets,ujets,FALSE
vnuk,NA,Czech,grandson,Thing,vnuk,vnuk,FALSE
vnučka,NA,Czech,granddaughter,Thing,vnutʃka,vnutʃka,FALSE
stará žena,NA,Czech,old woman,Thing,staraʒena,staraʒena,FALSE
stařena,NA,Czech,old woman,Thing,starena,starena,FALSE
babička,NA,Czech,grandmother,Thing,babitʃka,babitʃka,FALSE
stařec,NA,Czech,old man,Thing,starets,starets,FALSE
kmet,NA,Czech,old man,Thing,kmet,kmet,FALSE
děd,NA,Czech,grandfather,Thing,ɟet,ɟet,FALSE
děda,NA,Czech,grandfather,Thing,ɟeda,ɟeda,FALSE
dědeček,NA,Czech,grandfather,Thing,ɟedetʃek,ɟedetʃek,FALSE
dvojčata,NA,Czech,twins,Thing,dvojtʃata,dvojtʃata,FALSE
dvojče,NA,Czech,twins,Thing,dvojtʃe,dvojtʃe,FALSE
sourozenec,NA,Czech,sibling,Thing,soʊrozenets,soʊrozenets,FALSE
mladší sestra,NA,Czech,younger sister,Thing,mlatʃisestra,mlatʃisestra,FALSE
starší sestra,NA,Czech,older sister,Thing,starʃisestra,starʃisestra,FALSE
sestra,NA,Czech,sister,Thing,sestra,sestra,FALSE
mladší bratr,NA,Czech,younger brother,Thing,mlatʃibratr,mlatʃibratr,FALSE
starší bratr,NA,Czech,older brother,Thing,starʃibratr,starʃibratr,FALSE
bratr,NA,Czech,brother,Thing,bratr,bratr,FALSE
potomek,NA,Czech,offspring (son or daughter),Thing,potomek,potomek,FALSE
dcera,NA,Czech,daughter,Thing,ttsera,ttsera,FALSE
syn,NA,Czech,son,Thing,sin,sin,FALSE
vdaná žena,NA,Czech,married woman,Thing,vdanaʒena,vdanaʒena,FALSE
ženatý muž,NA,Czech,married man,Thing,ʒenatimuʃ,ʒenatimuʃ,FALSE
rodiče,NA,Czech,parents,Thing,roɟitʃe,roɟitʃe,FALSE
matka,NA,Czech,mother,Thing,matka,matka,FALSE
máti,NA,Czech,mother,Thing,maci,mac,FALSE
otec,NA,Czech,father,Thing,otets,otets,FALSE
rozvod,NA,Czech,divorce,Thing,rozvot,rozvot,FALSE
manželství,NA,Czech,"marriage, wedding",Thing,manʒelstvi,manʒelstv,FALSE
ženitba,NA,Czech,"marriage, wedding",Thing,ʒeɲidba,ʒeɲidba,FALSE
vdavky,NA,Czech,"marriage, wedding",Thing,vdafki,vdafk,FALSE
žena,NA,Czech,wife,Thing,ʒena,ʒena,FALSE
manželka,NA,Czech,wife,Thing,manʒelka,manʒelka,FALSE
chot’,NA,Czech,wife,Thing,xot,xot,FALSE
muž,NA,Czech,husband,Thing,muʃ,muʃ,FALSE
manžel,NA,Czech,husband,Thing,manʒel,manʒel,FALSE
dět’átko,NA,Czech,"infant, baby",Thing,ɟetatko,ɟetatko,FALSE
nemluvně,NA,Czech,"infant, baby",Thing,nemluvɲe,nemluvɲe,FALSE
dítě,NA,Czech,child,Thing,ɟice,ɟice,FALSE
mladá žena,NA,Czech,young woman (adolescent),Thing,mladaʒena,mladaʒena,FALSE
dívka,NA,Czech,girl,Thing,ɟifka,ɟifka,FALSE
děvče,NA,Czech,girl,Thing,ɟeftʃe,ɟeftʃe,FALSE
mladík,NA,Czech,young man (adolescent),Thing,mlaɟik,mlaɟik,FALSE
mladý muž,NA,Czech,young man (adolescent),Thing,mladimuʃ,mladimuʃ,FALSE
chlapec,NA,Czech,boy,Thing,xlapets,xlapets,FALSE
hoch,NA,Czech,boy,Thing,hox,hox,FALSE
člověk,NA,Czech,"person, human being",Thing,tʃlovjek,tʃlovjek,FALSE
osoba,NA,Czech,"person, human being",Thing,osoba,osoba,FALSE
dřevěné uhlí,NA,Czech,charcoal,Thing,drevjeneuhli,drevjeneuhl,FALSE
palivo,NA,Czech,firewood,Thing,palivo,palivo,FALSE
sirka,NA,Czech,match (noun),Thing,sirka,sirka,FALSE
zápalka,NA,Czech,match (noun),Thing,zapalka,zapalka,FALSE
žhavé uhlí,NA,Czech,embers,Thing,ʃhaveuhli,ʃhaveuhl,FALSE
popel,NA,Czech,ashes,Thing,popel,popel,FALSE
dým,NA,Czech,smoke (noun),Thing,dim,dim,FALSE
plamen,NA,Czech,flame (noun),Thing,plamen,plamen,FALSE
oheň,NA,Czech,fire,Thing,oheɲ,oheɲ,FALSE
počasí,NA,Czech,weather,Thing,potʃasi,potʃas,FALSE
led,NA,Czech,ice,Thing,let,let,FALSE
sníh,NA,Czech,snow (noun),Thing,sɲix,sɲix,FALSE
déšt’,NA,Czech,rain (noun),Thing,deʃt,deʃt,FALSE
mlha,NA,Czech,fog,Thing,mlha,mlha,FALSE
vítr,NA,Czech,wind,Thing,vitr,vitr,FALSE
oblak,NA,Czech,cloud,Thing,oblak,oblak,FALSE
mrak,NA,Czech,cloud,Thing,mrak,mrak,FALSE
vzduch,NA,Czech,air,Thing,vzdux,vzdux,FALSE
rosa,NA,Czech,dew,Thing,rosa,rosa,FALSE
stín,NA,Czech,"shade, shadow",Thing,scin,scin,FALSE
temnota,NA,Czech,darkness,Thing,temnota,temnota,FALSE
tma,NA,Czech,darkness,Thing,tma,tma,FALSE
světlo,NA,Czech,light (noun),Thing,svjetlo,svjetlo,FALSE
duha,NA,Czech,rainbow,Thing,duha,duha,FALSE
bouře,NA,Czech,storm,Thing,boʊre,boʊre,FALSE
bouřka,NA,Czech,storm,Thing,boʊrka,boʊrka,FALSE
hrom,NA,Czech,thunder,Thing,hrom,hrom,FALSE
blesk,NA,Czech,lightning,Thing,blesk,blesk,FALSE
hvězda,NA,Czech,star,Thing,hvjezda,hvjezda,FALSE
měsíc,NA,Czech,moon,Thing,mɲesits,mɲesits,FALSE
slunce,NA,Czech,sun,Thing,sluntse,sluntse,FALSE
nebe,NA,Czech,sky,Thing,nebe,nebe,FALSE
obloha,NA,Czech,sky,Thing,obloha,obloha,FALSE
zemětřesení,NA,Czech,earthquake,Thing,zemɲetreseɲi,zemɲetreseɲ,FALSE
dřevo,NA,Czech,wood,Thing,drevo,drevo,FALSE
les,NA,Czech,"woods, forest",Thing,les,les,FALSE
vodopád,NA,Czech,waterfall,Thing,vodopat,vodopat,FALSE
bažina,NA,Czech,swamp,Thing,baʒina,baʒina,FALSE
močál,NA,Czech,swamp,Thing,motʃal,motʃal,FALSE
vír,NA,Czech,whirlpool,Thing,vir,vir,FALSE
řeka,NA,Czech,"river, stream, brook",Thing,reka,reka,FALSE
tok,NA,Czech,"river, stream, brook",Thing,tok,tok,FALSE
potok,NA,Czech,"river, stream, brook",Thing,potok,potok,FALSE
příliv,NA,Czech,hightide,Thing,priliv,priliv,FALSE
odliv,NA,Czech,lowtide,Thing,odliv,odliv,FALSE
mys,NA,Czech,"headland, point",Thing,mis,mis,FALSE
úskalí,NA,Czech,reef,Thing,uskali,uskal,FALSE
útes,NA,Czech,reef,Thing,utes,utes,FALSE
laguna,NA,Czech,lagoon,Thing,laɡuna,laɡuna,FALSE
záliv,NA,Czech,"gulf, bay",Thing,zaliv,zaliv,FALSE
zátoka,NA,Czech,"gulf, bay",Thing,zatoka,zatoka,FALSE
jezero,NA,Czech,lake,Thing,jezero,jezero,FALSE
oceán,NA,Czech,ocean,Thing,otsean,otsean,FALSE
pěna,NA,Czech,foam,Thing,pjena,pjena,FALSE
moře,NA,Czech,sea,Thing,more,more,FALSE
voda,NA,Czech,water,Thing,voda,voda,FALSE
jeskyně,NA,Czech,cave,Thing,jeskiɲe,jeskiɲe,FALSE
břeh,NA,Czech,shore,Thing,brex,brex,FALSE
pobřeží,NA,Czech,shore,Thing,pobreʒi,pobreʒ,FALSE
pevnina,NA,Czech,mainland,Thing,pevɲina,pevɲina,FALSE
ostrov,NA,Czech,island,Thing,ostrov,ostrov,FALSE
údolí,NA,Czech,valley,Thing,udoli,udol,FALSE
dolina,NA,Czech,valley,Thing,dolina,dolina,FALSE
rovina,NA,Czech,"plain, field",Thing,rovina,rovina,FALSE
pláň,NA,Czech,"plain, field",Thing,plaɲ,plaɲ,FALSE
sráz,NA,Czech,"cliff, precipice",Thing,sras,sras,FALSE
bláto,NA,Czech,mud,Thing,blato,blato,FALSE
písek,NA,Czech,sand,Thing,pisek,pisek,FALSE
prach,NA,Czech,dust,Thing,prax,prax,FALSE
půda,NA,Czech,"earth=ground, soil",Thing,puda,puda,FALSE
země,NA,Czech,"earth, land",Thing,zemɲe,zemɲe,FALSE
svět,NA,Czech,world,Thing,svjet,svjet,FALSE
den,NA,Czech,day,Thing,den,den,FALSE
noc,NA,Czech,night,Thing,nots,nots,FALSE
svítání,NA,Czech,dawn,Thing,svitaɲi,svitaɲ,FALSE
úsvit,NA,Czech,dawn,Thing,usvit,usvit,FALSE
jitro,NA,Czech,morning,Thing,jitro,jitro,FALSE
ráno,NA,Czech,morning,Thing,rano,rano,FALSE
poledne,NA,Czech,"noon, midday",Thing,poledne,poledne,FALSE
odpoledne,NA,Czech,afternoon,Thing,otpoledne,otpoledne,FALSE
večer,NA,Czech,evening,Thing,vetʃer,vetʃer,FALSE
hodina,NA,Czech,hour,Thing,hoɟina,hoɟina,FALSE
hodiny,NA,Czech,"clock, timepiece",Thing,hoɟini,hoɟin,FALSE
týden,NA,Czech,week,Thing,tiden,tiden,FALSE
neděle,NA,Czech,week,Thing,neɟele,neɟele,FALSE
pondělí,NA,Czech,Monday,Thing,ponɟeli,ponɟel,FALSE
úterý,NA,Czech,Tuesday,Thing,uteri,uter,FALSE
středa,NA,Czech,Wednesday,Thing,streda,streda,FALSE
čtvrtek,NA,Czech,Thursday,Thing,tʃtvrtek,tʃtvrtek,FALSE
pátek,NA,Czech,Friday,Thing,patek,patek,FALSE
sobota,NA,Czech,Saturday,Thing,sobota,sobota,FALSE
rok,NA,Czech,year,Thing,rok,rok,FALSE
zima,NA,Czech,winter,Thing,zima,zima,FALSE
jaro,NA,Czech,spring,Thing,jaro,jaro,FALSE
vesna,NA,Czech,spring,Thing,vesna,vesna,FALSE
léto,NA,Czech,summer,Thing,leto,leto,FALSE
podzim,NA,Czech,autumn,Thing,podʑim,podʑim,FALSE
jeseň,NA,Czech,autumn,Thing,jeseɲ,jeseɲ,FALSE
období,NA,Czech,season,Thing,obdobi,obdob,FALSE
zvuk,NA,Czech,"sound, noise",Thing,zvuk,zvuk,FALSE
duše,NA,Czech,"soul, spirit",Thing,duʃe,duʃe,FALSE
duch,NA,Czech,"soul, spirit",Thing,dux,dux,FALSE
štěstí,NA,Czech,"good fortune, luck",Thing,ʃcesci,ʃcesc,FALSE
neštěstí,NA,Czech,"misfortune, bad luck",Thing,neʃcesci,neʃcesc,FALSE
nehoda,NA,Czech,"misfortune, bad luck",Thing,nehoda,nehoda,FALSE
bolest,NA,Czech,pain,Thing,bolest,bolest,FALSE
utrpení,NA,Czech,pain,Thing,utrpeɲi,utrpeɲ,FALSE
zármutek,NA,Czech,"grief, sorrow, sadness",Thing,zarmutek,zarmutek,FALSE
smutek,NA,Czech,"grief, sorrow, sadness",Thing,smutek,smutek,FALSE
žalost,NA,Czech,"grief, sorrow, sadness",Thing,ʒalost,ʒalost,FALSE
úzkost,NA,Czech,"anxiety, worry",Thing,uskost,uskost,FALSE
útrpnost,NA,Czech,pity,Thing,utrpnost,utrpnost,FALSE
lítost,NA,Czech,pity,Thing,litost,litost,FALSE
soucit,NA,Czech,pity,Thing,soʊtsit,soʊtsit,FALSE
