Form,alt_form,language,english.name,ontological.category,old.phon,phon,has.homophone
jho,NA,Czech,yoke,Thing,jho,jho,FALSE
náprava,NA,Czech,axle,Thing,naprava,naprava,FALSE
kolo,NA,Czech,wheel,Thing,kolo,kolo,FALSE
vůz,NA,Czech,"carriage, wagon, cart",Thing,vus,vus,FALSE
povoz,NA,Czech,"carriage, wagon, cart",Thing,povos,povos,FALSE
kára,NA,Czech,"carriage, wagon, cart",Thing,kara,kara,FALSE
most,NA,Czech,bridge,Thing,most,most,FALSE
cesta,NA,Czech,road,Thing,tsesta,tsesta,FALSE
dláto,NA,Czech,chisel,Thing,dlato,dlato,FALSE
barva,NA,Czech,paint (noun),Thing,barva,barva,FALSE
socha,NA,Czech,statue,Thing,soxa,soxa,FALSE
sochař,NA,Czech,sculptor,Thing,soxar,soxar,FALSE
řezbář,NA,Czech,sculptor,Thing,rezbar,rezbar,FALSE
vějíř,NA,Czech,fan (noun),Thing,vjejir,vjejir,FALSE
dmychadlo,NA,Czech,fan (noun),Thing,dmixadlo,dmixadlo,FALSE
sít’,NA,Czech,netbag,Thing,sit,sit,FALSE
kobereček,NA,Czech,rug,Thing,koberetʃek,koberetʃek,FALSE
rohož,NA,Czech,mat,Thing,rohoʃ,rohoʃ,FALSE
koš,NA,Czech,basket,Thing,koʃ,koʃ,FALSE
košík,NA,Czech,basket,Thing,koʃik,koʃik,FALSE
sklo,NA,Czech,glass,Thing,sklo,sklo,FALSE
hlína,NA,Czech,clay,Thing,hlina,hlina,FALSE
jíl,NA,Czech,clay,Thing,jil,jil,FALSE
hrnčíř,NA,Czech,potter,Thing,hrntʃir,hrntʃir,FALSE
cín,NA,Czech,"tin, tinplate",Thing,tsin,tsin,FALSE
plech,NA,Czech,"tin, tinplate",Thing,plex,plex,FALSE
olovo,NA,Czech,lead (noun),Thing,olovo,olovo,FALSE
železo,NA,Czech,iron,Thing,ʒelezo,ʒelezo,FALSE
měd’,NA,Czech,"copper, bronze",Thing,mɲet,mɲet,FALSE
bronz,NA,Czech,"copper, bronze",Thing,brons,brons,FALSE
stříbro,NA,Czech,silver,Thing,stribro,stribro,FALSE
zlato,NA,Czech,gold,Thing,zlato,zlato,FALSE
kovadlina,NA,Czech,anvil,Thing,kovadlina,kovadlina,FALSE
kovář,NA,Czech,"smith, blacksmith",Thing,kovar,kovar,FALSE
klih,NA,Czech,glue,Thing,klix,klix,FALSE
hřebík,NA,Czech,nail,Thing,hrebik,hrebik,FALSE
hřeb,NA,Czech,nail,Thing,hrep,hrep,FALSE
kladivo,NA,Czech,hammer,Thing,klaɟivo,klaɟivo,FALSE
pila,NA,Czech,saw,Thing,pila,pila,FALSE
tesař,NA,Czech,carpenter,Thing,tesar,tesar,FALSE
náčiní,NA,Czech,tool,Thing,natʃiɲi,natʃiɲ,FALSE
nástroj,NA,Czech,tool,Thing,nastroj,nastroj,FALSE
nářadí,NA,Czech,tool,Thing,naraɟi,naraɟ,FALSE
koště,NA,Czech,broom,Thing,koʃce,koʃce,FALSE
pometlo,NA,Czech,broom,Thing,pometlo,pometlo,FALSE
sekyra,NA,Czech,ax,Thing,sekira,sekira,FALSE
sekera,NA,Czech,ax,Thing,sekera,sekera,FALSE
širočina,NA,Czech,adze,Thing,ʃirotʃina,ʃirotʃina,FALSE
nůžky,NA,Czech,"scissors, shears",Thing,nuʃki,nuʃk,FALSE
nůž,NA,Czech,knife,Thing,nuʃ,nuʃ,FALSE
uzel,NA,Czech,knot (noun),Thing,uzel,uzel,FALSE
provaz,NA,Czech,"rope, cord",Thing,provas,provas,FALSE
lano,NA,Czech,"rope, cord",Thing,lano,lano,FALSE
řetěz,NA,Czech,chain,Thing,reces,reces,FALSE
práce,NA,Czech,work,Thing,pratse,pratse,FALSE
dílo,NA,Czech,work,Thing,ɟilo,ɟilo,FALSE
houba,NA,Czech,mushroom,Thing,hoʊba,hoʊba,FALSE
kopřiva,NA,Czech,nettle,Thing,kopriva,kopriva,FALSE
cukrová třtina,NA,Czech,sugar cane,Thing,tsukrovatrcina,tsukrovatrcina,FALSE
bambus,NA,Czech,bamboo,Thing,bambus,bambus,FALSE
dýně,NA,Czech,"pumpkin, squash",Thing,diɲe,diɲe,FALSE
tykev,NA,Czech,gourd,Thing,tikev,tikev,FALSE
maniok,NA,Czech,"tapioca, manioc, cassava",Thing,maɲiok,maɲiok,FALSE
batáta,NA,Czech,sweet potato,Thing,batata,batata,FALSE
sladký brambor,NA,Czech,sweet potato,Thing,slatkibrambor,slatkibrambor,FALSE
banán,NA,Czech,banyan,Thing,banan,banan,FALSE
banánovník,NA,Czech,banana tree,Thing,bananovɲik,bananovɲik,FALSE
citrón,NA,Czech,citrus fruit,Thing,tsitron,tsitron,FALSE
kokosový ořech,NA,Czech,coconut,Thing,kokosoviorex,kokosoviorex,FALSE
palma,NA,Czech,palm tree,Thing,palma,palma,FALSE
míza,NA,Czech,sap,Thing,miza,miza,FALSE
kůra,NA,Czech,bark,Thing,kura,kura,FALSE
vidlicovitá větev,NA,Czech,forked branch,Thing,vidlitsovitavjetev,vidlitsovitavjetev,FALSE
kmen stromu,NA,Czech,tree trunk,Thing,kmenstromu,kmenstromu,FALSE
pařez,NA,Czech,tree stump,Thing,pares,pares,FALSE
dymka,NA,Czech,pipe,Thing,dimka,dimka,FALSE
fajfka,NA,Czech,pipe,Thing,fajfka,fajfka,FALSE
tabák,NA,Czech,tobacco,Thing,tabak,tabak,FALSE
vinná réva,NA,Czech,vine,Thing,vinareva,vinareva,FALSE
vinný keř,NA,Czech,vine,Thing,viniker,viniker,FALSE
žalud,NA,Czech,acorn,Thing,ʒalut,ʒalut,FALSE
jedle,NA,Czech,fir,Thing,jedle,jedle,FALSE
sosna,NA,Czech,pine,Thing,sosna,sosna,FALSE
smrk,NA,Czech,pine,Thing,smrk,smrk,FALSE
bříza,NA,Czech,birch,Thing,briza,briza,FALSE
buk,NA,Czech,beech,Thing,buk,buk,FALSE
dub,NA,Czech,oak,Thing,dup,dup,FALSE
strom,NA,Czech,tree,Thing,strom,strom,FALSE
květina,NA,Czech,flower,Thing,kvjecina,kvjecina,FALSE
list,NA,Czech,leaf,Thing,list,list,FALSE
větev,NA,Czech,branch,Thing,vjetev,vjetev,FALSE
haluz,NA,Czech,branch,Thing,halus,halus,FALSE
kořen,NA,Czech,root,Thing,koren,koren,FALSE
seno,NA,Czech,hay,Thing,seno,seno,FALSE
rostlina,NA,Czech,plant (noun),Thing,rostlina,rostlina,FALSE
bylina,NA,Czech,plant (noun),Thing,bilina,bilina,FALSE
tráva,NA,Czech,grass,Thing,trava,trava,FALSE
rýže,NA,Czech,rice,Thing,riʒe,riʒe,FALSE
kukuřice,NA,Czech,"maize, corn",Thing,kukuritse,kukuritse,FALSE
oves,NA,Czech,oats,Thing,oves,oves,FALSE
žito,NA,Czech,rye,Thing,ʒito,ʒito,FALSE
rež,NA,Czech,rye,Thing,reʃ,reʃ,FALSE
pšenice,NA,Czech,wheat,Thing,pʃeɲitse,pʃeɲitse,FALSE
ječmen,NA,Czech,barley,Thing,jetʃmen,jetʃmen,FALSE
obilí,NA,Czech,"grain (barley, oats etc)",Thing,obili,obil,FALSE
žeň,NA,Czech,"crop, harvest",Thing,ʒeɲ,ʒeɲ,FALSE
úroda,NA,Czech,"crop, harvest",Thing,uroda,uroda,FALSE
mlat,NA,Czech,threshing-floor,Thing,mlat,mlat,FALSE
semeno,NA,Czech,seed,Thing,semeno,semeno,FALSE
hrábě,NA,Czech,rake,Thing,hrabje,hrabje,FALSE
vidle,NA,Czech,fork,Thing,vidle,vidle,FALSE
motyka,NA,Czech,hoe,Thing,motika,motika,FALSE
lopata,NA,Czech,shovel,Thing,lopata,lopata,FALSE
rýč,NA,Czech,spade,Thing,ritʃ,ritʃ,FALSE
lopatka,NA,Czech,spade,Thing,lopatka,lopatka,FALSE
brázda,NA,Czech,furrow,Thing,brazda,brazda,FALSE
ohrada,NA,Czech,fence,Thing,ohrada,ohrada,FALSE
plot,NA,Czech,fence,Thing,plot,plot,FALSE
zahrada,NA,Czech,garden,Thing,zahrada,zahrada,FALSE
pole,NA,Czech,field (for cultivation),Thing,pole,pole,FALSE
role,NA,Czech,field (for cultivation),Thing,role,role,FALSE
rolník,NA,Czech,farmer,Thing,rolɲik,rolɲik,FALSE
sedlák,NA,Czech,farmer,Thing,sedlak,sedlak,FALSE
farmář,NA,Czech,farmer,Thing,farmar,farmar,FALSE
zemědělec,NA,Czech,farmer,Thing,zemɲeɟelets,zemɲeɟelets,FALSE
vepřovice,NA,Czech,adobe,Thing,veprovitse,veprovitse,FALSE
nepálená cihla,NA,Czech,adobe,Thing,nepalenatsihla,nepalenatsihla,FALSE
moždíř,NA,Czech,mortar,Thing,moʒɟir,moʒɟir,FALSE
cihla,NA,Czech,brick,Thing,tsihla,tsihla,FALSE
oblouk,NA,Czech,arch,Thing,obloʊk,obloʊk,FALSE
zedník,NA,Czech,mason,Thing,zedɲik,zedɲik,FALSE
prkno,NA,Czech,board,Thing,prkno,prkno,FALSE
deska,NA,Czech,board,Thing,deska,deska,FALSE
tyč,NA,Czech,"post, pole",Thing,titʃ,titʃ,FALSE
trám,NA,Czech,beam,Thing,tram,tram,FALSE
nosník,NA,Czech,beam,Thing,nosɲik,nosɲik,FALSE
krov,NA,Czech,rafter,Thing,krov,krov,FALSE
hřeben střechy,NA,Czech,ridgepole,Thing,hrebenstrexi,hrebenstrex,FALSE
došek,NA,Czech,thatch,Thing,doʃek,doʃek,FALSE
střecha,NA,Czech,roof,Thing,strexa,strexa,FALSE
koryto,NA,Czech,trough,Thing,korito,korito,FALSE
díž,NA,Czech,trough,Thing,ɟiʃ,ɟiʃ,FALSE
police,NA,Czech,shelf,Thing,politse,politse,FALSE
svíce,NA,Czech,candle,Thing,svitse,svitse,FALSE
svíčka,NA,Czech,candle,Thing,svitʃka,svitʃka,FALSE
stůl,NA,Czech,table,Thing,stul,stul,FALSE
sedadlo,NA,Czech,chair,Thing,sedadlo,sedadlo,FALSE
židle,NA,Czech,chair,Thing,ʒidle,ʒidle,FALSE
přikrývka,NA,Czech,blanket,Thing,prikrifka,prikrifka,FALSE
polštář,NA,Czech,pillow,Thing,polʃtar,polʃtar,FALSE
lože,NA,Czech,bed,Thing,loʒe,loʒe,FALSE
postel,NA,Czech,bed,Thing,postel,postel,FALSE
žebřík,NA,Czech,ladder,Thing,ʒebrik,ʒebrik,FALSE
komín,NA,Czech,chimney,Thing,komin,komin,FALSE
kamna,NA,Czech,stove,Thing,kamna,kamna,FALSE
ohniště,NA,Czech,fireplace,Thing,ohɲiʃce,ohɲiʃce,FALSE
zed’,NA,Czech,wall,Thing,zet,zet,FALSE
stěna,NA,Czech,wall,Thing,scena,scena,FALSE
podlaha,NA,Czech,floor,Thing,podlaha,podlaha,FALSE
okno,NA,Czech,window,Thing,okno,okno,FALSE
klíč,NA,Czech,key,Thing,klitʃ,klitʃ,FALSE
klika,NA,Czech,"latch, door-bolt",Thing,klika,klika,FALSE
zámek,NA,Czech,lock (noun),Thing,zamek,zamek,FALSE
veřeje,NA,Czech,"doorpost, jamb",Thing,vereje,vereje,FALSE
futra dveří,NA,Czech,"doorpost, jamb",Thing,futradveri,futradver,FALSE
futro dveří,NA,Czech,"doorpost, jamb",Thing,futrodveri,futrodver,FALSE
pokoj,NA,Czech,room,Thing,pokoj,pokoj,FALSE
místnost,NA,Czech,room,Thing,mistnost,mistnost,FALSE
dveře,NA,Czech,"door, gate",Thing,dvere,dvere,FALSE
vrata,NA,Czech,"door, gate",Thing,vrata,vrata,FALSE
brána,NA,Czech,"door, gate",Thing,brana,brana,FALSE
dvůr,NA,Czech,"yard, court",Thing,dvur,dvur,FALSE
stan,NA,Czech,tent,Thing,stan,stan,FALSE
zahradní dům,NA,Czech,garden-house,Thing,zahradɲidum,zahradɲidum,FALSE
chata,NA,Czech,garden-house,Thing,xata,xata,FALSE
chatrč,NA,Czech,hut,Thing,xatrtʃ,xatrtʃ,FALSE
chalupa,NA,Czech,hut,Thing,xalupa,xalupa,FALSE
dům,NA,Czech,house,Thing,dum,dum,FALSE
zrcadlo,NA,Czech,mirror,Thing,zrtsadlo,zrtsadlo,FALSE
mýdlo,NA,Czech,soap,Thing,midlo,midlo,FALSE
mast,NA,Czech,ointment,Thing,mast,mast,FALSE
břitva,NA,Czech,razor,Thing,britva,britva,FALSE
cop,NA,Czech,braid,Thing,tsop,tsop,FALSE
kartáč,NA,Czech,brush,Thing,kartatʃ,kartatʃ,FALSE
hřeben,NA,Czech,comb,Thing,hreben,hreben,FALSE
ručník,NA,Czech,towel,Thing,rutʃɲik,rutʃɲik,FALSE
kapesník,NA,Czech,"handkerchief, rag",Thing,kapesɲik,kapesɲik,FALSE
tetování,NA,Czech,tattoo,Thing,tetovaɲi,tetovaɲ,FALSE
čelenka,NA,Czech,"headband, headdress",Thing,tʃeleŋka,tʃeleŋka,FALSE
náušnice,NA,Czech,earring,Thing,nauʃɲitse,nauʃɲitse,FALSE
korálek,NA,Czech,bead,Thing,koralek,koralek,FALSE
náhrdelník,NA,Czech,necklace,Thing,nahrdelɲik,nahrdelɲik,FALSE
náramek,NA,Czech,bracelet,Thing,naramek,naramek,FALSE
prsten,NA,Czech,ring (for finger),Thing,prsten,prsten,FALSE
klenot,NA,Czech,jewel,Thing,klenot,klenot,FALSE
drahokam,NA,Czech,jewel,Thing,drahokam,drahokam,FALSE
okrasa,NA,Czech,"ornament, adornment",Thing,okrasa,okrasa,FALSE
špendlík,NA,Czech,pin,Thing,ʃpendlik,ʃpendlik,FALSE
knoflík,NA,Czech,button,Thing,knoflik,knoflik,FALSE
kapsa,NA,Czech,pocket,Thing,kapsa,kapsa,FALSE
závoj,NA,Czech,veil,Thing,zavoj,zavoj,FALSE
rukavice,NA,Czech,glove,Thing,rukavitse,rukavitse,FALSE
pás,NA,Czech,"belt, girdle",Thing,pas,pas,FALSE
švec,NA,Czech,"shoemaker, cobbler",Thing,ʃvets,ʃvets,FALSE
obuvník,NA,Czech,"shoemaker, cobbler",Thing,obuvɲik,obuvɲik,FALSE
střevíc,NA,Czech,shoe,Thing,strevits,strevits,FALSE
obuv,NA,Czech,shoe,Thing,obuv,obuv,FALSE
bota,NA,Czech,shoe,Thing,bota,bota,FALSE
punčocha,NA,Czech,"stocking, sock",Thing,puntʃoxa,puntʃoxa,FALSE
spodky,NA,Czech,trousers,Thing,spotki,spotk,FALSE
kalhoty,NA,Czech,trousers,Thing,kalhoti,kalhot,FALSE
sukně,NA,Czech,skirt,Thing,sukɲe,sukɲe,FALSE
košile,NA,Czech,shirt,Thing,koʃile,koʃile,FALSE
kabát,NA,Czech,coat,Thing,kabat,kabat,FALSE
(dámské) šaty,NA,Czech,woman's dress,Thing,ʃati,ʃat,FALSE
pončo,NA,Czech,poncho,Thing,pontʃo,pontʃo,FALSE
plášt’,NA,Czech,cloak,Thing,plaʃt,plaʃt,FALSE
nit,NA,Czech,thread,Thing,ɲit,ɲit,FALSE
jehla,NA,Czech,needle,Thing,jehla,jehla,FALSE
šídlo,NA,Czech,awl,Thing,ʃidlo,ʃidlo,FALSE
stav,NA,Czech,loom,Thing,stav,stav,FALSE
vřeteno,NA,Czech,spindle,Thing,vreteno,vreteno,FALSE
kůže,NA,Czech,leather,Thing,kuʒe,kuʒe,FALSE
kožešina,NA,Czech,fur,Thing,koʒeʃina,koʒeʃina,FALSE
plst’,NA,Czech,felt,Thing,peeleste,peeleste,FALSE
hedvábí,NA,Czech,silk,Thing,hedvabi,hedvab,FALSE
bavlna,NA,Czech,cotton,Thing,bavlna,bavlna,FALSE
plátno,NA,Czech,"linen, flax",Thing,platno,platno,FALSE
len,NA,Czech,"linen, flax",Thing,len,len,FALSE
vlna,NA,Czech,wool,Thing,vlna,vlna,FALSE
sukno,NA,Czech,cloth,Thing,sukno,sukno,FALSE
látka,NA,Czech,cloth,Thing,latka,latka,FALSE
krejčí,NA,Czech,tailor,Thing,kreɪtʃi,kreɪtʃ,FALSE
švadlena,NA,Czech,tailor,Thing,ʃvadlena,ʃvadlena,FALSE
oděv,NA,Czech,"clothing, clothes",Thing,oɟev,oɟev,FALSE
oblek,NA,Czech,"clothing, clothes",Thing,oblek,oblek,FALSE
žloutek,NA,Czech,egg yolk,Thing,ʒloʊtek,ʒloʊtek,FALSE
