language,ontological.category,marker,n,position
De'kwana,Action,#,29,Suffix
De'kwana,Action,dɨ,34,Suffix
De'kwana,Action,nə,30,Suffix
De'kwana,Action,#,93,Prefix
De'kwana,Thing,#,179,Suffix
De'kwana,Thing,a,31,Suffix
De'kwana,Thing,ā,1,Suffix
De'kwana,Thing,#,211,Prefix
Dehong,Action,#,219,Suffix
Dehong,Action,m,39,Suffix
Dehong,Action,n,46,Suffix
Dehong,Action,#,109,Prefix
Dehong,Action,h,37,Prefix
Dehong,Action,k,23,Prefix
Dehong,Action,l,37,Prefix
Dehong,Action,p,27,Prefix
Dehong,Action,t,33,Prefix
Dehong,Action,th,16,Prefix
Dehong,Action,x,22,Prefix
Dehong,Thing,#,516,Suffix
Dehong,Thing,n,110,Suffix
Dehong,Thing,#,103,Prefix
Dehong,Thing,h,46,Prefix
Dehong,Thing,k,62,Prefix
Dehong,Thing,l,83,Prefix
Dehong,Thing,m,87,Prefix
Dehong,Thing,p,36,Prefix
Dehong,Thing,ph,19,Prefix
Dehong,Thing,s,51,Prefix
Dehong,Thing,t,65,Prefix
Dehong,Thing,x,74,Prefix
Dutch,Action,#,18,Suffix
Dutch,Action,aan,3,Suffix
Dutch,Action,en,400,Suffix
Dutch,Action,gaan,3,Suffix
Dutch,Action,staan,2,Suffix
Dutch,Action,#,426,Prefix
Dutch,Thing,#,870,Suffix
Dutch,Thing,el,66,Suffix
Dutch,Thing,#,936,Prefix
Ecun Buyang,Action,#,242,Suffix
Ecun Buyang,Action,#,242,Prefix
Ecun Buyang,Thing,#,403,Suffix
Ecun Buyang,Thing,n,67,Suffix
Ecun Buyang,Thing,#,470,Prefix
Embera,Action,#,73,Suffix
Embera,Action,a,71,Suffix
Embera,Action,#,144,Prefix
Embera,Thing,#,165,Suffix
Embera,Thing,a,183,Suffix
Embera,Thing,o,47,Suffix
Embera,Thing,#,395,Prefix
English,Action,#,364,Suffix
English,Action,#,364,Prefix
English,Thing,#,850,Suffix
English,Thing,#,850,Prefix
Epena,Action,#,87,Suffix
Epena,Action,a,104,Suffix
Epena,Action,ee,25,Suffix
Epena,Action,i,46,Suffix
Epena,Action,ĩ,1,Suffix
Epena,Action,#,263,Prefix
Epena,Thing,#,140,Suffix
Epena,Thing,a,228,Suffix
Epena,Thing,e,62,Suffix
Epena,Thing,i,44,Suffix
Epena,Thing,#,474,Prefix
Erzya Mordvin,Action,#,32,Suffix
Erzya Mordvin,Action,alamo,2,Suffix
Erzya Mordvin,Action,ams,93,Suffix
Erzya Mordvin,Action,doma,3,Suffix
Erzya Mordvin,Action,ema,10,Suffix
Erzya Mordvin,Action,ems,94,Suffix
Erzya Mordvin,Action,eramo,1,Suffix
Erzya Mordvin,Action,oms,91,Suffix
Erzya Mordvin,Action,teme,2,Suffix
Erzya Mordvin,Action,vks,2,Suffix
Erzya Mordvin,Action,#,330,Prefix
Erzya Mordvin,Thing,#,458,Suffix
Erzya Mordvin,Thing,a,164,Suffix
Erzya Mordvin,Thing,e,82,Suffix
Erzya Mordvin,Thing,ka,44,Suffix
Erzya Mordvin,Thing,#,748,Prefix
Ese Ejja,Action,#,57,Suffix
Ese Ejja,Action,a,92,Suffix
Ese Ejja,Action,aki,19,Suffix
Ese Ejja,Action,anahe,27,Suffix
Ese Ejja,Action,enahe,6,Suffix
Ese Ejja,Action,i,34,Suffix
Ese Ejja,Action,iki,9,Suffix
Ese Ejja,Action,inahe,16,Suffix
Ese Ejja,Action,onahe,4,Suffix
Ese Ejja,Action,#,264,Prefix
Ese Ejja,Thing,#,130,Suffix
Ese Ejja,Thing,a,124,Suffix
Ese Ejja,Thing,exe,6,Suffix
Ese Ejja,Thing,i,163,Suffix
Ese Ejja,Thing,oxo,6,Suffix
Ese Ejja,Thing,#,231,Prefix
Ese Ejja,Thing,e,198,Prefix
Estonian,Action,#,7,Suffix
Estonian,Action,amine,2,Suffix
Estonian,Action,etama,16,Suffix
Estonian,Action,ima,42,Suffix
Estonian,Action,istama,12,Suffix
Estonian,Action,itama,15,Suffix
Estonian,Action,lema,16,Suffix
Estonian,Action,ma,196,Suffix
Estonian,Action,ma,34,Suffix
Estonian,Action,nud,2,Suffix
Estonian,Action,uma,51,Suffix
Estonian,Action,utama,20,Suffix
Estonian,Action,#,413,Prefix
Estonian,Thing,#,919,Suffix
Estonian,Thing,#,919,Prefix
Finnish,Action,#,24,Suffix
Finnish,Action,a,208,Suffix
Finnish,Action,æ,103,Suffix
Finnish,Action,ata,33,Suffix
Finnish,Action,ittææ,18,Suffix
Finnish,Action,ksi,5,Suffix
Finnish,Action,oa,19,Suffix
Finnish,Action,oittaa,7,Suffix
Finnish,Action,ota,9,Suffix
Finnish,Action,üttææ,10,Suffix
Finnish,Action,#,436,Prefix
Finnish,Thing,#,377,Suffix
Finnish,Thing,a,237,Suffix
Finnish,Thing,as,25,Suffix
Finnish,Thing,i,187,Suffix
Finnish,Thing,si,31,Suffix
Finnish,Thing,u,76,Suffix
Finnish,Thing,#,933,Prefix
French,Action,#,7,Suffix
French,Action,ʁ,47,Suffix
French,Action,e,271,Suffix
French,Action,iʁ,47,Suffix
French,Action,vwaʁ,5,Suffix
French,Action,#,377,Prefix
French,Thing,#,816,Suffix
French,Thing,#,816,Prefix
German,Action,#,16,Suffix
German,Action,əln,15,Suffix
German,Action,ən,425,Suffix
German,Action,ɜn,21,Suffix
German,Action,ʃlɑk,2,Suffix
German,Action,ʊŋ,2,Suffix
German,Action,n,3,Suffix
German,Action,uk,2,Suffix
German,Action,zaɪn,2,Suffix
German,Action,#,488,Prefix
German,Thing,#,450,Suffix
German,Thing,ə,248,Suffix
German,Thing,ən,89,Suffix
German,Thing,ɜ,121,Suffix
German,Thing,t,141,Suffix
German,Thing,#,1049,Prefix
Goajiro,Action,#,16,Suffix
Goajiro,Action,ɨha,8,Suffix
Goajiro,Action,a,148,Suffix
Goajiro,Action,aačiki,2,Suffix
Goajiro,Action,aaoʔu,2,Suffix
Goajiro,Action,aha,20,Suffix
Goajiro,Action,ahawaa,9,Suffix
Goajiro,Action,awaa,34,Suffix
Goajiro,Action,awaaanain,4,Suffix
Goajiro,Action,in,3,Suffix
Goajiro,Action,oho,4,Suffix
Goajiro,Action,ohoo,3,Suffix
Goajiro,Action,oto,4,Suffix
Goajiro,Action,#,26,Prefix
Goajiro,Action,a,153,Prefix
Goajiro,Action,e,29,Prefix
Goajiro,Action,ka,12,Prefix
Goajiro,Action,o,37,Prefix
Goajiro,Thing,#,139,Suffix
Goajiro,Thing,a,186,Suffix
Goajiro,Thing,ain,10,Suffix
Goajiro,Thing,i,100,Suffix
Goajiro,Thing,se,14,Suffix
Goajiro,Thing,uľu,8,Suffix
Goajiro,Thing,uu,12,Suffix
Goajiro,Thing,#,257,Prefix
Goajiro,Thing,a,55,Prefix
Goajiro,Thing,hɨ,38,Prefix
Goajiro,Thing,ka,32,Prefix
Goajiro,Thing,ta,87,Prefix
Godoberi,Action,#,24,Suffix
Godoberi,Action,ali,59,Suffix
Godoberi,Action,i,272,Suffix
Godoberi,Action,#,355,Prefix
Godoberi,Thing,#,119,Suffix
Godoberi,Thing,a,192,Suffix
Godoberi,Thing,al,10,Suffix
Godoberi,Thing,an,32,Suffix
Godoberi,Thing,ar,18,Suffix
Godoberi,Thing,i,276,Suffix
Godoberi,Thing,il,16,Suffix
Godoberi,Thing,in,16,Suffix
Godoberi,Thing,ir,39,Suffix
Godoberi,Thing,u,114,Suffix
Godoberi,Thing,#,832,Prefix
Guaraní,Action,#,167,Suffix
Guaraní,Action,ɨ,68,Suffix
Guaraní,Action,a,97,Suffix
Guaraní,Action,i,72,Suffix
Guaraní,Action,ĩ,9,Suffix
Guaraní,Action,o,54,Suffix
Guaraní,Action,#,412,Prefix
Guaraní,Action,mo,55,Prefix
Guaraní,Thing,#,250,Suffix
Guaraní,Thing,ɨ,141,Suffix
Guaraní,Thing,a,359,Suffix
Guaraní,Thing,e,141,Suffix
Guaraní,Thing,i,110,Suffix
Guaraní,Thing,ĩ,22,Suffix
Guaraní,Thing,#,1023,Prefix
Gününa Küne,Action,#,8,Suffix
Gününa Küne,Action,ɨ,23,Suffix
Gününa Küne,Action,#,31,Prefix
Gününa Küne,Thing,#,362,Suffix
Gününa Küne,Thing,#,175,Prefix
Gününa Küne,Thing,a,96,Prefix
Gününa Küne,Thing,ka,17,Prefix
Gününa Küne,Thing,ya,74,Prefix
Hausa,Action,#,111,Suffix
Hausa,Action,a,260,Suffix
Hausa,Action,ani,6,Suffix
Hausa,Action,are,7,Suffix
Hausa,Action,ari,11,Suffix
Hausa,Action,ashi,7,Suffix
Hausa,Action,#,402,Prefix
Hausa,Thing,#,91,Suffix
Hausa,Thing,a,387,Suffix
Hausa,Thing,ā,1,Suffix
Hausa,Thing,e,73,Suffix
Hausa,Thing,i,261,Suffix
Hausa,Thing,o,85,Suffix
Hausa,Thing,#,898,Prefix
Hawaiian,Action,#,92,Suffix
Hawaiian,Action,a,142,Suffix
Hawaiian,Action,ā,23,Suffix
Hawaiian,Action,ele,25,Suffix
Hawaiian,Action,i,171,Suffix
Hawaiian,Action,ī,11,Suffix
Hawaiian,Action,o,100,Suffix
Hawaiian,Action,ō,3,Suffix
Hawaiian,Action,u,82,Suffix
Hawaiian,Action,ū,9,Suffix
Hawaiian,Action,#,598,Prefix
Hawaiian,Action,ʔa,23,Prefix
Hawaiian,Action,ʔā,8,Prefix
Hawaiian,Action,ku,17,Prefix
Hawaiian,Action,kū,12,Prefix
Hawaiian,Thing,#,203,Suffix
Hawaiian,Thing,a,429,Suffix
Hawaiian,Thing,ā,28,Suffix
Hawaiian,Thing,e,194,Suffix
Hawaiian,Thing,ē,11,Suffix
Hawaiian,Thing,i,243,Suffix
Hawaiian,Thing,ī,2,Suffix
Hawaiian,Thing,o,151,Suffix
Hawaiian,Thing,ō,8,Suffix
Hawaiian,Thing,#,1269,Prefix
Hindi,Action,ana,245,Suffix
Hindi,Action,dena,17,Suffix
Hindi,Action,hona,10,Suffix
Hindi,Action,karna,12,Suffix
Hindi,Action,lena,11,Suffix
Hindi,Action,na,47,Suffix
Hindi,Action,#,342,Prefix
Hindi,Thing,#,459,Suffix
Hindi,Thing,a,249,Suffix
Hindi,Thing,ak,20,Suffix
Hindi,Thing,an,42,Suffix
Hindi,Thing,i,187,Suffix
Hindi,Thing,#,957,Prefix
Hinuq,Action,#,22,Suffix
Hinuq,Action,a,361,Suffix
Hinuq,Action,āz,36,Suffix
Hinuq,Action,dōz,2,Suffix
Hinuq,Action,doz,1,Suffix
Hinuq,Action,ēz,2,Suffix
Hinuq,Action,ez,1,Suffix
Hinuq,Action,īž,3,Suffix
Hinuq,Action,#,428,Prefix
Hinuq,Thing,#,620,Suffix
Hinuq,Thing,a,132,Suffix
Hinuq,Thing,u,131,Suffix
Hinuq,Thing,#,883,Prefix
Hlai (Baoting variety),Action,#,290,Suffix
Hlai (Baoting variety),Action,#,290,Prefix
Hlai (Baoting variety),Thing,#,634,Suffix
Hlai (Baoting variety),Thing,#,634,Prefix
Hungarian,Action,#,386,Suffix
Hungarian,Action,ol,20,Suffix
Hungarian,Action,#,406,Prefix
Hungarian,Thing,#,886,Suffix
Hungarian,Thing,#,886,Prefix
Hunzib,Action,#,12,Suffix
Hunzib,Action,ɬi,1,Suffix
Hunzib,Action,a,318,Suffix
Hunzib,Action,ā,13,Suffix
Hunzib,Action,rɬi,2,Suffix
Hunzib,Action,#,346,Prefix
Hunzib,Thing,#,721,Suffix
Hunzib,Thing,a,134,Suffix
Hunzib,Thing,ā,1,Suffix
Hunzib,Thing,#,856,Prefix
Iduh,Action,#,210,Suffix
Iduh,Action,#,210,Prefix
Iduh,Thing,#,310,Suffix
Iduh,Thing,ŋ,87,Suffix
Iduh,Thing,j,63,Suffix
Iduh,Thing,#,460,Prefix
Ignaciano,Action,#,7,Suffix
Ignaciano,Action,a,32,Suffix
Ignaciano,Action,ača,9,Suffix
Ignaciano,Action,aka,24,Suffix
Ignaciano,Action,ča,5,Suffix
Ignaciano,Action,iča,6,Suffix
Ignaciano,Action,ika,22,Suffix
Ignaciano,Action,ka,26,Suffix
Ignaciano,Action,uča,6,Suffix
Ignaciano,Action,uka,13,Suffix
Ignaciano,Action,#,15,Prefix
Ignaciano,Action,a,35,Prefix
Ignaciano,Action,e,53,Prefix
Ignaciano,Action,i,47,Prefix
Ignaciano,Thing,#,55,Suffix
Ignaciano,Thing,a,141,Suffix
Ignaciano,Thing,are,22,Suffix
Ignaciano,Thing,aru,9,Suffix
Ignaciano,Thing,e,84,Suffix
Ignaciano,Thing,i,107,Suffix
Ignaciano,Thing,#,418,Prefix
Ingush,Action,#,24,Suffix
Ingush,Action,ɣo,7,Suffix
Ingush,Action,a,217,Suffix
Ingush,Action,ǎ,2,Suffix
Ingush,Action,ade,34,Suffix
Ingush,Action,ale,6,Suffix
Ingush,Action,de,25,Suffix
Ingush,Action,e,21,Suffix
Ingush,Action,#,336,Prefix
Ingush,Thing,#,556,Suffix
Ingush,Thing,a,171,Suffix
Ingush,Thing,ǎ,1,Suffix
Ingush,Thing,ar,80,Suffix
Ingush,Thing,#,808,Prefix
Irish,Action,#,516,Suffix
Irish,Action,#,516,Prefix
Irish,Thing,#,986,Suffix
Irish,Thing,ɑn,62,Suffix
Irish,Thing,ə,259,Suffix
Irish,Thing,#,1307,Prefix
Italian,Action,#,14,Suffix
Italian,Action,ɛre,3,Suffix
Italian,Action,are,192,Suffix
Italian,Action,arsɪ,15,Suffix
Italian,Action,dersɪ,2,Suffix
Italian,Action,ere,79,Suffix
Italian,Action,ersɪ,1,Suffix
Italian,Action,ire,40,Suffix
Italian,Action,rɾe,2,Suffix
Italian,Action,redi,2,Suffix
Italian,Action,rsɪ,1,Suffix
Italian,Action,#,351,Prefix
Italian,Thing,#,27,Suffix
Italian,Thing,a,299,Suffix
Italian,Thing,e,161,Suffix
Italian,Thing,edi,4,Suffix
Italian,Thing,o,336,Suffix
Italian,Thing,one,25,Suffix
Italian,Thing,#,852,Prefix
Itonama,Action,#,23,Suffix
Itonama,Action,ʔna,38,Suffix
Itonama,Action,ʔta,9,Suffix
Itonama,Action,ʔte,25,Suffix
Itonama,Action,aʔna,30,Suffix
Itonama,Action,asna,9,Suffix
Itonama,Action,e,58,Suffix
Itonama,Action,hna,44,Suffix
Itonama,Action,na,2,Suffix
Itonama,Action,ne,50,Suffix
Itonama,Action,#,288,Prefix
Itonama,Thing,#,102,Suffix
Itonama,Thing,a,137,Suffix
Itonama,Thing,e,93,Suffix
Itonama,Thing,o,89,Suffix
Itonama,Thing,#,421,Prefix
Jamaican Creole (Limonese Creole dialect),Action,#,368,Suffix
Jamaican Creole (Limonese Creole dialect),Action,#,368,Prefix
Jamaican Creole (Limonese Creole dialect),Thing,#,857,Suffix
Jamaican Creole (Limonese Creole dialect),Thing,#,857,Prefix
Jinsha Dai,Action,#,286,Suffix
Jinsha Dai,Action,#,251,Prefix
Jinsha Dai,Action,h,35,Prefix
Jinsha Dai,Thing,#,578,Suffix
Jinsha Dai,Thing,#,527,Prefix
Jinsha Dai,Thing,m,51,Prefix
Judeo-Tat,Action,#,21,Suffix
Judeo-Tat,Action,унде,2,Suffix
Judeo-Tat,Action,bire,19,Suffix
Judeo-Tat,Action,burra,2,Suffix
Judeo-Tat,Action,de,92,Suffix
Judeo-Tat,Action,dore,29,Suffix
Judeo-Tat,Action,e,2,Suffix
Judeo-Tat,Action,gürde,17,Suffix
Judeo-Tat,Action,ire,50,Suffix
Judeo-Tat,Action,nore,3,Suffix
Judeo-Tat,Action,omore,10,Suffix
Judeo-Tat,Action,re,7,Suffix
Judeo-Tat,Action,rmend,2,Suffix
Judeo-Tat,Action,rra,3,Suffix
Judeo-Tat,Action,sde,19,Suffix
Judeo-Tat,Action,šende,11,Suffix
Judeo-Tat,Action,soxde,103,Suffix
Judeo-Tat,Action,sula,1,Suffix
Judeo-Tat,Action,unde,43,Suffix
Judeo-Tat,Action,üsde,10,Suffix
Judeo-Tat,Action,venore,3,Suffix
Judeo-Tat,Action,zere,31,Suffix
Judeo-Tat,Action,#,480,Prefix
Judeo-Tat,Thing,#,1030,Suffix
Judeo-Tat,Thing,i,188,Suffix
Judeo-Tat,Thing,#,1218,Prefix
Kaingáng,Action,#,481,Suffix
Kaingáng,Action,#,481,Prefix
Kaingáng,Thing,#,655,Suffix
Kaingáng,Thing,#,655,Prefix
Karajá,Action,#,44,Suffix
Karajá,Action,ɨnɨ,7,Suffix
Karajá,Action,e,19,Suffix
Karajá,Action,enɨ,11,Suffix
Karajá,Action,i,17,Suffix
Karajá,Action,inɨ,10,Suffix
Karajá,Action,nɨ,14,Suffix
Karajá,Action,#,122,Prefix
Karajá,Thing,#,143,Suffix
Karajá,Thing,ɨ,36,Suffix
Karajá,Thing,i,40,Suffix
Karajá,Thing,re,14,Suffix
Karajá,Thing,#,233,Prefix
Karata,Action,#,19,Suffix
Karata,Action,ɬa,1,Suffix
Karata,Action,āɬa,155,Suffix
Karata,Action,aɬa,178,Suffix
Karata,Action,ow,2,Suffix
Karata,Action,#,355,Prefix
Karata,Thing,#,314,Suffix
Karata,Thing,a,237,Suffix
Karata,Thing,an,36,Suffix
Karata,Thing,ar,29,Suffix
Karata,Thing,ār,2,Suffix
Karata,Thing,e,108,Suffix
Karata,Thing,o,41,Suffix
Karata,Thing,u,61,Suffix
Karata,Thing,#,828,Prefix
Karok,Action,#,138,Suffix
Karok,Action,#,50,Prefix
Karok,Action,ʔ,26,Prefix
Karok,Action,ʔá,20,Prefix
Karok,Action,ʔi,28,Prefix
Karok,Action,ʔī,4,Prefix
Karok,Action,pá,10,Prefix
Karok,Thing,#,434,Suffix
Karok,Thing,#,246,Prefix
Karok,Thing,ʔa,49,Prefix
Karok,Thing,ʔā,4,Prefix
Karok,Thing,ʔá,46,Prefix
Karok,Thing,ʔi,61,Prefix
Karok,Thing,ʔī,4,Prefix
Karok,Thing,ʔim,13,Prefix
Karok,Thing,ʔú,11,Prefix
Kasong,Action,#,72,Suffix
Kasong,Action,a,124,Suffix
Kasong,Action,c,46,Suffix
Kasong,Action,#,242,Prefix
Kasong,Thing,#,189,Suffix
Kasong,Thing,a,232,Suffix
Kasong,Thing,c,134,Suffix
Kasong,Thing,#,555,Prefix
Keme (Kemie variety),Action,#,230,Suffix
Keme (Kemie variety),Action,#,230,Prefix
Keme (Kemie variety),Thing,#,376,Suffix
Keme (Kemie variety),Thing,k,44,Suffix
Keme (Kemie variety),Thing,n,74,Suffix
Keme (Kemie variety),Thing,#,396,Prefix
Keme (Kemie variety),Thing,m,51,Prefix
Keme (Kemie variety),Thing,s,47,Prefix
Khamuang (Chiang Mai variety),Action,#,148,Suffix
Khamuang (Chiang Mai variety),Action,k,31,Suffix
Khamuang (Chiang Mai variety),Action,n,55,Suffix
Khamuang (Chiang Mai variety),Action,t,30,Suffix
Khamuang (Chiang Mai variety),Action,#,177,Prefix
Khamuang (Chiang Mai variety),Action,h,30,Prefix
Khamuang (Chiang Mai variety),Action,kh,35,Prefix
Khamuang (Chiang Mai variety),Action,l,22,Prefix
Khamuang (Chiang Mai variety),Thing,#,431,Suffix
Khamuang (Chiang Mai variety),Thing,n,102,Suffix
Khamuang (Chiang Mai variety),Thing,t,46,Suffix
Khamuang (Chiang Mai variety),Thing,#,207,Prefix
Khamuang (Chiang Mai variety),Thing,h,38,Prefix
Khamuang (Chiang Mai variety),Thing,kh,76,Prefix
Khamuang (Chiang Mai variety),Thing,l,43,Prefix
Khamuang (Chiang Mai variety),Thing,m,48,Prefix
Khamuang (Chiang Mai variety),Thing,p,66,Prefix
Khamuang (Chiang Mai variety),Thing,s,45,Prefix
Khamuang (Chiang Mai variety),Thing,t,56,Prefix
Khanty,Action,#,8,Suffix
Khanty,Action,laŋ,2,Suffix
Khanty,Action,tɨ,323,Suffix
Khanty,Action,tti,10,Suffix
Khanty,Action,tum,2,Suffix
Khanty,Action,#,345,Prefix
Khanty,Thing,#,635,Suffix
Khanty,Thing,#,635,Prefix
Khinalug,Action,#,15,Suffix
Khinalug,Action,ɨri,11,Suffix
Khinalug,Action,axi,2,Suffix
Khinalug,Action,i,49,Suffix
Khinalug,Action,iri,21,Suffix
Khinalug,Action,kɨri,18,Suffix
Khinalug,Action,kiri,113,Suffix
Khinalug,Action,kui,46,Suffix
Khinalug,Action,ndä,11,Suffix
Khinalug,Action,qiri,26,Suffix
Khinalug,Action,škuwal,2,Suffix
Khinalug,Action,šqi,7,Suffix
Khinalug,Action,uwri,8,Suffix
Khinalug,Action,xiri,9,Suffix
Khinalug,Action,#,338,Prefix
Khinalug,Thing,#,915,Suffix
Khinalug,Thing,#,915,Prefix
Khwarshi (Inkhokvari dialect),Action,#,15,Suffix
Khwarshi (Inkhokvari dialect),Action,a,331,Suffix
Khwarshi (Inkhokvari dialect),Action,#,346,Prefix
Khwarshi (Inkhokvari dialect),Thing,#,476,Suffix
Khwarshi (Inkhokvari dialect),Thing,a,148,Suffix
Khwarshi (Inkhokvari dialect),Thing,an,32,Suffix
Khwarshi (Inkhokvari dialect),Thing,u,142,Suffix
Khwarshi (Inkhokvari dialect),Thing,#,798,Prefix
Khwarshi (Khwarshi dialect),Action,#,20,Suffix
Khwarshi (Khwarshi dialect),Action,a,370,Suffix
Khwarshi (Khwarshi dialect),Action,#,390,Prefix
Khwarshi (Khwarshi dialect),Thing,#,344,Suffix
Khwarshi (Khwarshi dialect),Thing,a,216,Suffix
Khwarshi (Khwarshi dialect),Thing,e,33,Suffix
Khwarshi (Khwarshi dialect),Thing,i,74,Suffix
Khwarshi (Khwarshi dialect),Thing,u,140,Suffix
Khwarshi (Khwarshi dialect),Thing,#,807,Prefix
Komi,Action,#,22,Suffix
Komi,Action,avnɩ,74,Suffix
Komi,Action,nɩ,231,Suffix
Komi,Action,ödnɩ,40,Suffix
Komi,Action,tnɩ,65,Suffix
Komi,Action,#,432,Prefix
Komi,Thing,#,911,Suffix
Komi,Thing,#,911,Prefix
Kryz,Action,#,31,Suffix
Kryz,Action,ǯi,190,Suffix
Kryz,Action,ǯu,62,Suffix
Kryz,Action,ӡi,6,Suffix
Kryz,Action,ӡu,4,Suffix
Kryz,Action,yěǯi,47,Suffix
Kryz,Action,yeǯi,1,Suffix
Kryz,Action,#,341,Prefix
Kryz,Thing,#,857,Suffix
Kryz,Thing,#,857,Prefix
Kumyk,Action,#,26,Suffix
Kumyk,Action,bermek,13,Suffix
Kumyk,Action,etmek,23,Suffix
Kumyk,Action,leme,3,Suffix
Kumyk,Action,maq,230,Suffix
Kumyk,Action,mek,114,Suffix
Kumyk,Action,#,409,Prefix
Kumyk,Thing,#,1003,Suffix
Kumyk,Thing,#,1003,Prefix
Kunza,Action,#,18,Suffix
Kunza,Action,ma,7,Suffix
Kunza,Action,tur,177,Suffix
Kunza,Action,#,202,Prefix
Kunza,Thing,#,230,Suffix
Kunza,Thing,a,68,Suffix
Kunza,Thing,e,34,Suffix
Kunza,Thing,i,97,Suffix
Kunza,Thing,#,392,Prefix
Kunza,Thing,cka,37,Prefix
Lak,Action,#,17,Suffix
Lak,Action,an,120,Suffix
Lak,Action,ayen,3,Suffix
Lak,Action,in,52,Suffix
Lak,Action,lan,103,Suffix
Lak,Action,tun,25,Suffix
Lak,Action,un,18,Suffix
Lak,Action,xun,17,Suffix
Lak,Action,#,355,Prefix
Lak,Thing,#,592,Suffix
Lak,Thing,a,172,Suffix
Lak,Thing,an,39,Suffix
Lak,Thing,#,803,Prefix
Lakkia,Action,#,261,Suffix
Lakkia,Action,n,46,Suffix
Lakkia,Action,#,256,Prefix
Lakkia,Action,t,51,Prefix
Lakkia,Thing,#,553,Suffix
Lakkia,Thing,n,117,Suffix
Lakkia,Thing,#,344,Prefix
Lakkia,Thing,c,79,Prefix
Lakkia,Thing,kj,32,Prefix
Lakkia,Thing,p,83,Prefix
Lakkia,Thing,t,98,Prefix
Lakkia,Thing,w,34,Prefix
Langja Buyang,Action,#,237,Suffix
Langja Buyang,Action,#,237,Prefix
Langja Buyang,Thing,#,470,Suffix
Langja Buyang,Thing,#,436,Prefix
Langja Buyang,Thing,ś,34,Prefix
Latvian,Action,#,25,Suffix
Latvian,Action,s,10,Suffix
Latvian,Action,t,299,Suffix
Latvian,Action,ties,40,Suffix
Latvian,Action,uot,42,Suffix
Latvian,Action,#,416,Prefix
Latvian,Thing,#,142,Suffix
Latvian,Thing,a,233,Suffix
Latvian,Thing,eʀe,5,Suffix
Latvian,Thing,ene,8,Suffix
Latvian,Thing,inʃ,10,Suffix
Latvian,Thing,mate,3,Suffix
Latvian,Thing,s,542,Suffix
Latvian,Thing,tse,6,Suffix
Latvian,Thing,#,949,Prefix
Lengua,Action,#,80,Suffix
Lengua,Action,a,12,Suffix
Lengua,Action,#,92,Prefix
Lengua,Thing,#,325,Suffix
Lengua,Thing,a,159,Suffix
Lengua,Thing,#,484,Prefix
Lezgian,Action,#,17,Suffix
Lezgian,Action,awun,59,Suffix
Lezgian,Action,fin,7,Suffix
Lezgian,Action,kas,4,Suffix
Lezgian,Action,n,23,Suffix
Lezgian,Action,naqin,2,Suffix
Lezgian,Action,qeqün,2,Suffix
Lezgian,Action,qürün,1,Suffix
Lezgian,Action,un,320,Suffix
Lezgian,Action,wehin,3,Suffix
Lezgian,Action,xün,4,Suffix
Lezgian,Action,#,442,Prefix
Lezgian,Thing,#,947,Suffix
Lezgian,Thing,#,947,Prefix
Lithuanian,Action,#,21,Suffix
Lithuanian,Action,ti,411,Suffix
Lithuanian,Action,tis,24,Suffix
Lithuanian,Action,#,456,Prefix
Lithuanian,Thing,#,237,Suffix
Lithuanian,Thing,ɪja,6,Suffix
Lithuanian,Thing,ʂesuo,6,Suffix
Lithuanian,Thing,ai,29,Suffix
Lithuanian,Thing,as,302,Suffix
Lithuanian,Thing,ee,87,Suffix
Lithuanian,Thing,ees,12,Suffix
Lithuanian,Thing,inei,4,Suffix
Lithuanian,Thing,is,150,Suffix
Lithuanian,Thing,muo,7,Suffix
Lithuanian,Thing,tɕei,5,Suffix
Lithuanian,Thing,#,845,Prefix
Maca,Action,#,99,Suffix
Maca,Action,#,99,Prefix
Maca,Thing,#,383,Suffix
Maca,Thing,#,383,Prefix
Macushi,Action,#,41,Suffix
Macushi,Action,ɨ,62,Suffix
Macushi,Action,a,107,Suffix
Macushi,Action,aʔtɨ,6,Suffix
Macushi,Action,pɨ,12,Suffix
Macushi,Action,#,228,Prefix
Macushi,Thing,#,313,Suffix
Macushi,Thing,a,95,Suffix
Macushi,Thing,i,58,Suffix
Macushi,Thing,#,466,Prefix
Mahasu Pahari (Kotghari dialect),Action,#,7,Suffix
Mahasu Pahari (Kotghari dialect),Action,ɭnõ,11,Suffix
Mahasu Pahari (Kotghari dialect),Action,ɳo,10,Suffix
Mahasu Pahari (Kotghari dialect),Action,ɳõ,110,Suffix
Mahasu Pahari (Kotghari dialect),Action,ɽnõ,15,Suffix
Mahasu Pahari (Kotghari dialect),Action,no,6,Suffix
Mahasu Pahari (Kotghari dialect),Action,nõ,12,Suffix
Mahasu Pahari (Kotghari dialect),Action,rnõ,19,Suffix
Mahasu Pahari (Kotghari dialect),Action,#,190,Prefix
Mahasu Pahari (Kotghari dialect),Thing,#,651,Suffix
Mahasu Pahari (Kotghari dialect),Thing,#,651,Prefix
Malieng,Action,#,199,Suffix
Malieng,Action,c,24,Suffix
Malieng,Action,k,33,Suffix
Malieng,Action,n,31,Suffix
Malieng,Action,ń,7,Suffix
Malieng,Action,t,25,Suffix
Malieng,Action,#,225,Prefix
Malieng,Action,k,46,Prefix
Malieng,Action,t,48,Prefix
Malieng,Thing,#,188,Suffix
Malieng,Thing,ʔ,172,Suffix
Malieng,Thing,h,38,Suffix
