Name,geo.cluster,ID,Glottocode,ISO639P3code,wals_code,latitude,longitude,genus,family
Chipaya,15,270,chip1262,cap,cpy,-18.75,-67.8333333333,Uru-Chipaya,Uru-Chipaya
Mosetén,15,271,mose1249,cas,mos,-14.75,-67.8333333333,Mosetenan,Mosetenan
Araona,15,272,arao1248,aro,ana,-12.3333333333,-67.75,Tacanan,Tacanan
Cavineña,15,273,cavi1250,cav,cav,-13.3333333333,-66.5,Tacanan,Tacanan
Ese Ejja,15,274,esee1248,ese,ese,-11,-66,Tacanan,Tacanan
Tacana,15,276,taca1256,tna,tac,-13.5,-68,Tacanan,Tacanan
Cashibo,15,277,cash1251,cbr,cas,-8.5,-75.5,Panoan,Panoan
Chácobo,15,279,chac1251,cao,cbo,-12.1666666667,-66.75,Panoan,Panoan
Shipibo-Conibo,15,281,ship1254,shp,shk,-7.5,-75,Panoan,Panoan
Yaminahua,15,282,yami1256,yaa,yam,-8,-73,Panoan,Panoan
Cayuvava,15,283,cayu1262,cyb,cyv,-13.5,-65.5,Cayuvava,Cayuvava
Itonama,15,284,iton1250,ito,ito,-12.8333333333,-64.3333333333,Itonama,Itonama
Movima,15,285,movi1243,mzp,mov,-13.8333333333,-65.6666666667,Movima,Movima
Pacaas Novos,15,286,wari1268,pav,war,-11.3333333333,-65,Chapacura-Wanham,Chapacura-Wanham
Mundurukú,16,287,mund1330,myu,muu,-7,-58,Munduruku,Tupian
Aché,17,288,ache1246,guq,ach,-25.25,-55.1666666667,Tupi-Guaraní,Tupian
Chiriguano,17,289,east2555,gui,crg,-23.6666666667,-64.3333333333,Tupi-Guaraní,Tupian
Guaraní,17,290,para1311,gug,gua,-26,-56,Tupi-Guaraní,Tupian
Sirionó,15,291,siri1273,srq,srn,-15.5833333333,-64,Tupi-Guaraní,Tupian
Wayampi,16,292,waya1270,oym,way,1,-52,Tupi-Guaraní,Tupian
Canela,16,293,cane1242,ram,cnl,-7,-45,Ge-Kaingang,Macro-Ge
Kaingáng,17,294,kain1272,kgp,kng,-26,-52,Ge-Kaingang,Macro-Ge
Karajá,16,295,kara1500,kpj,jva,-10,-50.3333333333,Karajá,Macro-Ge
Trumai,16,296,trum1247,tpy,tru,-11.9166666667,-53.5833333333,Trumai,Trumai
Ayoreo,17,297,ayor1240,ayo,ayr,-20.25,-59.25,Zamucoan,Zamucoan
Lengua,17,300,leng1262,leg,lng,-22.5,-59,Mascoian,Mascoian
Mocoví,17,301,moco1246,moc,mcv,-28,-60.5,South Guaicuruan,Guaicuruan
Pilagá,17,302,pila1245,plg,pga,-25,-60,South Guaicuruan,Guaicuruan
Chorote,17,304,iyoj1235,crt,crt,-22.5,-62.5,Matacoan,Matacoan
Maca,17,305,maca1260,mca,mca,-25,-57.5,Matacoan,Matacoan
Wichí,17,306,wich1264,mzh,wch,-22.5,-62.5833333333,Matacoan,Matacoan
Nivaclé,17,307,niva1238,cag,chu,-23.5,-60.5,Matacoan,Matacoan
Kunza,15,308,kunz1244,kuz,atm,-23,-69,Kunza,Kunza
Mapudungun,18,309,mapu1245,arn,map,-38,-72,Araucanian,Araucanian
Tehuelche,18,310,tehu1242,teh,teh,-48,-68,Chon Proper,Chon
