ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
287,Mundurukú,NA,-8.41095,-57.691,mund1330,myu
288,Aché,NA,-25.5865,-56.4697,ache1246,guq
289,Chiriguano,NA,-21.0909,-61.7179,east2555,gui
290,Guaraní,NA,-25.6055,-57.0882,para1311,gug
291,Sirionó,NA,-15.5298,-63.9688,siri1273,srq
292,Wayampi,NA,1.73817,-52.6887,waya1270,oym
293,Canela,NA,-6.10712,-45.1299,cane1242,ram
294,Kaingáng,NA,-27.7671,-52.5394,kain1272,kgp
295,Karajá,NA,-11.1881,-50.3492,kara1500,kpj
296,Trumai,NA,-11.8119,-53.5717,trum1247,tpy
297,Ayoreo,NA,-19.2201,-60.2175,ayor1240,ayo
298,Sanapaná (Angaité dialect),NA,NA,NA,anga1295,NA
299,Sanapaná (Enlhet dialect),NA,-22.1145,-58.907,sana1281,sap
300,Lengua,NA,-22.6559,-58.9053,leng1262,leg
301,Mocoví,NA,-28.097,-60.4145,moco1246,moc
302,Pilagá,NA,-25.0058,-60.1537,pila1245,plg
304,Chorote,NA,-22.1896,-63.2383,iyoj1235,crt
305,Maca,NA,-25.0119,-57.3694,maca1260,mca
306,Wichí,NA,-23.1633,-62.1757,wich1264,mzh
307,Nivaclé,NA,-22.8557,-61.7606,niva1238,cag
308,Kunza,NA,-23,-69,kunz1244,kuz
309,Mapudungun,NA,-38.7392,-71.277,mapu1245,arn
310,Tehuelche,NA,-47.5796,-68.3235,tehu1242,teh
311,Selknam,NA,-54,-68.5,onaa1245,ona
312,Gününa Küne,NA,-36.6376,-62.9413,puel1244,pue
313,Qawasqar,NA,-49.703,-75.3756,qawa1238,alc
314,Toba,NA,-24.4025,-60.4473,toba1269,tob
315,Yagán,NA,-55.2748,-68.2648,yama1264,yag
318,Uncunwee,NA,11.6432,29.8122,ghul1238,ghl
401,Central Thai,NA,14.192,100.671,thai1261,tha
402,Southern Tai (Songkhla variety),NA,6.85668,99.7031,sout2746,sou
403,Thai (Korat variety),NA,6.85668,99.7031,sout2746,sou
404,Khamuang (Chiang Mai variety),NA,18.8575,100.207,nort2740,nod
405,Dehong,NA,21.7837,99.722,tain1252,tdd
407,Tai Lü,NA,21.0321,101.282,luuu1242,khb
408,Tai Khün,NA,19.6062,99.3363,khun1259,kkh
409,Shan,NA,21.5995,98.0342,shan1277,shn
411,Nung-Fengshan,NA,23.6818,107.184,guib1244,zgn
412,Nung-Lazhai,NA,23.6818,107.184,guib1244,zgn
413,Nung-Ninbei,NA,20.8965,104.286,nung1283,nut
414,Zhuang-Longzhou,NA,21.8375,107.362,zuoj1238,zzj
415,Sui,NA,24.0488,106.563,suii1243,swi
420,Lakkia,NA,24.1169,110.106,lakk1238,lbc
421,Hlai (Baoting variety),NA,18.8062,109.459,hlai1239,lic
422,Langja Buyang,NA,23.0105,104.449,emab1235,yzg
