actions.removed,things.removed,mut.info,words.remaining,language
-5,-1,0.05353635910370903,0.8699186991869918,Aghul
-6,-2,0.03412268255086392,0.8850828729281768,Akhvakh (Northern dialect)
-7,-2,0.05364829671329881,0.8414351851851852,Akhvakh (Southern dialect)
-4,-2,0.04388993690149221,0.844,Andi
-4,-1,0.0331832618049491,0.8533333333333334,Archi (variety 1)
-5,-1,0.04355139191246892,0.8597285067873304,Avar
-7,-1,0.04114007049766965,0.7990521327014218,Azerbaijani
-7,-1,0.03187635156985255,0.7731481481481481,Bagvalal
-5,-1,0.057251175878546716,0.7905138339920948,Botlikh
-4,-1,0.051266560162345785,0.8938244853737811,Budukh
-5,-1,0.03890873008206544,0.7578947368421053,Chamalal
-5,-1,0.05580168332484308,0.7849686847599165,Chechen
-6,-1,0.06175860170963388,0.833941605839416,Dargwa
-5,-1,0.05403595636358087,0.8745603751465416,Erzya Mordvin
-5,-1,0.04858338350612072,0.9110378912685337,Estonian
-4,-2,0.04574046637765482,0.9291964996022275,Finnish
-3,-1,0.05169608486021596,0.9159859976662778,Godoberi
-5,-1,0.04642497860414113,0.786504424778761,Hinuq
-3,-1,0.04023682761390167,0.9141414141414141,Hungarian
-3,-1,0.04920919115720012,0.862876254180602,Hunzib
-5,-1,0.03240975243625183,0.8251572327044026,Karata
-5,-1,0.019935792768033776,0.821656050955414,Khanty
-5,-1,0.053622968148976026,0.7825,Khwarshi (Inkhokvari dialect)
-3,-1,0.058514627242720454,0.8556085918854416,Khwarshi (Khwarshi dialect)
-6,-1,0.04936967951240931,0.7761194029850746,Komi
-4,-1,0.0399780537052247,0.9593572778827977,Kumyk
-4,-1,0.06280237233259381,0.8631713554987213,Lak
-4,-2,0.054653889735321357,0.9833496571988247,Northern Saami
-3,-1,0.052380338404697295,0.9646924829157175,Lezgian
-7,-1,0.046558523176331225,0.895741556534508,Mansi
-5,-2,0.05562054553928763,0.7274749721913237,Mari
-4,-3,0.043088990520540334,0.6293706293706294,Nenets
