49A Number of Cases,98A Alignment of Case Marking of Full Noun Phrases,22A Inflectional Synthesis of the Verb,122A Relativization on Subjects,28A Case Syncretism,128A Utterance Complement Clauses,29A Syncretism in Verbal Person/Number Marking,129A Hand and Arm,102A Verbal Person Marking,48A Person Marking on Adpositions,74A Situational Possibility,75A Epistemic Possibility,76A Overlap between Situational and Epistemic Modal Marking,77A Semantic Distinctions of Evidentiality,34A Occurrence of Nominal Plurality,134A Green and Blue,36A The Associative Plural,136A M-T Pronouns,136B M in First Person Singular,92A Position of Polar Question Particles,65A Perfective/Imperfective Aspect,70A The Morphological Imperative,57A Position of Pronominal Possessive Affixes,59A Possessive Classification,73A The Optative,41A Distance Contrasts in Demonstratives,141A Writing Systems
8 10 or more cases,2 Nominative - accusative (standard),2 2-3 categories per word,1 Relative pronoun,3 Core and non-core,2 Balanced/deranked,3 Not syncretic,2 Different,2 Only the A argument,3 Pronouns only,2 Verbal constructions,1 Verbal constructions,1 Overlap for both possibility and necessity,2 Indirect only,"6 All nouns, always obligatory",NA,4 No associative plural,"2 M-T pronouns, paradigmatic",2 m in first person singular,3 Second position,2 No grammatical marking,1 Second singular and second plural,2 Possessive suffixes,1 No possessive classification,2 Inflectional optative absent,2 Two-way contrast,NA
NA,NA,NA,NA,NA,NA,NA,NA,1 No person marking,2 No person marking,NA,NA,NA,3 Direct and indirect,NA,NA,NA,NA,NA,NA,NA,4 Second person number-neutral,NA,NA,1 Inflectional optative present,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 10 or more cases,2 Nominative - accusative (standard),3 4-5 categories per word,1 Relative pronoun,4 No syncretism,1 Balanced,3 Not syncretic,2 Different,5 Both the A and P arguments,3 Pronouns only,1 Affixes on verbs,1 Verbal constructions,2 Overlap for either possibility or necessity,1 No grammatical evidentials,"6 All nouns, always obligatory",NA,2 Unique affixal associative plural,"2 M-T pronouns, paradigmatic",2 m in first person singular,NA,2 No grammatical marking,5 No second-person imperatives,2 Possessive suffixes,1 No possessive classification,2 Inflectional optative absent,2 Two-way contrast,NA
8 10 or more cases,4 Ergative - absolutive,4 6-7 categories per word,4 Gap,4 No syncretism,NA,3 Not syncretic,NA,2 Only the A argument,2 No person marking,2 Verbal constructions,3 Other,3 No overlap,2 Indirect only,"6 All nouns, always obligatory",NA,NA,NA,NA,6 No question particle,NA,4 Second person number-neutral,4 No possessive affixes,NA,1 Inflectional optative present,3 Three-way contrast,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 Second person number-neutral,NA,NA,NA,NA,NA
3 3 cases,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 Verbal constructions,3 Other,3 No overlap,NA,NA,NA,1 Associative same as additive plural,NA,NA,NA,NA,1 Second singular and second plural,2 Possessive suffixes,NA,2 Inflectional optative absent,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 No question particle,NA,NA,4 No possessive affixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
