49A Number of Cases,98A Alignment of Case Marking of Full Noun Phrases,22A Inflectional Synthesis of the Verb,122A Relativization on Subjects,28A Case Syncretism,128A Utterance Complement Clauses,29A Syncretism in Verbal Person/Number Marking,129A Hand and Arm,102A Verbal Person Marking,48A Person Marking on Adpositions,74A Situational Possibility,75A Epistemic Possibility,76A Overlap between Situational and Epistemic Modal Marking,77A Semantic Distinctions of Evidentiality,34A Occurrence of Nominal Plurality,134A Green and Blue,36A The Associative Plural,136A M-T Pronouns,136B M in First Person Singular,92A Position of Polar Question Particles,65A Perfective/Imperfective Aspect,70A The Morphological Imperative,57A Position of Pronominal Possessive Affixes,59A Possessive Classification,73A The Optative,41A Distance Contrasts in Demonstratives,141A Writing Systems
1 No morphological case-marking,2 Nominative - accusative (standard),NA,4 Gap,1 No case marking,NA,1 No subject person/number marking,1 Identical,1 No person marking,2 No person marking,2 Verbal constructions,3 Other,3 No overlap,1 No grammatical evidentials,"6 All nouns, always obligatory",NA,3 Unique periphrastic associative plural,NA,NA,6 No question particle,2 No grammatical marking,5 No second-person imperatives,4 No possessive affixes,1 No possessive classification,2 Inflectional optative absent,3 Three-way contrast,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 Initial,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 Only human nouns, obligatory",NA,NA,NA,NA,1 Initial,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 No possessive affixes,NA,NA,2 Two-way contrast,NA
NA,NA,NA,NA,NA,NA,NA,1 Identical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 No question particle,NA,NA,NA,NA,NA,NA,NA
6 6-7 cases,NA,NA,NA,NA,NA,NA,1 Identical,NA,NA,NA,NA,NA,2 Indirect only,NA,NA,NA,NA,NA,6 No question particle,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1 Identical,NA,NA,NA,NA,NA,NA,NA,2 Green/blue,NA,NA,NA,NA,NA,1 Second singular and second plural,4 No possessive affixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1 Identical,NA,NA,NA,NA,NA,NA,NA,2 Green/blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,2 Only the A argument,2 No person marking,NA,NA,NA,2 Indirect only,NA,2 Green/blue,NA,1 No M-T pronouns,2 m in first person singular,6 No question particle,NA,NA,4 No possessive affixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1 Identical,NA,NA,NA,NA,NA,3 Direct and indirect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,3 Direct and indirect,NA,NA,NA,NA,NA,6 No question particle,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,1 No grammatical evidentials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 Exclusively borderline case-marking,1 Neutral,6 10-11 categories per word,NA,1 No case marking,1 Balanced,1 No subject person/number marking,NA,5 Both the A and P arguments,4 Pronouns and nouns,NA,2 Affixes on verbs,NA,1 No grammatical evidentials,NA,NA,2 Unique affixal associative plural,1 No M-T pronouns,1 No m in first person singular,3 Second position,1 Grammatical marking,5 No second-person imperatives,1 Possessive prefixes,1 No possessive classification,2 Inflectional optative absent,2 Two-way contrast,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 Indirect only,NA,NA,NA,NA,NA,NA,NA,NA,1 Possessive prefixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 Initial,NA,NA,1 Possessive prefixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 No grammatical evidentials,NA,NA,NA,NA,NA,NA,NA,NA,1 Possessive prefixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 Indirect only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 No question particle,NA,NA,4 No possessive affixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1 Identical,NA,NA,NA,NA,NA,NA,"5 All nouns, optional in inanimates",NA,NA,NA,NA,3 Second position,NA,1 Second singular and second plural,NA,NA,NA,NA,NA
5 5 cases,4 Ergative - absolutive,NA,NA,3 Core and non-core,NA,1 No subject person/number marking,NA,1 No person marking,2 No person marking,1 Affixes on verbs,2 Affixes on verbs,3 No overlap,2 Indirect only,NA,NA,1 Associative same as additive plural,NA,NA,6 No question particle,2 No grammatical marking,1 Second singular and second plural,4 No possessive affixes,NA,2 Inflectional optative absent,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,3 Only the P argument,2 No person marking,NA,NA,NA,NA,NA,2 Green/blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,2 Indirect only,NA,2 Green/blue,NA,NA,NA,1 Initial,NA,NA,4 No possessive affixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,2 Indirect only,NA,2 Green/blue,NA,NA,NA,1 Initial,NA,NA,4 No possessive affixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 No possessive affixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,5 Both the A and P arguments,3 Pronouns only,NA,NA,NA,2 Indirect only,NA,2 Green/blue,NA,NA,NA,NA,1 Grammatical marking,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 Indirect only,NA,2 Green/blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 Exclusively borderline case-marking,1 Neutral,4 6-7 categories per word,NA,1 No case marking,NA,2 Syncretic,NA,5 Both the A and P arguments,1 No adpositions,2 Verbal constructions,2 Affixes on verbs,3 No overlap,1 No grammatical evidentials,NA,NA,NA,1 No M-T pronouns,1 No m in first person singular,NA,NA,1 Second singular and second plural,3 Prefixes and suffixes,4 More than five classes,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 Indirect only,NA,NA,NA,NA,NA,6 No question particle,NA,NA,1 Possessive prefixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,1 No grammatical evidentials,NA,NA,NA,NA,NA,6 No question particle,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 No second-person imperatives,1 Possessive prefixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 Second singular,NA,NA,NA,NA,NA
1 No morphological case-marking,2 Nominative - accusative (standard),3 4-5 categories per word,4 Gap,1 No case marking,NA,3 Not syncretic,2 Different,5 Both the A and P arguments,3 Pronouns only,NA,NA,NA,2 Indirect only,"2 Only human nouns, optional",NA,4 No associative plural,1 No M-T pronouns,1 No m in first person singular,NA,2 No grammatical marking,2 Second singular,1 Possessive prefixes,1 No possessive classification,1 Inflectional optative present,3 Three-way contrast,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 Indirect only,NA,2 Green/blue,NA,NA,NA,2 Final,NA,NA,1 Possessive prefixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,1 Balanced,NA,2 Different,NA,NA,NA,NA,NA,2 Indirect only,NA,NA,NA,NA,NA,3 Second position,NA,NA,1 Possessive prefixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,NA,NA,5 Yellow/green/blue,NA,NA,NA,NA,NA,NA,1 Possessive prefixes,NA,NA,NA,NA
5 5 cases,4 Ergative - absolutive,5 8-9 categories per word,NA,4 No syncretism,3 Deranked,1 No subject person/number marking,NA,3 Only the P argument,2 No person marking,2 Verbal constructions,2 Affixes on verbs,3 No overlap,2 Indirect only,"3 Only human nouns, obligatory",NA,NA,1 No M-T pronouns,1 No m in first person singular,NA,NA,5 No second-person imperatives,3 Prefixes and suffixes,3 Three to five classes,2 Inflectional optative absent,2 Two-way contrast,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 Second singular and second plural,1 Possessive prefixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 Second singular and second plural,1 Possessive prefixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 Possessive prefixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 All nouns, always obligatory",NA,NA,NA,NA,1 Initial,NA,NA,1 Possessive prefixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,1 No grammatical evidentials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 No morphological case-marking,1 Neutral,2 2-3 categories per word,NA,1 No case marking,NA,3 Not syncretic,2 Different,5 Both the A and P arguments,1 No adpositions,2 Verbal constructions,3 Other,3 No overlap,1 No grammatical evidentials,NA,NA,1 Associative same as additive plural,1 No M-T pronouns,1 No m in first person singular,1 Initial,2 No grammatical marking,1 Second singular and second plural,1 Possessive prefixes,3 Three to five classes,2 Inflectional optative absent,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 2 cases,1 Neutral,5 8-9 categories per word,4 Gap,1 No case marking,NA,3 Not syncretic,2 Different,5 Both the A and P arguments,2 No person marking,2 Verbal constructions,2 Affixes on verbs,2 Overlap for either possibility or necessity,1 No grammatical evidentials,1 No nominal plural,NA,NA,1 No M-T pronouns,1 No m in first person singular,NA,2 No grammatical marking,1 Second singular and second plural,4 No possessive affixes,1 No possessive classification,2 Inflectional optative absent,3 Three-way contrast,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 Second singular,NA,NA,NA,NA,NA
9 Exclusively borderline case-marking,NA,NA,NA,1 No case marking,NA,1 No subject person/number marking,2 Different,3 Only the P argument,3 Pronouns only,2 Verbal constructions,2 Affixes on verbs,3 No overlap,1 No grammatical evidentials,NA,NA,NA,NA,NA,NA,NA,4 Second person number-neutral,NA,NA,2 Inflectional optative absent,NA,NA
NA,NA,NA,NA,NA,NA,NA,1 Identical,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 No M-T pronouns,1 No m in first person singular,NA,NA,NA,2 Possessive suffixes,NA,NA,NA,NA
2 2 cases,NA,NA,NA,1 No case marking,NA,1 No subject person/number marking,2 Different,1 No person marking,2 No person marking,NA,3 Other,NA,1 No grammatical evidentials,NA,NA,NA,NA,NA,6 No question particle,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 No question particle,NA,NA,1 Possessive prefixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 10 or more cases,4 Ergative - absolutive,6 10-11 categories per word,4 Gap,3 Core and non-core,2 Balanced/deranked,3 Not syncretic,NA,1 No person marking,2 No person marking,2 Verbal constructions,NA,NA,3 Direct and indirect,NA,NA,4 No associative plural,1 No M-T pronouns,1 No m in first person singular,6 No question particle,NA,4 Second person number-neutral,4 No possessive affixes,1 No possessive classification,1 Inflectional optative present,2 Two-way contrast,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 Direct and indirect,NA,NA,NA,NA,NA,3 Second position,NA,1 Second singular and second plural,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 Unique affixal associative plural,NA,NA,NA,2 No grammatical marking,NA,NA,NA,NA,NA,NA
NA,5 Tripartite,2 2-3 categories per word,2 Non-reduction,3 Core and non-core,1 Balanced,2 Syncretic,NA,2 Only the A argument,2 No person marking,2 Verbal constructions,1 Verbal constructions,2 Overlap for either possibility or necessity,1 No grammatical evidentials,"6 All nouns, always obligatory",NA,4 No associative plural,"2 M-T pronouns, paradigmatic",2 m in first person singular,1 Initial,1 Grammatical marking,1 Second singular and second plural,NA,1 No possessive classification,2 Inflectional optative absent,NA,NA
5 5 cases,5 Tripartite,NA,NA,NA,1 Balanced,NA,1 Identical,NA,NA,2 Verbal constructions,1 Verbal constructions,3 No overlap,NA,NA,NA,NA,NA,NA,2 Final,NA,4 Second person number-neutral,NA,NA,NA,2 Two-way contrast,NA
NA,NA,NA,NA,NA,NA,NA,2 Different,NA,NA,NA,NA,NA,2 Indirect only,"4 All nouns, always optional",NA,1 Associative same as additive plural,NA,NA,NA,NA,NA,NA,NA,1 Inflectional optative present,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,3 Deranked,NA,1 Identical,NA,NA,1 Affixes on verbs,2 Affixes on verbs,2 Overlap for either possibility or necessity,2 Indirect only,"5 All nouns, optional in inanimates",NA,NA,NA,NA,6 No question particle,2 No grammatical marking,1 Second singular and second plural,NA,NA,NA,2 Two-way contrast,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 Verbal constructions,1 Verbal constructions,1 Overlap for both possibility and necessity,NA,NA,NA,NA,NA,NA,6 No question particle,NA,1 Second singular and second plural,NA,NA,2 Inflectional optative absent,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 No morphological case-marking,1 Neutral,1 0-1 category per word,4 Gap,1 No case marking,1 Balanced,1 No subject person/number marking,NA,1 No person marking,2 No person marking,2 Verbal constructions,1 Verbal constructions,2 Overlap for either possibility or necessity,1 No grammatical evidentials,"4 All nouns, always optional",NA,4 No associative plural,1 No M-T pronouns,1 No m in first person singular,2 Final,2 No grammatical marking,5 No second-person imperatives,4 No possessive affixes,1 No possessive classification,2 Inflectional optative absent,2 Two-way contrast,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
