,Matthews,Accuracy,F1
0,0.053088249108085996,0.5270562770562771,0.3448275862068965
1,-0.09073017201745544,0.45562770562770566,0.22222222222222224
2,-0.3186887195995491,0.359375,0.0
0,-0.1987435534182576,0.4145021645021645,0.08695652173913043
1,0.13480263621268787,0.5411255411255411,0.22222222222222224
2,0.0,0.5,0.0
0,0.053088249108085996,0.5270562770562771,0.3448275862068965
1,0.11728534431524729,0.5573593073593074,0.3703703703703704
2,-0.09608826434822593,0.484375,0.0
0,-0.03461725937492032,0.4816017316017316,0.31250000000000006
1,0.20017752139298778,0.5822510822510822,0.36363636363636365
2,-0.16813552751666025,0.42908653846153844,0.09523809523809525
0,0.020247063781244273,0.5054112554112554,0.11764705882352941
1,0.07705141285294195,0.525974025974026,0.21052631578947364
2,-0.051739834649044726,0.4747596153846154,0.24000000000000002
0,0.0,0.5,0.0
1,0.13480263621268787,0.5411255411255411,0.22222222222222224
2,-0.16261090889699772,0.4206730769230769,0.16
0,0.30849263350006023,0.6125541125541125,0.4
1,0.013277586148895919,0.5064935064935066,0.29629629629629634
2,0.013103560459023979,0.5060096153846154,0.2608695652173913
0,-0.37238748458083104,0.2987012987012987,0.11764705882352941
1,-0.011121413488021757,0.4956709956709957,0.19047619047619047
2,-0.1374603536922894,0.46875,0.0
0,0.0,0.5,0.0
1,-0.0960346885066768,0.48484848484848486,0.0
2,0.21658135747908777,0.5913461538461539,0.380952380952381
0,0.0,0.5,0.0
1,0.002418678533829134,0.501082251082251,0.25
2,-0.29637448918190956,0.375,0.0
