,Matthews,Accuracy,F1
0,0.30845233229915847,0.6477281233625272,0.5333333333333333
1,0.36215159667668484,0.6492439553858822,0.5
2,0.44166693610294694,0.6921581946488546,0.5786802030456852
0,0.3285130497296482,0.6432741971704469,0.5025125628140703
1,0.35545048661615325,0.66101504603638,0.5384615384615384
2,0.3498213819034542,0.6569304502056681,0.5294117647058824
0,0.36174964434071566,0.6732539860768021,0.5688888888888889
1,0.28095518860109525,0.6318025301295007,0.5045871559633027
2,0.5058003357251036,0.7488207102154798,0.6752136752136753
0,0.2734297643379494,0.6213788457219851,0.4729064039408867
1,0.3900778591050742,0.6878321730668464,0.5903083700440529
2,0.40147206446004846,0.6974980187931621,0.6068376068376069
0,0.34302573277405174,0.6614267534995134,0.547945205479452
1,0.4028093429307904,0.678812036829104,0.5615763546798029
2,0.2979838252539571,0.640080757764444,0.5161290322580646
0,0.0,0.5,0.0
1,0.2752238692939036,0.6295194251066697,0.5022831050228311
2,0.5275867066032276,0.7612174044303559,0.6919831223628692
0,0.3724091899952477,0.6624185942061531,0.5326633165829145
1,0.4309373770160471,0.6879444569204282,0.5728643216080401
2,0.32092155578930853,0.657156873844296,0.5517241379310346
0,0.32581882170939414,0.6464368590463357,0.5145631067961165
1,0.37016461068844,0.6836776704843177,0.5916666666666666
2,0.3433425129593198,0.6546473451828371,0.526829268292683
0,0.35467274041998154,0.6360693165656112,0.46327683615819204
1,0.30068701461191677,0.632326521446216,0.4875621890547263
2,0.35980400333150203,0.6731386090041134,0.5688888888888889
0,0.35601088401652076,0.6709708810539712,0.5663716814159292
1,0.40851413351089005,0.6756493749532151,0.5510204081632653
2,0.37378708833569707,0.6586663647684818,0.5208333333333334
