value,transcription,alt_transcription,IPA,Comment
d,Phonemic,NA,,
ɨ,Phonemic,NA,,
k,Phonemic,NA,,
.,Phonemic,NA,,
7,Phonemic,NA,,
 ,Phonemic,NA,,
s,Phonemic,NA,,
a,Phonemic,NA,,
u,Phonemic,NA,,
2,Phonemic,NA,,
l,Phonemic,NA,,
ɛ,Phonemic,NA,,
4,Phonemic,NA,,
p,Phonemic,NA,,
e,Phonemic,NA,,
:,Phonemic,NA,,
5,Phonemic,NA,,
j,Phonemic,NA,,
t,Phonemic,NA,,
ɔ,Phonemic,NA,,
i,Phonemic,NA,,
1,Phonemic,NA,,
m,Phonemic,NA,,
ə,Phonemic,NA,,
6,Phonemic,NA,,
h,Phonemic,NA,,
o,Phonemic,NA,,
n,Phonemic,NA,,
v,Phonemic,NA,,
ʔ,Phonemic,NA,,
x,Phonemic,NA,,
ŋ,Phonemic,NA,,
(,Phonemic,NA,,
),Phonemic,NA,,
c,Phonemic,NA,,
9,Phonemic,NA,,
8,Phonemic,NA,,
3,Phonemic,NA,,
f,Phonemic,NA,,
b,Phonemic,NA,,
w,Phonemic,NA,,
C,Phonemic,NA,,
H,Phonemic,NA,,
E,Phonemic,NA,,
K,Phonemic,NA,,
P,Phonemic,NA,,
0,Phonemic,NA,,
],Phonemic,NA,,
\,Phonemic,NA,,
"""",Phonemic,NA,,
