value,transcription,alt_transcription,IPA,Comment
t,Phonemic,NA,,
a,Phonemic,NA,,
ŋ,Phonemic,NA,,
.,Phonemic,NA,,
4,Phonemic,NA,,
ʔ,Phonemic,NA,,
n,Phonemic,NA,,
i,Phonemic,NA,,
3,Phonemic,NA,,
h,Phonemic,NA,,
e,Phonemic,NA,,
 ,Phonemic,NA,,
ś,Phonemic,NA,,
1,Phonemic,NA,,
l,Phonemic,NA,,
ə,Phonemic,NA,,
7,Phonemic,NA,,
:,Phonemic,NA,,
p,Phonemic,NA,,
c,Phonemic,NA,,
u,Phonemic,NA,,
s,Phonemic,NA,,
5,Phonemic,NA,,
d,Phonemic,NA,,
m,Phonemic,NA,,
b,Phonemic,NA,,
2,Phonemic,NA,,
6,Phonemic,NA,,
ć,Phonemic,NA,,
o,Phonemic,NA,,
8,Phonemic,NA,,
j,Phonemic,NA,,
k,Phonemic,NA,,
q,Phonemic,NA,,
f,Phonemic,NA,,
w,Phonemic,NA,,
ɣ,Phonemic,NA,,
ń,Phonemic,NA,,
r,Phonemic,NA,,
ɨ,Phonemic,NA,,
(,Phonemic,NA,,
v,Phonemic,NA,,
),Phonemic,NA,,
z,Phonemic,NA,,
/,Phonemic,NA,,
