,Matthews,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.3172307045628475,0.6452205882352942,0.5,0.4375,0.8529411764705882
1,0.8135699161125375,0.8915441176470589,0.8666666666666666,0.8125,0.9705882352941176
2,0.6216823711415945,0.7665441176470589,0.6923076923076923,0.5625,0.9705882352941176
3,0.6323529411764706,0.8161764705882353,0.75,0.75,0.8823529411764706
4,0.7360147612366005,0.8786764705882353,0.823529411764706,0.875,0.8823529411764706
5,0.5937354270767815,0.8014705882352942,0.7272727272727272,0.75,0.8529411764705882
6,0.7671932182792478,0.8768382352941176,0.8387096774193549,0.8125,0.9411764705882353
7,0.7187885584398698,0.8290441176470589,0.7857142857142857,0.6875,0.9705882352941176
8,0.4032349912726988,0.6931372549019608,0.5714285714285715,0.5333333333333333,0.8529411764705882
9,0.7224677392753258,0.8727272727272728,0.8125,0.8666666666666667,0.8787878787878788
