,Matthews,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.08282943498909671,0.5403726708074534,0.4736842105263158,0.42857142857142855,0.6521739130434783
1,0.3456521739130435,0.6728260869565217,0.65,0.65,0.6956521739130435
2,0.2409090909090909,0.6204545454545455,0.6190476190476191,0.65,0.5909090909090909
3,0.2919059268087842,0.6454545454545455,0.6511627906976744,0.7,0.5909090909090909
4,0.33190618145300227,0.6613636363636364,0.6111111111111112,0.55,0.7727272727272727
5,0.23395480008935163,0.615909090909091,0.5789473684210527,0.55,0.6818181818181818
6,0.4948721003672819,0.7431818181818182,0.7555555555555556,0.85,0.6363636363636364
7,0.47434713106427434,0.7363636363636363,0.717948717948718,0.7,0.7727272727272727
8,0.37924777785156183,0.6863636363636363,0.6486486486486486,0.6,0.7727272727272727
9,0.2409090909090909,0.6204545454545455,0.6190476190476191,0.65,0.5909090909090909
