,Matthews,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.6996537582074354,0.8347222222222221,0.7733333333333333,0.725,0.9444444444444444
1,0.7404853515061532,0.8672897196261682,0.810126582278481,0.8,0.9345794392523364
2,0.6581494336184882,0.8016355140186916,0.7323943661971831,0.65,0.9532710280373832
3,0.7334305264740932,0.8438084112149533,0.7945205479452054,0.725,0.9626168224299065
4,0.6775557081204939,0.8141355140186917,0.75,0.675,0.9532710280373832
5,0.7975576034626725,0.9047897196261683,0.8536585365853658,0.875,0.9345794392523364
6,0.6271900880451285,0.8001168224299066,0.72,0.675,0.9252336448598131
7,0.730618902256284,0.8763479511143062,0.8048780487804877,0.8461538461538461,0.9065420560747663
8,0.7294940264562976,0.8484303858135633,0.7945205479452054,0.7435897435897436,0.9532710280373832
9,0.5675008292646537,0.7737838485502038,0.6756756756756757,0.6410256410256411,0.9065420560747663
