,Matthews,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.23076923076923078,0.6153846153846154,0.5,0.5,0.7307692307692307
1,0.19810721293758182,0.5686813186813187,0.3157894736842105,0.21428571428571427,0.9230769230769231
2,0.3076923076923077,0.6538461538461539,0.5384615384615384,0.5384615384615384,0.7692307692307693
3,0.15075567228888181,0.5576923076923077,0.3157894736842105,0.23076923076923078,0.8846153846153846
4,0.30151134457776363,0.6153846153846154,0.42105263157894735,0.3076923076923077,0.9230769230769231
5,0.05423261445466405,0.5192307692307692,0.2222222222222222,0.15384615384615385,0.8846153846153846
6,0.19230769230769232,0.5961538461538461,0.46153846153846156,0.46153846153846156,0.7307692307692307
7,0.15075567228888181,0.5576923076923077,0.3157894736842105,0.23076923076923078,0.8846153846153846
8,0.5892556509887896,0.7884615384615384,0.7199999999999999,0.6923076923076923,0.8846153846153846
9,-0.05976143046671968,0.4807692307692307,0.11764705882352941,0.07692307692307693,0.8846153846153846
