,Matthews,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.7196962466675308,0.8709150326797386,0.8055555555555555,0.8529411764705882,0.8888888888888888
1,0.6959353094319832,0.8562091503267973,0.7887323943661971,0.8235294117647058,0.8888888888888888
2,0.7908360711416886,0.9150326797385621,0.8533333333333334,0.9411764705882353,0.8888888888888888
3,0.7032577215691902,0.8453159041394336,0.787878787878788,0.7647058823529411,0.9259259259259259
4,0.7715847643725541,0.8889705882352941,0.8405797101449276,0.8529411764705882,0.925
5,0.7185821415242986,0.870220588235294,0.8055555555555555,0.8529411764705882,0.8875
6,0.8092678863235914,0.9081439393939394,0.8656716417910447,0.8787878787878788,0.9375
7,0.7668329577135841,0.8867424242424242,0.8358208955223881,0.8484848484848485,0.925
8,0.6819631004935693,0.843939393939394,0.7761194029850745,0.7878787878787878,0.9
9,0.754594245058649,0.8893939393939394,0.8285714285714285,0.8787878787878788,0.9
