,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.21337428865217675,0.6141304347826086,0.6152173913043478,0.4897959183673469,0.6,0.6304347826086957
1,0.4804932318143493,0.7771739130434783,0.7554347826086957,0.6521739130434783,0.75,0.7608695652173914
2,0.48158199600664126,0.7923913043478261,0.7576086956521739,0.6440677966101694,0.95,0.5652173913043478
3,0.45454572011553396,0.7532608695652174,0.7239130434782608,0.6153846153846154,0.6,0.8478260869565217
4,0.38115074200771404,0.780952380952381,0.6968253968253968,0.6031746031746031,0.9047619047619048,0.4888888888888889
5,0.2572959722363272,0.6846560846560846,0.6365079365079365,0.5423728813559322,0.7619047619047619,0.5111111111111111
6,0.33225376865102774,0.7291005291005291,0.673015873015873,0.5806451612903225,0.8571428571428571,0.4888888888888889
7,0.3214982287837852,0.6977777777777778,0.6694444444444444,0.5666666666666667,0.85,0.4888888888888889
8,0.24975621642178505,0.6655555555555556,0.6333333333333333,0.5106382978723405,0.6,0.6666666666666666
9,0.33596564586055017,0.6533333333333333,0.6722222222222223,0.5714285714285715,0.9,0.4444444444444444
