,Matthews,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.2427520781138061,0.6178571428571429,0.4736842105263158,0.45,0.7857142857142857
1,0.20497289793748072,0.5916666666666667,0.4117647058823529,0.35,0.8333333333333334
2,0.3823008988519947,0.6422764227642276,0.4666666666666666,0.3333333333333333,0.9512195121951219
3,0.1558916198991955,0.5795586527293844,0.4545454545454545,0.47619047619047616,0.6829268292682927
4,-0.01952172023607576,0.49085365853658536,0.2777777777777778,0.25,0.7317073170731707
5,0.1110865623649965,0.5530487804878048,0.37837837837837834,0.35,0.7560975609756098
6,0.18897484172436185,0.5902439024390245,0.4324324324324324,0.4,0.7804878048780488
7,0.3212966974383419,0.6658536585365853,0.5581395348837209,0.6,0.7317073170731707
8,0.3668013525829027,0.6908536585365854,0.5909090909090908,0.65,0.7317073170731707
9,0.1265699634751547,0.5518292682926829,0.3225806451612903,0.25,0.8536585365853658
