,Matthews,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.08136082527884875,0.5316377171215881,0.2564102564102564,0.19230769230769232,0.8709677419354839
1,0.4753166585823875,0.6481481481481481,0.45714285714285713,0.2962962962962963,1.0
2,0.29976259953671225,0.6377679697351828,0.47826086956521735,0.4230769230769231,0.8524590163934426
3,0.12410236205740653,0.5498108448928121,0.3,0.23076923076923078,0.8688524590163934
4,0.3234432876119749,0.6459646910466582,0.4888888888888889,0.4230769230769231,0.8688524590163934
5,0.32910689684843886,0.632093316519546,0.45,0.34615384615384615,0.9180327868852459
6,0.3594407372019159,0.6651954602774275,0.5217391304347826,0.46153846153846156,0.8688524590163934
7,0.1489630978985328,0.5580075662042875,0.30769230769230776,0.23076923076923078,0.8852459016393442
8,0.29976259953671225,0.6377679697351828,0.47826086956521735,0.4230769230769231,0.8524590163934426
9,0.05456437143603374,0.5138713745271122,0.12903225806451613,0.07692307692307693,0.9508196721311475
