,Matthews,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.48716534023411145,0.7313519813519813,0.65,0.5909090909090909,0.8717948717948718
1,0.38331077069024155,0.673992673992674,0.5555555555555556,0.47619047619047616,0.8717948717948718
2,0.38331077069024155,0.673992673992674,0.5555555555555556,0.47619047619047616,0.8717948717948718
3,0.5188745216627708,0.7564102564102564,0.6829268292682926,0.6666666666666666,0.8461538461538461
4,0.46400777504608187,0.7106227106227107,0.611111111111111,0.5238095238095238,0.8974358974358975
5,0.3706246583305506,0.6831501831501832,0.5853658536585366,0.5714285714285714,0.7948717948717948
6,0.3161854729289932,0.6387559808612441,0.5000000000000001,0.4090909090909091,0.868421052631579
7,0.2165408787114111,0.5837320574162679,0.37499999999999994,0.2727272727272727,0.8947368421052632
8,0.39598482948122044,0.6997607655502392,0.6222222222222223,0.6363636363636364,0.7631578947368421
9,0.5232965341382019,0.7236842105263157,0.6285714285714286,0.5,0.9473684210526315
