,Matthews,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.474733851955904,0.7211764705882353,0.6511627906976745,0.56,0.8823529411764706
1,0.4071077187647898,0.7023529411764706,0.6530612244897959,0.64,0.7647058823529411
2,0.4728288476344844,0.7264705882352941,0.6666666666666665,0.6,0.8529411764705882
3,0.19844311685144797,0.6004901960784315,0.5490196078431373,0.5833333333333334,0.6176470588235294
4,0.5354842602816423,0.7659313725490196,0.723404255319149,0.7083333333333334,0.8235294117647058
5,0.3049764940786903,0.6409313725490196,0.5365853658536585,0.4583333333333333,0.8235294117647058
6,0.05210501057189062,0.5220588235294117,0.32432432432432434,0.25,0.7941176470588235
7,0.3191845671062244,0.6490909090909092,0.5581395348837209,0.48,0.8181818181818182
8,0.4829024800048196,0.7436363636363637,0.7169811320754718,0.76,0.7272727272727273
9,0.36199044029251076,0.6787878787878787,0.6250000000000001,0.6,0.7575757575757576
