ID,Name,iso_code,latitude,longitude,family,macroarea,countrycodes
75,Chechen,che,43.25,45.8333333333,Nakh-Daghestanian,Eurasia,RU
270,Chipaya,cap,-18.75,-67.8333333333,Uru-Chipaya,South America,BO
289,Chiriguano,gui,-23.6666666667,-64.3333333333,Tupian,South America,PY AR BO
304,Chorote,crq,-22.5,-62.5,Matacoan,South America,BO AR PY
254,Cofán,con,0.166666666667,-77.1666666667,Cofán,South America,CO EC
246,Colorado,cof,-1,-79.3333333333,Barbacoan,South America,EC
186,Danish,dan,56,10,Indo-European,Eurasia,DK
57,Dargwa,dar,42.25,47.4166666667,Nakh-Daghestanian,Eurasia,RU
174,De'kwana,mch,5.5,-65,Cariban,South America,VR
191,Dutch,nld,52.5,6,Indo-European,Eurasia,NL
247,Embera,emp,6.83333333333,-77.1666666667,Choco,South America,CO PA
190,English,eng,52,0,Indo-European,Eurasia,GB IE
248,Epena,sja,3,-77,Choco,South America,CO
126,Erzya Mordvin,myv,53,45.5,Uralic,Eurasia,KZ RU
274,Ese Ejja,ese,-11,-66,Tacanan,South America,PE BO
127,Estonian,est,59,26,Uralic,Eurasia,EE
128,Finnish,fin,62,25,Uralic,Eurasia,FI
171,French,fra,48,2,Indo-European,Eurasia,FR CH
194,German,deu,52,10,Indo-European,Eurasia,AT DE CH
262,Goajiro,guc,12,-72,Arawakan,South America,VR CO
38,Godoberi,gdo,42.6666666667,46.0833333333,Nakh-Daghestanian,Eurasia,RU
290,Guaraní,gug,-26,-56,Tupian,South America,PY
312,Gününa Küne,pue,-41,-67,Chon,South America,AR
220,Hausa,hau,12,7,Afro-Asiatic,Africa,NG NE
235,Hawaiian,haw,19.5833333333,-155.5,Austronesian,Papunesia,US
702,Hindi,hin,25,77,Indo-European,Eurasia,IN
42,Hinuq,gin,42.1666666667,46,Nakh-Daghestanian,Eurasia,RU
421,Hlai (Baoting variety),lic,19,109.5,Tai-Kadai,Eurasia,CN
131,Hungarian,hun,47,20,Uralic,Eurasia,HU
52,Hunzib,huz,42.1666666667,46.25,Nakh-Daghestanian,Eurasia,RU
263,Ignaciano,ign,-15.1666666667,-65.4166666667,Arawakan,South America,BO
516,Ingush,inh,43.1666666667,45.0833333333,Nakh-Daghestanian,Eurasia,RU
170,Italian,ita,43,12,Indo-European,Eurasia,CH IT
284,Itonama,ito,-12.8333333333,-64.3333333333,Itonama,South America,BO
218,Jamaican Creole (Limonese Creole dialect),jam,18.1666666667,-77.25,other,North America,JM
294,Kaingáng,kgp,-26,-52,Macro-Ge,South America,BR
295,Karajá,kpj,-10,-50.3333333333,Macro-Ge,South America,BR
39,Karata,kpt,42.5833333333,46.3333333333,Nakh-Daghestanian,Eurasia,RU
224,Karok,kyh,41.6666666667,-123,Karok,North America,US
135,Khanty,kca,65,65,Uralic,Eurasia,RU
69,Khinalug,kjj,41.1666666667,48.0833333333,Nakh-Daghestanian,Eurasia,AZ
41,Khwarshi (Khwarshi dialect),khv,42.25,46.1666666667,Nakh-Daghestanian,Eurasia,RU
139,Komi,kpv,65,55,Uralic,Eurasia,RU
518,Kryz,kry,41.0833333333,48,Nakh-Daghestanian,Eurasia,AZ
