Form,transcription,englishName,language,englishPOS,languageFamily,alt_transcription,alt_form,concepticonID,phon,method,ontologicalCategory,include
lanse,StandardOrth,spear,Danish,noun,Indo-European,NA,NA,NA,lansə,NA,Thing,FALSE
sværd,StandardOrth,sword,Danish,noun,Indo-European,NA,NA,NA,svεɐ,NA,Thing,FALSE
gevær,StandardOrth,"gun, cannon",Danish,noun,Indo-European,NA,NA,NA,gevεɐ,NA,Thing,FALSE
bøsse,StandardOrth,"gun, cannon",Danish,noun,Indo-European,NA,NA,NA,bøsə,NA,Thing,FALSE
kanon,StandardOrth,"gun, cannon",Danish,noun,Indo-European,NA,NA,NA,kanon,NA,Thing,FALSE
rustning,StandardOrth,armor (defensive),Danish,noun,Indo-European,NA,NA,NA,ʁɔsdneŋ,NA,Thing,FALSE
harnisk,StandardOrth,armor (defensive),Danish,noun,Indo-European,NA,NA,NA,hɑnisg,NA,Thing,FALSE
hjelm,StandardOrth,helmet,Danish,noun,Indo-European,NA,NA,NA,jεlm,NA,Thing,FALSE
skjold,StandardOrth,shield,Danish,noun,Indo-European,NA,NA,NA,sgjʌl,NA,Thing,FALSE
fæstning,StandardOrth,fortress,Danish,noun,Indo-European,NA,NA,NA,fεsdneŋ,NA,Thing,FALSE
sejr,StandardOrth,victory,Danish,noun,Indo-European,NA,NA,NA,sɑjʌ,NA,Thing,FALSE
nederlag,StandardOrth,defeat,Danish,noun,Indo-European,NA,NA,NA,neðʌlæj,NA,Thing,FALSE
angreb,StandardOrth,attack,Danish,noun,Indo-European,NA,NA,NA,angʁεb,NA,Thing,FALSE
fange,StandardOrth,"captive, prisoner",Danish,noun,Indo-European,NA,NA,NA,fɑŋə,NA,Thing,FALSE
vagt,StandardOrth,"guard, sentinel",Danish,noun,Indo-European,NA,NA,NA,vɑgd,NA,Thing,FALSE
bytte,StandardOrth,"booty, spoils",Danish,noun,Indo-European,NA,NA,NA,bydə,NA,Thing,FALSE
rov,StandardOrth,"booty, spoils",Danish,noun,Indo-European,NA,NA,NA,ʁɒw,NA,Thing,FALSE
baghold,StandardOrth,ambush,Danish,noun,Indo-European,NA,NA,NA,bɑwhʌl,NA,Thing,FALSE
fisker,StandardOrth,fisherman,Danish,noun,Indo-European,NA,NA,NA,fesgʌ,NA,Thing,FALSE
snøre,StandardOrth,fishing line,Danish,noun,Indo-European,NA,NA,NA,snɶʌ,NA,Thing,FALSE
lov,StandardOrth,law,Danish,noun,Indo-European,NA,NA,NA,lɒw,NA,Thing,FALSE
dom,StandardOrth,judgment,Danish,noun,Indo-European,NA,NA,NA,dʌm,NA,Thing,FALSE
dommer,StandardOrth,judge (noun),Danish,noun,Indo-European,NA,NA,NA,dʌmʌ,NA,Thing,FALSE
tiltalte,StandardOrth,defendant,Danish,noun,Indo-European,NA,NA,NA,teltælə,NA,Thing,FALSE
vidne,StandardOrth,witness,Danish,noun,Indo-European,NA,NA,NA,viðnə,NA,Thing,FALSE
ed,StandardOrth,oath,Danish,noun,Indo-European,NA,NA,NA,ede,NA,Thing,FALSE
straf,StandardOrth,"penalty, punishment",Danish,noun,Indo-European,NA,NA,NA,sdʁɑf,NA,Thing,FALSE
bøde,StandardOrth,fine,Danish,noun,Indo-European,NA,NA,NA,bøðə,NA,Thing,FALSE
fængsel,StandardOrth,"prison, jail",Danish,noun,Indo-European,NA,NA,NA,fεŋsəl,NA,Thing,FALSE
ægteskabsbrud,StandardOrth,adultery,Danish,noun,Indo-European,NA,NA,NA,εgdəsgabsbʁuð,NA,Thing,FALSE
voldtægt,StandardOrth,rape,Danish,noun,Indo-European,NA,NA,NA,vʌltεgd,NA,Thing,FALSE
mened,StandardOrth,perjury,Danish,noun,Indo-European,NA,NA,NA,meneð,NA,Thing,FALSE
tyv,StandardOrth,thief,Danish,noun,Indo-European,NA,NA,NA,tyw,NA,Thing,FALSE
religion,StandardOrth,religion,Danish,noun,Indo-European,NA,NA,NA,ʁεligjon,NA,Thing,FALSE
Gud,StandardOrth,God,Danish,noun,Indo-European,NA,NA,NA,guð,NA,Thing,FALSE
tempel,StandardOrth,"temple, church",Danish,noun,Indo-European,NA,NA,NA,tεmbəl,NA,Thing,FALSE
alter,StandardOrth,altar,Danish,noun,Indo-European,NA,NA,NA,aldʌ,NA,Thing,FALSE
offer,StandardOrth,"sacrifice, offering",Danish,noun,Indo-European,NA,NA,NA,ʌfʌ,NA,Thing,FALSE
præst,StandardOrth,priest,Danish,noun,Indo-European,NA,NA,NA,pʁasd,NA,Thing,FALSE
helvede,StandardOrth,hell,Danish,noun,Indo-European,NA,NA,NA,hεlvəðə,NA,Thing,FALSE
afgud,StandardOrth,idol,Danish,noun,Indo-European,NA,NA,NA,ɑwguð,NA,Thing,FALSE
trolddom,StandardOrth,"magic, witchcraft, sorcery",Danish,noun,Indo-European,NA,NA,NA,tʁʌldʌm,NA,Thing,FALSE
magi,StandardOrth,"magic, witchcraft, sorcery",Danish,noun,Indo-European,NA,NA,NA,magi,NA,Thing,FALSE
spøgelse,StandardOrth,"ghost, phantom",Danish,noun,Indo-European,NA,NA,NA,sbøjəlsə,NA,Thing,FALSE
omen,StandardOrth,"omen, portent",Danish,noun,Indo-European,NA,NA,NA,omən,NA,Thing,FALSE
varsel,StandardOrth,"omen, portent",Danish,noun,Indo-European,NA,NA,NA,vɑsəl,NA,Thing,FALSE
ophouden,StandardOrth,"cease, stop",Dutch,verb,Indo-European,NA,NA,NA,ɔfɑwʏdɛn,NA,Action,FALSE
stoppen,StandardOrth,"cease, stop",Dutch,verb,Indo-European,NA,NA,NA,stɔppɛn,NA,Action,FALSE
voleindigen,StandardOrth,finish,Dutch,verb,Indo-European,NA,NA,NA,volɛjndiɣɛn,NA,Action,FALSE
eindigen,StandardOrth,finish,Dutch,verb,Indo-European,NA,NA,NA,ɛjndiɣɛn,NA,Action,FALSE
afmaken,StandardOrth,finish,Dutch,verb,Indo-European,NA,NA,NA,ɑfmakɛn,NA,Action,FALSE
duren,StandardOrth,"last, endure",Dutch,verb,Indo-European,NA,NA,NA,dyrɛn,NA,Action,FALSE
verduren,StandardOrth,"last, endure",Dutch,verb,Indo-European,NA,NA,NA,vɛrdyrɛn,NA,Action,FALSE
beginnen,StandardOrth,"begin, beginning",Dutch,verb,Indo-European,NA,NA,NA,beɣɪnnɛn,NA,Action,FALSE
aanvangen,StandardOrth,"begin, beginning",Dutch,verb,Indo-European,NA,NA,NA,anvɑŋɛn,NA,Action,FALSE
aanvang,StandardOrth,"begin, beginning",Dutch,verb,Indo-European,NA,NA,NA,anvɑnx,NA,Action,FALSE
begin,StandardOrth,"begin, beginning",Dutch,verb,Indo-European,NA,NA,NA,beɣɪn,NA,Action,FALSE
dralen,StandardOrth,"retard, delay",Dutch,NA,Indo-European,NA,NA,NA,tralɛn,NA,Action,FALSE
talmen,StandardOrth,"retard, delay",Dutch,NA,Indo-European,NA,NA,NA,tɑlmɛn,NA,Action,FALSE
vertragen,StandardOrth,"retard, delay",Dutch,NA,Indo-European,NA,NA,NA,vɛrtraɣɛn,NA,Action,FALSE
uitstellen,StandardOrth,"retard, delay",Dutch,NA,Indo-European,NA,NA,NA,œɥtstɛjɛn,NA,Action,FALSE
tellen,StandardOrth,count,Dutch,verb,Indo-European,NA,NA,NA,tɛjɛn,NA,Action,FALSE
veranderen,StandardOrth,change,Dutch,verb,Indo-European,NA,NA,NA,verɑnderɛn,NA,Action,FALSE
wisselen,StandardOrth,change,Dutch,verb,Indo-European,NA,NA,NA,ʋɪsselɛn,NA,Action,FALSE
meten,StandardOrth,measure,Dutch,verb,Indo-European,NA,NA,NA,metɛn,NA,Action,FALSE
groeien,StandardOrth,grow,Dutch,verb,Indo-European,NA,NA,NA,xrujɛn,NA,Action,FALSE
wassen,StandardOrth,grow,Dutch,verb,Indo-European,NA,NA,NA,ʋɑssɛn,NA,Action,FALSE
verstoppen,StandardOrth,"hide, conceal",Dutch,verb,Indo-European,NA,NA,NA,vɛrstɔppɛn,NA,Action,FALSE
verbergen,StandardOrth,"hide, conceal",Dutch,verb,Indo-European,NA,NA,NA,vɛrbɛrɣɛn,NA,Action,FALSE
versteken,StandardOrth,"hide, conceal",Dutch,verb,Indo-European,NA,NA,NA,vɛrstekɛn,NA,Action,FALSE
sluiten,StandardOrth,"shut, close",Dutch,verb,Indo-European,NA,NA,NA,slœɥɪtɛn,NA,Action,FALSE
dichtmaken,StandardOrth,"shut, close",Dutch,verb,Indo-European,NA,NA,NA,dɪxtmakɛn,NA,Action,FALSE
bedekken,StandardOrth,cover,Dutch,verb,Indo-European,NA,NA,NA,bedɛkkɛn,NA,Action,FALSE
openen,StandardOrth,open,Dutch,verb,Indo-European,NA,NA,NA,openɛn,NA,Action,FALSE
verdelen,StandardOrth,divide,Dutch,verb,Indo-European,NA,NA,NA,vɛrdelɛn,NA,Action,FALSE
scheiden,StandardOrth,separate,Dutch,verb,Indo-European,NA,NA,NA,sxɛjɪdɛn,NA,Action,FALSE
voegen,StandardOrth,"join, unite",Dutch,verb,Indo-European,NA,NA,NA,vuɛɣɛn,NA,Action,FALSE
verenigen,StandardOrth,"join, unite",Dutch,verb,Indo-European,NA,NA,NA,verɛniɣɛn,NA,Action,FALSE
verbinden,StandardOrth,"join, unite",Dutch,verb,Indo-European,NA,NA,NA,vɛrbɪndɛn,NA,Action,FALSE
opstapelen,StandardOrth,pile up,Dutch,verb,Indo-European,NA,NA,NA,ɔpstapelɛn,NA,Action,FALSE
oppakken,StandardOrth,pick up,Dutch,verb,Indo-European,NA,NA,NA,ɔppɑkkɛn,NA,Action,FALSE
verzamelen,StandardOrth,"collect, gather",Dutch,verb,Indo-European,NA,NA,NA,vɛrzamelɛn,NA,Action,FALSE
blijven,StandardOrth,"remain, stay",Dutch,verb,Indo-European,NA,NA,NA,plɛjvɛn,NA,Action,FALSE
wachten,StandardOrth,"remain, stay",Dutch,verb,Indo-European,NA,NA,NA,ʋɑxtɛn,NA,Action,FALSE
staan,StandardOrth,stand,Dutch,verb,Indo-European,NA,NA,NA,stan,NA,Action,FALSE
liggen,StandardOrth,lie down,Dutch,verb,Indo-European,NA,NA,NA,lɪxɣɛn,NA,Action,FALSE
zitten,StandardOrth,sit,Dutch,verb,Indo-European,NA,NA,NA,zɪttɛn,NA,Action,TRUE
zetten,StandardOrth,put,Dutch,verb,Indo-European,NA,NA,NA,zɛttɛn,NA,Action,FALSE
plaatsen,StandardOrth,put,Dutch,verb,Indo-European,NA,NA,NA,platsɛn,NA,Action,FALSE
leggen,StandardOrth,put,Dutch,verb,Indo-European,NA,NA,NA,lɛxɣɛn,NA,Action,FALSE
wegen,StandardOrth,weigh,Dutch,verb,Indo-European,NA,NA,NA,ʋeɣɛn,NA,Action,FALSE
delen,StandardOrth,share (distribute),Dutch,verb,Indo-European,NA,NA,NA,delɛn,NA,Action,FALSE
verkopen,StandardOrth,sell,Dutch,verb,Indo-European,NA,NA,NA,vɛrkopɛn,NA,Action,FALSE
kopen,StandardOrth,buy,Dutch,verb,Indo-European,NA,NA,NA,kopɛn,NA,Action,FALSE
verdienen,StandardOrth,earn,Dutch,verb,Indo-European,NA,NA,NA,vɛrdiɛnɛn,NA,Action,FALSE
huren,StandardOrth,hire,Dutch,verb,Indo-European,NA,NA,NA,hyrɛn,NA,Action,FALSE
betalen,StandardOrth,pay (vb),Dutch,verb,Indo-European,NA,NA,NA,betalɛn,NA,Action,FALSE
borgen,StandardOrth,borrow,Dutch,verb,Indo-European,NA,NA,NA,bɔrɣɛn,NA,Action,FALSE
lenen,StandardOrth,borrow,Dutch,verb,Indo-European,NA,NA,NA,lenɛn,NA,Action,FALSE
uitlenen,StandardOrth,lend,Dutch,verb,Indo-European,NA,NA,NA,œɥtlenɛn,NA,Action,FALSE
loslaten,StandardOrth,"release, let go",Dutch,verb,Indo-European,NA,NA,NA,lɔslatɛn,NA,Action,FALSE
verliezen,StandardOrth,lose,Dutch,verb,Indo-European,NA,NA,NA,vɛrliɛzɛn,NA,Action,FALSE
vinden,StandardOrth,find,Dutch,verb,Indo-European,NA,NA,NA,vɪndɛn,NA,Action,FALSE
zoeken,StandardOrth,"seek, look for",Dutch,verb,Indo-European,NA,NA,NA,zuɛkɛn,NA,Action,FALSE
schaden,StandardOrth,"harm, injure, damage",Dutch,verb,Indo-European,NA,NA,NA,sxadɛn,NA,Action,FALSE
beschadigen,StandardOrth,"harm, injure, damage",Dutch,verb,Indo-European,NA,NA,NA,bɛsxadiɣɛn,NA,Action,FALSE
vernietigen,StandardOrth,destroy,Dutch,verb,Indo-European,NA,NA,NA,vɛrniɛtiɣɛn,NA,Action,FALSE
bewaren,StandardOrth,"preserve, look after",Dutch,verb,Indo-European,NA,NA,NA,beʋarɛn,NA,Action,FALSE
teruggeven,StandardOrth,give back,Dutch,verb,Indo-European,NA,NA,NA,terʏxɣevɛn,NA,Action,FALSE
geven,StandardOrth,give,Dutch,verb,Indo-European,NA,NA,NA,ɣevɛn,NA,Action,FALSE
behouden,StandardOrth,"keep, retain",Dutch,verb,Indo-European,NA,NA,NA,behɑwʏdɛn,NA,Action,FALSE
vasthouden,StandardOrth,"keep, retain",Dutch,verb,Indo-European,NA,NA,NA,vɑstɑwʏdɛn,NA,Action,FALSE
krijgen,StandardOrth,"get, obtain",Dutch,verb,Indo-European,NA,NA,NA,krɛjɣɛn,NA,Action,FALSE
bekomen,StandardOrth,"get, obtain",Dutch,verb,Indo-European,NA,NA,NA,bekomɛn,NA,Action,FALSE
houden,StandardOrth,hold,Dutch,verb,Indo-European,NA,NA,NA,hɑwʏdɛn,NA,Action,FALSE
nemen,StandardOrth,take,Dutch,verb,Indo-European,NA,NA,NA,nemɛn,NA,Action,FALSE
bezitten,StandardOrth,"own, possess",Dutch,verb,Indo-European,NA,NA,NA,bezɪttɛn,NA,Action,FALSE
hebben,StandardOrth,have,Dutch,verb,Indo-European,NA,NA,NA,hɛpbɛn,NA,Action,FALSE
landen,StandardOrth,land (vb),Dutch,verb,Indo-European,NA,NA,NA,lɑndɛn,NA,Action,FALSE
roeien,StandardOrth,row (vb),Dutch,verb,Indo-European,NA,NA,NA,rujɛn,NA,Action,FALSE
duwen,StandardOrth,"push, shove",Dutch,verb,Indo-European,NA,NA,NA,dyʋɛn,NA,Action,FALSE
rijden,StandardOrth,ride,Dutch,verb,Indo-European,NA,NA,NA,rɛjdɛn,NA,Action,FALSE
voeren,StandardOrth,lead (vb),Dutch,verb,Indo-European,NA,NA,NA,vuɛrɛn,NA,Action,FALSE
leiden,StandardOrth,lead (vb),Dutch,verb,Indo-European,NA,NA,NA,lɛjɪdɛn,NA,Action,FALSE
sturen,StandardOrth,send,Dutch,verb,Indo-European,NA,NA,NA,styrɛn,NA,Action,FALSE
brengen,StandardOrth,bring,Dutch,verb,Indo-European,NA,NA,NA,prɛŋɛn,NA,Action,FALSE
halen,StandardOrth,bring,Dutch,verb,Indo-European,NA,NA,NA,halɛn,NA,Action,FALSE
dragen,StandardOrth,carry (bear),Dutch,verb,Indo-European,NA,NA,NA,traɣɛn,NA,Action,FALSE
-komen,StandardOrth,enter,Dutch,verb,Indo-European,NA,NA,NA,komɛn,NA,Action,FALSE
-treden,StandardOrth,enter,Dutch,verb,Indo-European,NA,NA,NA,tredɛn,NA,Action,FALSE
naderen,StandardOrth,approach,Dutch,verb,Indo-European,NA,NA,NA,naderɛn,NA,Action,FALSE
bereiken,StandardOrth,"reach, arrive",Dutch,verb,Indo-European,NA,NA,NA,berɛjɪkɛn,NA,Action,FALSE
aankomen,StandardOrth,"reach, arrive",Dutch,verb,Indo-European,NA,NA,NA,ankomɛn,NA,Action,FALSE
vervolgen,StandardOrth,pursue,Dutch,verb,Indo-European,NA,NA,NA,vɛrvɔlɣɛn,NA,Action,FALSE
najagen,StandardOrth,pursue,Dutch,verb,Indo-European,NA,NA,NA,najɑɣɛn,NA,Action,FALSE
volgen,StandardOrth,follow,Dutch,verb,Indo-European,NA,NA,NA,vɔlɣɛn,NA,Action,FALSE
vluchten,StandardOrth,flee,Dutch,verb,Indo-European,NA,NA,NA,vlʏxtɛn,NA,Action,FALSE
vlieden,StandardOrth,flee,Dutch,verb,Indo-European,NA,NA,NA,vliɛdɛn,NA,Action,FALSE
verdwijnen,StandardOrth,disappear,Dutch,verb,Indo-European,NA,NA,NA,vɛrtʋɛjnɛn,NA,Action,FALSE
weggaan,StandardOrth,"go away, depart",Dutch,verb,Indo-European,NA,NA,NA,ʋɛxɣan,NA,Action,FALSE
vertrekken,StandardOrth,"go away, depart",Dutch,verb,Indo-European,NA,NA,NA,vɛrtrɛkkɛn,NA,Action,FALSE
terugkomen,StandardOrth,come back,Dutch,verb,Indo-European,NA,NA,NA,terʏxkomɛn,NA,Action,FALSE
uitgaan,StandardOrth,go out,Dutch,verb,Indo-European,NA,NA,NA,œɥtɣan,NA,Action,FALSE
klimmen,StandardOrth,climb,Dutch,verb,Indo-European,NA,NA,NA,klɪmmɛn,NA,Action,FALSE
gaan,StandardOrth,go,Dutch,verb,Indo-European,NA,NA,NA,ɣan,NA,Action,FALSE
stijgen,StandardOrth,go up,Dutch,verb,Indo-European,NA,NA,NA,stɛjɣɛn,NA,Action,FALSE
rennen,StandardOrth,run,Dutch,verb,Indo-European,NA,NA,NA,rɛnnɛn,NA,Action,TRUE
lopen,StandardOrth,walk,Dutch,verb,Indo-European,NA,NA,NA,lopɛn,NA,Action,TRUE
dansen,StandardOrth,dance,Dutch,verb,Indo-European,NA,NA,NA,dɑnsɛn,NA,Action,FALSE
schoppen,StandardOrth,kick,Dutch,verb,Indo-European,NA,NA,NA,sxɔppɛn,NA,Action,FALSE
springen,StandardOrth,"jump, leap",Dutch,verb,Indo-European,NA,NA,NA,sprɪŋɛn,NA,Action,TRUE
glijden,StandardOrth,"slide, slip",Dutch,verb,Indo-European,NA,NA,NA,xlɛjdɛn,NA,Action,FALSE
slippen,StandardOrth,"slide, slip",Dutch,verb,Indo-European,NA,NA,NA,slɪppɛn,NA,Action,FALSE
hurken,StandardOrth,crouch,Dutch,verb,Indo-European,NA,NA,NA,hʏrkɛn,NA,Action,FALSE
knielen,StandardOrth,kneel,Dutch,verb,Indo-European,NA,NA,NA,kniɛlɛn,NA,Action,FALSE
kruipen,StandardOrth,"creep, crawl",Dutch,verb,Indo-European,NA,NA,NA,krœɥɪpɛn,NA,Action,FALSE
blazen,StandardOrth,blow,Dutch,verb,Indo-European,NA,NA,NA,plazɛn,NA,Action,TRUE
waaien,StandardOrth,blow,Dutch,verb,Indo-European,NA,NA,NA,ʋajɛn,NA,Action,FALSE
vliegen,StandardOrth,fly (vb),Dutch,verb,Indo-European,NA,NA,NA,vliɛɣɛn,NA,Action,FALSE
zeilen,StandardOrth,sail (vb),Dutch,verb,Indo-European,NA,NA,NA,zɛjɪlɛn,NA,Action,FALSE
varen,StandardOrth,sail (vb),Dutch,verb,Indo-European,NA,NA,NA,varɛn,NA,Action,FALSE
spatten,StandardOrth,splash,Dutch,verb,Indo-European,NA,NA,NA,spɑttɛn,NA,Action,FALSE
duiken,StandardOrth,dive,Dutch,verb,Indo-European,NA,NA,NA,dœɥɪkɛn,NA,Action,FALSE
zwemmen,StandardOrth,swim,Dutch,verb,Indo-European,NA,NA,NA,zʋɛmmɛn,NA,Action,FALSE
drijven,StandardOrth,float,Dutch,verb,Indo-European,NA,NA,NA,trɛjvɛn,NA,Action,FALSE
zinken,StandardOrth,sink,Dutch,verb,Indo-European,NA,NA,NA,zɪnkɛn,NA,Action,FALSE
schudden,StandardOrth,shake,Dutch,verb,Indo-European,NA,NA,NA,sxʏtdɛn,NA,Action,FALSE
vangen,StandardOrth,catch (ball),Dutch,verb,Indo-European,NA,NA,NA,vɑŋɛn,NA,Action,FALSE
werpen,StandardOrth,throw,Dutch,verb,Indo-European,NA,NA,NA,ʋɛrpɛn,NA,Action,FALSE
vallen,StandardOrth,fall,Dutch,verb,Indo-European,NA,NA,NA,vɑjɛn,NA,Action,TRUE
opheffen,StandardOrth,"raise, lift",Dutch,verb,Indo-European,NA,NA,NA,ɔfɛffɛn,NA,Action,FALSE
optillen,StandardOrth,"raise, lift",Dutch,verb,Indo-European,NA,NA,NA,ɔptɪjɛn,NA,Action,FALSE
opstaan,StandardOrth,rise,Dutch,verb,Indo-European,NA,NA,NA,ɔpstan,NA,Action,TRUE
opstijgen,StandardOrth,rise,Dutch,verb,Indo-European,NA,NA,NA,ɔpstɛjɣɛn,NA,Action,FALSE
draaien,StandardOrth,twist,Dutch,verb,Indo-European,NA,NA,NA,trajɛn,NA,Action,FALSE
verdraaien,StandardOrth,twist,Dutch,verb,Indo-European,NA,NA,NA,vɛrtrajɛn,NA,Action,FALSE
wentelen,StandardOrth,roll,Dutch,verb,Indo-European,NA,NA,NA,ʋɛntelɛn,NA,Action,FALSE
rollen,StandardOrth,roll,Dutch,verb,Indo-European,NA,NA,NA,rɔjɛn,NA,Action,FALSE
winden,StandardOrth,"wind, wrap",Dutch,verb,Indo-European,NA,NA,NA,ʋɪndɛn,NA,Action,FALSE
wikkelen,StandardOrth,"wind, wrap",Dutch,verb,Indo-European,NA,NA,NA,ʋɪkkelɛn,NA,Action,FALSE
omdraaien,StandardOrth,turn around,Dutch,verb,Indo-European,NA,NA,NA,ɔmtrajɛn,NA,Action,FALSE
wenden,StandardOrth,turn over,Dutch,verb,Indo-European,NA,NA,NA,ʋɛndɛn,NA,Action,FALSE
keren,StandardOrth,turn over,Dutch,verb,Indo-European,NA,NA,NA,kerɛn,NA,Action,FALSE
bewegen,StandardOrth,move,Dutch,verb,Indo-European,NA,NA,NA,beʋɛɣɛn,NA,Action,FALSE
uithouwen,StandardOrth,carve,Dutch,verb,Indo-European,NA,NA,NA,œɥɪtɑwywɛn,NA,Action,FALSE
weven,StandardOrth,"weave, plait",Dutch,verb,Indo-European,NA,NA,NA,ʋevɛn,NA,Action,FALSE
vlechten,StandardOrth,"weave, plait",Dutch,verb,Indo-European,NA,NA,NA,vlɛxtɛn,NA,Action,FALSE
vormen,StandardOrth,mold (clay etc),Dutch,verb,Indo-European,NA,NA,NA,vɔrmɛn,NA,Action,FALSE
gieten,StandardOrth,cast (metals),Dutch,verb,Indo-European,NA,NA,NA,ɣiɛtɛn,NA,Action,FALSE
smeden,StandardOrth,forge,Dutch,verb,Indo-European,NA,NA,NA,smedɛn,NA,Action,FALSE
uithollen,StandardOrth,hollow out,Dutch,verb,Indo-European,NA,NA,NA,œɥɪtɔjɛn,NA,Action,FALSE
boren,StandardOrth,bore,Dutch,verb,Indo-European,NA,NA,NA,borɛn,NA,Action,FALSE
bouwen,StandardOrth,build,Dutch,verb,Indo-European,NA,NA,NA,bɑwywɛn,NA,Action,FALSE
vegen,StandardOrth,sweep,Dutch,verb,Indo-European,NA,NA,NA,veɣɛn,NA,Action,FALSE
schenken,StandardOrth,pour,Dutch,verb,Indo-European,NA,NA,NA,sxɛnkɛn,NA,Action,FALSE
knijpen,StandardOrth,"squeeze, wring",Dutch,verb,Indo-European,NA,NA,NA,knɛjpɛn,NA,Action,FALSE
wringen,StandardOrth,"squeeze, wring",Dutch,verb,Indo-European,NA,NA,NA,ʋrɪŋɛn,NA,Action,FALSE
drukken,StandardOrth,press,Dutch,verb,Indo-European,NA,NA,NA,trʏkkɛn,NA,Action,FALSE
persen,StandardOrth,press,Dutch,verb,Indo-European,NA,NA,NA,pɛrsɛn,NA,Action,FALSE
ophangen,StandardOrth,hang up,Dutch,verb,Indo-European,NA,NA,NA,ɔfɑŋɛn,NA,Action,FALSE
uitbreiden,StandardOrth,spread out,Dutch,verb,Indo-European,NA,NA,NA,œɥtprɛjɪdɛn,NA,Action,FALSE
strooien,StandardOrth,spread out,Dutch,verb,Indo-European,NA,NA,NA,strojɛn,NA,Action,FALSE
spreiden,StandardOrth,spread out,Dutch,verb,Indo-European,NA,NA,NA,sprɛjɪdɛn,NA,Action,FALSE
trekken,StandardOrth,pull,Dutch,verb,Indo-European,NA,NA,NA,trɛkkɛn,NA,Action,FALSE
strekken,StandardOrth,stretch,Dutch,verb,Indo-European,NA,NA,NA,strɛkkɛn,NA,Action,FALSE
spannen,StandardOrth,stretch,Dutch,verb,Indo-European,NA,NA,NA,spɑnnɛn,NA,Action,FALSE
wrijven,StandardOrth,"rub, wipe",Dutch,verb,Indo-European,NA,NA,NA,ʋrɛjvɛn,NA,Action,FALSE
wissen,StandardOrth,"rub, wipe",Dutch,verb,Indo-European,NA,NA,NA,ʋɪssɛn,NA,Action,FALSE
villen,StandardOrth,"flay, skin",Dutch,verb,Indo-European,NA,NA,NA,vɪjɛn,NA,Action,FALSE
scheuren,StandardOrth,tear,Dutch,verb,Indo-European,NA,NA,NA,sxøʏrɛn,NA,Action,FALSE
splijten,StandardOrth,split,Dutch,verb,Indo-European,NA,NA,NA,splɛjtɛn,NA,Action,FALSE
breken,StandardOrth,break,Dutch,verb,Indo-European,NA,NA,NA,prekɛn,NA,Action,FALSE
steken,StandardOrth,stab,Dutch,verb,Indo-European,NA,NA,NA,stekɛn,NA,Action,FALSE
hakken,StandardOrth,"chop, hew",Dutch,verb,Indo-European,NA,NA,NA,hɑkkɛn,NA,Action,FALSE
houwen,StandardOrth,"chop, hew",Dutch,verb,Indo-European,NA,NA,NA,hɑwywɛn,NA,Action,FALSE
omzagen,StandardOrth,cut down,Dutch,verb,Indo-European,NA,NA,NA,ɔmzaɣɛn,NA,Action,FALSE
omhakken,StandardOrth,cut down,Dutch,verb,Indo-European,NA,NA,NA,ɔmhɑkkɛn,NA,Action,FALSE
snijden,StandardOrth,cut,Dutch,verb,Indo-European,NA,NA,NA,snɛjdɛn,NA,Action,FALSE
vuistslag,StandardOrth,pound with fist,Dutch,verb,Indo-European,NA,NA,NA,vœɥstslɑx,NA,Action,FALSE
ontbinden,StandardOrth,untie,Dutch,verb,Indo-European,NA,NA,NA,ɔntbɪndɛn,NA,Action,FALSE
binden,StandardOrth,"tie, bind",Dutch,verb,Indo-European,NA,NA,NA,bɪndɛn,NA,Action,FALSE
vouwen,StandardOrth,fold,Dutch,verb,Indo-European,NA,NA,NA,vɑwywɛn,NA,Action,FALSE
roken,StandardOrth,smoke (tobacco),Dutch,verb,Indo-European,NA,NA,NA,rokɛn,NA,Action,FALSE
planten,StandardOrth,plant (vb),Dutch,verb,Indo-European,NA,NA,NA,plɑntɛn,NA,Action,FALSE
dorsen,StandardOrth,thresh,Dutch,verb,Indo-European,NA,NA,NA,dɔrsɛn,NA,Action,FALSE
maaien,StandardOrth,"mow, reap",Dutch,verb,Indo-European,NA,NA,NA,majɛn,NA,Action,FALSE
oogsten,StandardOrth,"mow, reap",Dutch,verb,Indo-European,NA,NA,NA,oxstɛn,NA,Action,FALSE
zaaien,StandardOrth,sow,Dutch,verb,Indo-European,NA,NA,NA,zajɛn,NA,Action,FALSE
graven,StandardOrth,dig,Dutch,verb,Indo-European,NA,NA,NA,xravɛn,NA,Action,FALSE
delven,StandardOrth,dig,Dutch,verb,Indo-European,NA,NA,NA,dɛlvɛn,NA,Action,FALSE
ploegen,StandardOrth,plow,Dutch,verb,Indo-European,NA,NA,NA,pluɛɣɛn,NA,Action,FALSE
ploeg,StandardOrth,plow,Dutch,verb,Indo-European,NA,NA,NA,plux,NA,Action,FALSE
bebouwen,StandardOrth,"cultivate, till",Dutch,verb,Indo-European,NA,NA,NA,bebɑwywɛn,NA,Action,FALSE
cultiveren,StandardOrth,"cultivate, till",Dutch,verb,Indo-European,NA,NA,NA,cʏltiverɛn,NA,Action,FALSE
wonen,StandardOrth,"dwell, live",Dutch,verb,Indo-European,NA,NA,NA,ʋonɛn,NA,Action,FALSE
verven,StandardOrth,dye,Dutch,verb,Indo-European,NA,NA,NA,vɛrvɛn,NA,Action,FALSE
