Form,transcription,englishName,language,englishPOS,languageFamily,alt_transcription,alt_form,concepticonID,phon,method,ontologicalCategory,include
recollir,StandardOrth,pick up,Catalan,verb,Indo-European,NA,NA,NA,ɾɛkɔʎiɾ,NA,Action,FALSE
reunir-se,StandardOrth,"collect, gather",Catalan,verb,Indo-European,NA,NA,NA,ɾɛbniɾsɛ,NA,Action,FALSE
quedar-se,StandardOrth,"remain, stay",Catalan,verb,Indo-European,NA,NA,NA,kɛdaɾsɛ,NA,Action,FALSE
estirar-se,StandardOrth,lie down,Catalan,verb,Indo-European,NA,NA,NA,ɛstiɾaɾsɛ,NA,Action,FALSE
asseure's,StandardOrth,sit,Catalan,verb,Indo-European,NA,NA,NA,asɛbɾɛs,NA,Action,FALSE
posar,StandardOrth,put,Catalan,verb,Indo-European,NA,NA,NA,pɔsaɾ,NA,Action,FALSE
pesar,StandardOrth,weigh,Catalan,verb,Indo-European,NA,NA,NA,pɛsaɾ,NA,Action,FALSE
repartir,StandardOrth,share (distribute),Catalan,verb,Indo-European,NA,NA,NA,ɾɛpaɾtiɾ,NA,Action,FALSE
vendre,StandardOrth,sell,Catalan,verb,Indo-European,NA,NA,NA,bɛndɾɛ,NA,Action,FALSE
comprar,StandardOrth,buy,Catalan,verb,Indo-European,NA,NA,NA,kɔmpɾaɾ,NA,Action,FALSE
contractar,StandardOrth,hire,Catalan,verb,Indo-European,NA,NA,NA,kɔntɾaktaɾ,NA,Action,FALSE
pagar,StandardOrth,pay (vb),Catalan,verb,Indo-European,NA,NA,NA,paɡaɾ,NA,Action,FALSE
deure,StandardOrth,owe,Catalan,verb,Indo-European,NA,NA,NA,dɛbɾɛ,NA,Action,FALSE
manllevar,StandardOrth,borrow,Catalan,verb,Indo-European,NA,NA,NA,manʎɛbaɾ,NA,Action,FALSE
deixar,StandardOrth,lend,Catalan,verb,Indo-European,NA,NA,NA,dɛʒʃaɾ,NA,Action,FALSE
alliberar,StandardOrth,"release, let go",Catalan,verb,Indo-European,NA,NA,NA,aʎibɛɾaɾ,NA,Action,FALSE
perdre,StandardOrth,lose,Catalan,verb,Indo-European,NA,NA,NA,pɛɾdɾɛ,NA,Action,FALSE
trobar,StandardOrth,find,Catalan,verb,Indo-European,NA,NA,NA,tɾɔbaɾ,NA,Action,FALSE
buscar,StandardOrth,"seek, look for",Catalan,verb,Indo-European,NA,NA,NA,buskaɾ,NA,Action,FALSE
ferir,StandardOrth,"harm, injure, damage",Catalan,verb,Indo-European,NA,NA,NA,fɛɾiɾ,NA,Action,FALSE
destruir,StandardOrth,destroy,Catalan,verb,Indo-European,NA,NA,NA,dɛstɾuʒɾ,NA,Action,FALSE
preservar,StandardOrth,"preserve, look after",Catalan,verb,Indo-European,NA,NA,NA,pɾɛsɛɾbaɾ,NA,Action,FALSE
tornar,StandardOrth,give back,Catalan,verb,Indo-European,NA,NA,NA,tɔɾnaɾ,NA,Action,FALSE
donar,StandardOrth,give,Catalan,verb,Indo-European,NA,NA,NA,dɔnaɾ,NA,Action,FALSE
mantenir,StandardOrth,"keep, retain",Catalan,verb,Indo-European,NA,NA,NA,mantɛniɾ,NA,Action,FALSE
retenir,StandardOrth,"keep, retain",Catalan,verb,Indo-European,NA,NA,NA,ɾɛtɛniɾ,NA,Action,FALSE
obtenir,StandardOrth,"get, obtain",Catalan,verb,Indo-European,NA,NA,NA,ɔptɛniɾ,NA,Action,FALSE
tenir,StandardOrth,hold,Catalan,verb,Indo-European,NA,NA,NA,tɛniɾ,NA,Action,FALSE
prendre,StandardOrth,take,Catalan,verb,Indo-European,NA,NA,NA,pɾɛndɾɛ,NA,Action,FALSE
posseir,StandardOrth,"own, possess",Catalan,verb,Indo-European,NA,NA,NA,pɔsɛʒɾ,NA,Action,FALSE
desembarcar,StandardOrth,land (vb),Catalan,verb,Indo-European,NA,NA,NA,dɛsɛmbaɾkaɾ,NA,Action,FALSE
remar,StandardOrth,row (vb),Catalan,verb,Indo-European,NA,NA,NA,ɾɛmaɾ,NA,Action,FALSE
empènyer,StandardOrth,"push, shove",Catalan,verb,Indo-European,NA,NA,NA,ɛmpɛɲɛɾ,NA,Action,FALSE
muntar,StandardOrth,ride,Catalan,verb,Indo-European,NA,NA,NA,muntaɾ,NA,Action,FALSE
conduir,StandardOrth,drive,Catalan,verb,Indo-European,NA,NA,NA,kɔnduʒɾ,NA,Action,FALSE
guiar,StandardOrth,lead (vb),Catalan,verb,Indo-European,NA,NA,NA,ɡiaɾ,NA,Action,FALSE
enviar,StandardOrth,send,Catalan,verb,Indo-European,NA,NA,NA,ɛmbiaɾ,NA,Action,FALSE
portar,StandardOrth,bring,Catalan,verb,Indo-European,NA,NA,NA,pɔɾtaɾ,NA,Action,TRUE
entrar,StandardOrth,enter,Catalan,verb,Indo-European,NA,NA,NA,ɛntɾaɾ,NA,Action,FALSE
acostar-se,StandardOrth,approach,Catalan,verb,Indo-European,NA,NA,NA,akɔstaɾsɛ,NA,Action,FALSE
arribar,StandardOrth,"reach, arrive",Catalan,verb,Indo-European,NA,NA,NA,aɾɾibaɾ,NA,Action,FALSE
perseguir,StandardOrth,pursue,Catalan,verb,Indo-European,NA,NA,NA,pɛɾsɛɡiɾ,NA,Action,FALSE
seguir,StandardOrth,follow,Catalan,verb,Indo-European,NA,NA,NA,sɛɡiɾ,NA,Action,FALSE
fugir,StandardOrth,flee,Catalan,verb,Indo-European,NA,NA,NA,fuʒiɾ,NA,Action,FALSE
desaparèixer,StandardOrth,disappear,Catalan,verb,Indo-European,NA,NA,NA,dɛsapaɾɛʒʃɛɾ,NA,Action,FALSE
marxar,StandardOrth,"go away, depart",Catalan,verb,Indo-European,NA,NA,NA,maɾʃaɾ,NA,Action,FALSE
venir,StandardOrth,come,Catalan,verb,Indo-European,NA,NA,NA,bɛniɾ,NA,Action,FALSE
sortir,StandardOrth,go out,Catalan,verb,Indo-European,NA,NA,NA,sɔɾtiɾ,NA,Action,FALSE
trepar,StandardOrth,climb,Catalan,verb,Indo-European,NA,NA,NA,tɾɛpaɾ,NA,Action,FALSE
anar,StandardOrth,go,Catalan,verb,Indo-European,NA,NA,NA,anaɾ,NA,Action,FALSE
pujar,StandardOrth,go up,Catalan,verb,Indo-European,NA,NA,NA,puʒaɾ,NA,Action,TRUE
córrer,StandardOrth,run,Catalan,verb,Indo-European,NA,NA,NA,koɾɾɛɾ,NA,Action,FALSE
coixejar,StandardOrth,limp,Catalan,verb,Indo-European,NA,NA,NA,kɔʒʃɛʒaɾ,NA,Action,FALSE
