word,language,AoA,rank,included,form
bird,English,2.4,16,TRUE,bird
dummy,English,2.43,17,FALSE,NA
duck,English,2.44,18,TRUE,duck
sock,English,2.44,19,TRUE,sock
drink,English,2.44,20,TRUE,drinken
fish,English,2.45,21,TRUE,fish
hat,English,2.45,22,FALSE,NA
cow,English,2.46,23,TRUE,cow
play [the piano],English,2.46,24,TRUE,play
tree,English,2.47,25,TRUE,tree
cry,English,2.48,26,TRUE,cry
hug,English,2.5,27,FALSE,NA
apple,English,2.52,28,FALSE,NA
walk,English,2.55,29,TRUE,walk
bottle,English,2.62,30,FALSE,NA
door,English,2.62,31,TRUE,door
rabbit,English,2.63,32,TRUE,rabbit
chair,English,2.65,33,TRUE,chair
house,English,2.65,34,TRUE,house
sit,English,2.65,35,TRUE,sit
talk [on the phone],English,2.69,36,TRUE,talk
moon,English,2.71,37,TRUE,moon
banana,English,2.73,38,FALSE,NA
kiss,English,2.74,39,TRUE,kiss
flower,English,2.75,40,TRUE,flower
slide,English,2.77,41,FALSE,NA
clap,English,2.77,42,FALSE,NA
bear,English,2.78,43,TRUE,bear
fall,English,2.78,44,TRUE,fall
fork,English,2.79,45,TRUE,fork
jump,English,2.83,46,TRUE,jump
star,English,2.84,47,TRUE,star
dress,English,2.85,48,FALSE,NA
frog,English,2.85,49,TRUE,frog
draw,English,2.86,50,FALSE,NA
run,English,2.86,51,TRUE,run
horse,English,2.87,52,TRUE,horse
orange,English,2.89,53,FALSE,NA
stairs,English,2.9,54,FALSE,NA
toothbrush,English,2.9,55,FALSE,NA
mouse,English,2.91,56,FALSE,NA
bus,English,2.92,57,FALSE,NA
lion,English,2.92,58,TRUE,lion
bite,English,2.92,59,TRUE,bite
balloon,English,2.93,60,FALSE,NA
wave,English,2.93,61,FALSE,NA
swing,English,2.95,62,FALSE,NA
kick,English,2.96,63,TRUE,kick
monkey,English,2.97,64,TRUE,monkey
wake up,English,2.97,65,FALSE,NA
wash [clothes],English,2.99,66,TRUE,wash
rain,English,3,67,FALSE,NA
bath,English,3.02,68,TRUE,bathe
open,English,3.02,69,TRUE,open
crawl,English,3.03,70,TRUE,crawl
sing,English,3.06,71,TRUE,sing
laugh,English,3.08,72,TRUE,laugh
tail,English,3.1,73,TRUE,tail
pull,English,3.11,74,TRUE,pull
dummy,Finnish,1.06,1,FALSE,NA
ball,Finnish,1.22,2,TRUE,pallo
tree,Finnish,1.22,3,TRUE,puu
car,Finnish,1.24,4,FALSE,NA
bed,Finnish,1.25,5,TRUE,s�nku?
doll,Finnish,1.25,6,FALSE,NA
eye,Finnish,1.25,7,TRUE,silm�
leg,Finnish,1.29,8,FALSE,NA
nose,Finnish,1.29,9,TRUE,nen�
spoon,Finnish,1.29,10,TRUE,lusikka
eat,Finnish,1.29,11,TRUE,su?o?d�
cat,Finnish,1.3,12,TRUE,kissa
ear,Finnish,1.33,13,TRUE,kor�wa
shoe,Finnish,1.33,14,TRUE,kenk�
sun,Finnish,1.33,15,TRUE,aur�inko
trousers,Finnish,1.33,16,TRUE,housut
sit,Finnish,1.33,17,TRUE,istua
sleep,Finnish,1.33,18,TRUE,nukkua
lamp,Finnish,1.35,19,FALSE,NA
bird,Finnish,1.38,20,TRUE,lintu
chair,Finnish,1.38,21,TRUE,tuoli
shirt,Finnish,1.38,22,TRUE,paita
drink,Finnish,1.38,23,TRUE,yuoda
flower,Finnish,1.39,24,TRUE,kukka
dog,Finnish,1.43,25,FALSE,NA
cry,Finnish,1.46,26,TRUE,itke�
pee,Finnish,1.46,27,FALSE,NA
sock,Finnish,1.5,28,TRUE,sukka
house,Finnish,1.54,29,TRUE,talo
sing,Finnish,1.58,30,TRUE,laulaa
dress,Finnish,1.61,31,FALSE,NA
clean,Finnish,1.61,32,TRUE,pest�
apple,Finnish,1.67,33,FALSE,NA
cap,Finnish,1.67,34,FALSE,NA
wave,Finnish,1.67,35,FALSE,NA
door,Finnish,1.71,36,TRUE,owi
fish,Finnish,1.71,37,TRUE,kala
walk,Finnish,1.71,38,TRUE,k�well�
bottle,Finnish,1.75,39,FALSE,NA
toothbrush,Finnish,1.75,40,FALSE,NA
rain,Finnish,1.75,41,FALSE,NA
horse,Finnish,1.78,42,TRUE,hewonen
clock,Finnish,1.79,43,TRUE,kello
laugh,Finnish,1.79,44,TRUE,naur�aa
run,Finnish,1.79,45,TRUE,yuosta
wake up,Finnish,1.79,46,TRUE,her��t�
airplane,Finnish,1.83,47,FALSE,NA
banana,Finnish,1.83,48,FALSE,NA
brush,Finnish,1.83,49,TRUE,har�ya
carrot,Finnish,1.83,50,FALSE,NA
cow,Finnish,1.83,51,TRUE,lehm�
moon,Finnish,1.83,52,TRUE,kuu
strawberry,Finnish,1.83,53,FALSE,NA
glass,Finnish,1.88,54,TRUE,lasi
hat,Finnish,1.88,55,FALSE,NA
clap,Finnish,1.88,56,FALSE,NA
jump,Finnish,1.88,57,TRUE,hu?p�t�
balloon,Finnish,1.89,58,FALSE,NA
television,Finnish,1.89,59,FALSE,NA
bell,Finnish,1.92,60,FALSE,NA
cheese,Finnish,1.92,61,TRUE,yuusto
mouse,Finnish,1.92,62,FALSE,NA
pen,Finnish,1.92,63,TRUE,ku?n�
