value,transcription,alt_transcription,IPA,Comment
t,NA,NA,,
e,NA,NA,,
ŋ,NA,NA,,
.,NA,NA,,
2,NA,NA,,
l,NA,NA,,
i,NA,NA,,
u,NA,NA,,
4,NA,NA,,
 ,NA,NA,,
s,NA,NA,,
ə,NA,NA,,
k,NA,NA,,
j,NA,NA,,
8,NA,NA,,
m,NA,NA,,
a,NA,NA,,
6,NA,NA,,
h,NA,NA,,
1,NA,NA,,
:,NA,NA,,
7,NA,NA,,
o,NA,NA,,
n,NA,NA,,
3,NA,NA,,
p,NA,NA,,
5,NA,NA,,
c,NA,NA,,
ć,NA,NA,,
ü,NA,NA,,
f,NA,NA,,
w,NA,NA,,
ń,NA,NA,,
z,NA,NA,,
(,NA,NA,,
),NA,NA,,
ś,NA,NA,,
ö,NA,NA,,
/,NA,NA,,
ɔ,NA,NA,,
0,NA,NA,,
ɨ,NA,NA,,
ɛ,NA,NA,,
v,NA,NA,,
b,NA,NA,,
