value,transcription,alt_transcription,IPA,Comment
t,phonetic,NA,,
h,phonetic,NA,,
ɔ,phonetic,NA,,
:,phonetic,NA,,
j,phonetic,NA,,
.,phonetic,NA,,
3,phonetic,NA,,
s,phonetic,NA,,
â,phonetic,NA,,
ŋ,phonetic,NA,,
k,phonetic,NA,,
r,phonetic,NA,,
a,phonetic,NA,,
w,phonetic,NA,,
e,phonetic,NA,,
2,phonetic,NA,,
4,phonetic,NA,,
i,phonetic,NA,,
p,phonetic,NA,,
 ,phonetic,NA,,
u,phonetic,NA,,
1,phonetic,NA,,
b,phonetic,NA,,
d,phonetic,NA,,
ə,phonetic,NA,,
m,phonetic,NA,,
n,phonetic,NA,,
c,phonetic,NA,,
ɨ,phonetic,NA,,
ʔ,phonetic,NA,,
o,phonetic,NA,,
l,phonetic,NA,,
ɛ,phonetic,NA,,
ń,phonetic,NA,,
v,phonetic,NA,,
f,phonetic,NA,,
z,phonetic,NA,,
ʌ,phonetic,NA,,
(,phonetic,NA,,
),phonetic,NA,,
5,phonetic,NA,,
ɣ,phonetic,NA,,
