,Matthews,Accuracy,F1,ActionAccuracy,ThingAccuracy
0,0.004131314440131963,0.5012903225806452,0.12121212121212122,0.08,0.9225806451612903
1,0.0,0.5,0.0,0.0,1.0
2,0.0446255726908408,0.5106451612903226,0.10169491525423728,0.06,0.9612903225806452
3,-0.07657623496524864,0.4664516129032258,0.1411764705882353,0.12,0.8129032258064516
4,0.06280452155697716,0.525483870967742,0.22784810126582278,0.18,0.8709677419354839
5,0.00564743894274139,0.502258064516129,0.1794871794871795,0.14,0.864516129032258
6,0.08268079010889445,0.5358064516129032,0.2619047619047619,0.22,0.8516129032258064
7,0.0,0.5,0.21978021978021978,0.2,0.8
8,0.06639199293455174,0.5174193548387097,0.13114754098360654,0.08,0.9548387096774194
9,0.01598325755831801,0.5041935483870967,0.09836065573770492,0.06,0.9483870967741935
10,0.0356547471883822,0.5164516129032258,0.24444444444444446,0.22,0.8129032258064516
11,0.05997317905517171,0.5216129032258064,0.19444444444444445,0.14,0.9032258064516129
12,0.005170416099084869,0.5019354838709678,0.16216216216216217,0.12,0.8838709677419355
13,-0.006027913590826286,0.49806451612903224,0.11940298507462688,0.08,0.9161290322580645
14,0.05835104915169051,0.5261290322580645,0.2528735632183908,0.22,0.832258064516129
15,0.06604006604009906,0.5251612903225806,0.21333333333333335,0.16,0.8903225806451613
16,0.01598325755831801,0.5041935483870967,0.09836065573770492,0.06,0.9483870967741935
17,0.014045575020013744,0.5051612903225806,0.1643835616438356,0.12,0.8903225806451613
18,-0.04232853729015951,0.48258064516129034,0.15,0.12,0.8451612903225807
19,-0.005161290322580645,0.4974193548387097,0.24,0.24,0.7548387096774194
20,-0.01778654182929651,0.49258064516129035,0.1728395061728395,0.14,0.8451612903225807
21,-0.0662622139954909,0.4841935483870968,0.03389830508474577,0.02,0.9483870967741935
22,-0.10324554179661281,0.45064516129032256,0.14893617021276598,0.14,0.7612903225806451
23,0.00564743894274139,0.502258064516129,0.1794871794871795,0.14,0.864516129032258
24,0.006106763474562709,0.5025806451612903,0.19512195121951217,0.16,0.8451612903225807
25,0.05214103880741092,0.5225806451612903,0.2380952380952381,0.2,0.8451612903225807
26,-0.06370396222372218,0.4812903225806452,0.0625,0.04,0.9225806451612903
27,0.05003736100879896,0.5183870967741935,0.19178082191780824,0.14,0.896774193548387
28,0.0035405532475891207,0.5009677419354839,0.0967741935483871,0.06,0.9419354838709677
29,0.023273173961708422,0.5083870967741935,0.16666666666666666,0.12,0.896774193548387
30,-0.03016076057799507,0.48870967741935484,0.13513513513513514,0.1,0.8774193548387097
31,0.07139237145761969,0.5209677419354839,0.15625,0.1,0.9419354838709677
32,-0.06630588373183648,0.47000000000000003,0.1590909090909091,0.14,0.8
33,0.021279548032691064,0.51,0.2391304347826087,0.22,0.8
34,0.08622479818365826,0.535483870967742,0.25,0.2,0.8709677419354839
35,-0.04578979013918209,0.482258064516129,0.13157894736842105,0.1,0.864516129032258
36,0.07635357215046629,0.5245161290322581,0.1791044776119403,0.12,0.9290322580645162
37,0.014290476587466945,0.5067741935483872,0.23655913978494625,0.22,0.7935483870967742
38,-0.09593745047287525,0.46838709677419355,0.058823529411764705,0.04,0.896774193548387
39,-0.021946210968771473,0.49193548387096775,0.136986301369863,0.1,0.8838709677419355
40,0.024473839406345725,0.5080645161290323,0.14705882352941177,0.1,0.9161290322580645
41,0.05214103880741092,0.5225806451612903,0.2380952380952381,0.2,0.8451612903225807
42,-0.06332529851843591,0.4729032258064516,0.14457831325301204,0.12,0.8258064516129032
43,-0.10082311393215494,0.46225806451612905,0.08108108108108109,0.06,0.864516129032258
44,-0.06401189485461159,0.47838709677419355,0.08695652173913043,0.06,0.896774193548387
45,0.09611661810334943,0.5425806451612903,0.27906976744186046,0.24,0.8451612903225807
46,-0.1251428518340519,0.44645161290322577,0.09638554216867469,0.08,0.8129032258064516
47,-0.03947821509703969,0.4829032258064516,0.16666666666666666,0.14,0.8258064516129032
48,-0.002384981831277614,0.4990322580645161,0.17721518987341772,0.14,0.8580645161290322
49,-0.03025609956013582,0.4864516129032258,0.18390804597701146,0.16,0.8129032258064516
50,0.014740137699387227,0.5074193548387097,0.25742574257425743,0.26,0.7548387096774194
51,-0.07899973396641546,0.4635483870967742,0.15555555555555556,0.14,0.7870967741935484
52,0.11359236684941296,0.5529032258064517,0.3076923076923077,0.28,0.8258064516129032
53,-0.06050827438651489,0.4758064516129032,0.12820512820512822,0.1,0.8516129032258064
54,0.0,0.5,0.0,0.0,1.0
55,0.1048810089366258,0.5419354838709678,0.25641025641025644,0.2,0.8838709677419355
56,-0.06370396222372218,0.4812903225806452,0.0625,0.04,0.9225806451612903
57,0.0,0.5,0.0,0.0,1.0
58,-0.016198818934956442,0.49290322580645163,0.18823529411764708,0.16,0.8258064516129032
59,-0.008938463795556158,0.49612903225806454,0.19047619047619052,0.16,0.832258064516129
60,0.03132669799338032,0.5119354838709678,0.18666666666666668,0.14,0.8838709677419355
61,-0.03947821509703969,0.4829032258064516,0.16666666666666666,0.14,0.8258064516129032
62,0.05003736100879896,0.5183870967741935,0.19178082191780824,0.14,0.896774193548387
63,-0.0662622139954909,0.4841935483870968,0.03389830508474577,0.02,0.9483870967741935
64,0.05003736100879896,0.5183870967741935,0.19178082191780824,0.14,0.896774193548387
65,-0.09593745047287525,0.46838709677419355,0.058823529411764705,0.04,0.896774193548387
66,-0.044242079910205276,0.4906451612903226,0.03508771929824562,0.02,0.9612903225806452
67,0.03132669799338032,0.5119354838709678,0.18666666666666668,0.14,0.8838709677419355
68,-0.03947821509703969,0.4829032258064516,0.16666666666666666,0.14,0.8258064516129032
69,0.02839809171235324,0.5132258064516129,0.2417582417582418,0.22,0.8064516129032258
70,0.053502479281466404,0.5180645161290323,0.17391304347826086,0.12,0.9161290322580645
71,-0.03016076057799507,0.48870967741935484,0.13513513513513514,0.1,0.8774193548387097
72,0.10075343408681779,0.5383870967741935,0.23999999999999996,0.18,0.896774193548387
73,0.04417859709533575,0.5193548387096775,0.23529411764705882,0.2,0.8387096774193549
74,-0.03821465857122066,0.48806451612903223,0.09090909090909091,0.06,0.9161290322580645
75,-0.028725029755688594,0.4912903225806452,0.09230769230769231,0.06,0.9225806451612903
76,-0.07593476799183238,0.4612903225806452,0.19417475728155342,0.2,0.7225806451612903
77,-0.028725029755688594,0.4912903225806452,0.09230769230769231,0.06,0.9225806451612903
78,-0.06190523454859152,0.46806451612903227,0.20952380952380953,0.22,0.7161290322580646
79,-0.0045684681190802275,0.4983870967741935,0.1408450704225352,0.1,0.896774193548387
80,0.021385170470998048,0.5109677419354839,0.2692307692307692,0.28,0.7419354838709677
81,0.014331021236107072,0.5048387096774194,0.14492753623188404,0.1,0.9096774193548387
82,0.0,0.5,0.0,0.0,1.0
83,0.05555600358242284,0.5267741935483872,0.27368421052631575,0.26,0.7935483870967742
84,-0.041510431992165885,0.4803225806451613,0.19354838709677422,0.18,0.7806451612903226
85,-0.0662622139954909,0.4841935483870968,0.03389830508474577,0.02,0.9483870967741935
86,0.04050159277616481,0.5151612903225806,0.1891891891891892,0.14,0.8903225806451613
87,-0.04393603450151801,0.47774193548387095,0.2156862745098039,0.22,0.7354838709677419
