value,transcription,alt_transcription,IPA,Comment
q̄,CyrillTrans,Phonemic,q,
u,CyrillTrans,Phonemic,u,
r,CyrillTrans,Phonemic,r,
o,CyrillTrans,Phonemic,o,
h,CyrillTrans,Phonemic,h,
p,CyrillTrans,Phonemic,p,
a,CyrillTrans,Phonemic,a,
s,CyrillTrans,Phonemic,s,
y,CyrillTrans,Phonemic,j,
i,CyrillTrans,Phonemic,i,
x̌,CyrillTrans,Phonemic,ħ,https://omniglot.com/writing/budukh.htm хь
d,CyrillTrans,Phonemic,d,
w,CyrillTrans,Phonemic,v,
m,CyrillTrans,Phonemic,m,
b,CyrillTrans,Phonemic,b,
š,CyrillTrans,Phonemic,ʃ,
l,CyrillTrans,Phonemic,l,
ʔ,CyrillTrans,Phonemic,ʔ,
ʕ,CyrillTrans,Phonemic,ʕ,
e,CyrillTrans,Phonemic,e,
k,CyrillTrans,Phonemic,k,
t,CyrillTrans,Phonemic,t,
z,CyrillTrans,Phonemic,z,
n,CyrillTrans,Phonemic,n,
q,CyrillTrans,Phonemic,q,
č,CyrillTrans,Phonemic,t͡ʃ,
ö,CyrillTrans,Phonemic,ø,оь https://omniglot.com/writing/budukh.htm
c,CyrillTrans,Phonemic,t͡s,
’,CyrillTrans,Phonemic,’,
x,CyrillTrans,Phonemic,x,
ʼ,CyrillTrans,Phonemic,ʼ,
g,CyrillTrans,Phonemic,g,
ǯ,CyrillTrans,Phonemic,d͡ʒ,дж
ü,CyrillTrans,Phonemic,y,https://omniglot.com/writing/budukh.htm
f,CyrillTrans,Phonemic,f,
ɣ,CyrillTrans,Phonemic,ɣ,
ä,CyrillTrans,Phonemic,æ,
ɨ,CyrillTrans,Phonemic,ɨ,https://omniglot.com/writing/budukh.htm
t̄,CyrillTrans,Phonemic,tː,
ʲ,CyrillTrans,Phonemic,ʲ,
s̄,CyrillTrans,Phonemic,sː,
ʒ,CyrillTrans,Phonemic,ʒ,
k̄,CyrillTrans,Phonemic,kː,
ž,CyrillTrans,Phonemic,ʒ,
š̄,CyrillTrans,Phonemic,t͡ʃː,
ǯ,CyrillTrans,Phonemic,d͡ʒ,
